"","pvalue","tvalue","logp"
"z0",0,-40.2178327503069,Inf
"z1",0.0112170839760161,-2.53583062410465,4.49031730785192
"z2",0,-41.421441126696,Inf
"z3",3.47001564183093e-305,-37.757033662884,701.044294261503
"z4",0,-263.98869895139,Inf
"z5",1.96859914149248e-150,26.2642807123466,344.710441754995
"z6",1.1250399934338e-175,-28.4368652121933,402.834572689215
"z7",0.836044675612617,0.206942325375516,0.179073227597276
"z8",1.24839189115368e-56,-15.8882067242805,128.722908971664
"z9",3.87051330117063e-90,-20.1957629660112,205.879271235256
"z10",1.37264564066128e-291,36.8816761081659,669.735522059081
"z11",0,42.4747540216796,Inf
"z12",1.70499167273778e-15,7.96461927910749,34.0052161682119
"z13",0,74.6007178614314,Inf
"z14",0,205.012974645152,Inf
"z15",1.52663871491416e-72,-18.0589236424171,165.363058295289
"z16",1.18065198077142e-269,-35.4279494812408,619.22932320343
"z17",0,-158.459987969589,Inf
"z18",0,-65.6025852460416,Inf
"z19",0,-200.34170193936,Inf
"z20",0,-53.9888729767093,Inf
"z21",1.35644097525511e-313,-38.2891682935734,720.404269767495
"z22",0,-67.9230518617246,Inf
"z23",0,-56.1948077974047,Inf
"z24",0.0182097560984702,2.36127964570727,4.00579777915603
"z25",0,41.9323767607149,Inf
"z26",0,-94.1829037692298,Inf
"z27",2.8290757885683e-112,-22.6066318500581,256.849580333493
"z28",4.07545384192059e-53,15.3686656522191,120.632027815943
"z29",0,53.5727231630443,Inf
"z30",0,-62.8739886037101,Inf
"z31",5.30762462638986e-192,-29.7617980667774,440.427193459352
"z32",0,56.3024832845067,Inf
"z33",0,47.9513733659782,Inf
"z34",8.97117796697174e-49,-14.7018393842565,110.632652566297
"z35",3.49230183130051e-158,26.9491118223285,362.557883623737
"z36",0,-50.8275992533016,Inf
"z37",5.34180349136038e-13,-7.21883750115985,28.2580428805048
"z38",0,-59.8479284829271,Inf
"z39",1.16007595301604e-56,15.8928421948973,128.796279727954
