bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
b7,10,10,uM,10 uM,24 h,24,h,ASC,BRD-K57179821,3,0.33,343,0.3402,0.813008,"""""""""""""""""""""""""""""""""",23.1741,26.8993,0.164182,0.311959,20.28,80.3618,0,1,BRD-K57179821,CPC015_ASC_24H:BRD-K57179821-001-08-9:10,trt_cp,ASC,D22,CPC015_ASC_24H_X1_B7_DUO52HI53LO|CPC015_ASC_24H_X2_B7_DUO52HI53LO|CPC015_ASC_24H_X4_B7_DUO52HI53LO,CPC015_ASC_24H_X1_B7_DUO52HI53LO:D22|CPC015_ASC_24H_X2_B7_DUO52HI53LO:D22|CPC015_ASC_24H_X4_B7_DUO52HI53LO:D22,,CPC,crotamiton,1,1,0,1,199,crotamiton_10 uM_24 h_ASC,1,crotamiton_10 uM_24 h
b7,10,10,uM,10 uM,24 h,24,h,ASC,BRD-K25906698,3,0.36,309,0.337257,1.01946,"""""""""""""""""""""""""""""""""",79.9211,56.0033,-0.118299,0,16.1,68.9635,0,1,BRD-K25906698,CPC018_ASC_24H:BRD-K25906698-303-01-9:10,trt_cp,ASC,A23,CPC018_ASC_24H_X1_B7_DUO52HI53LO|CPC018_ASC_24H_X2_B7_DUO52HI53LO|CPC018_ASC_24H_X4_B7_DUO52HI53LO,CPC018_ASC_24H_X1_B7_DUO52HI53LO:A23|CPC018_ASC_24H_X2_B7_DUO52HI53LO:A23|CPC018_ASC_24H_X4_B7_DUO52HI53LO:A23,,CPC,immepip,1,1,0,1,199,immepip_10 uM_24 h_ASC,1,immepip_10 uM_24 h
b7,10,10,uM,10 uM,24 h,24,h,ASC,BRD-K19624190,4,0.5,256,0.361773,0.0682128,"""""""""""""""""""""""""""""""""",0.133156,0,0.346969,0.656099,21.48,82.6012,1,1,BRD-K19624190,CPC012_ASC_24H:BRD-K19624190-001-01-9:10,trt_cp,ASC,G12,CPC012_ASC_24H_X1_B7_DUO52HI53LO|CPC012_ASC_24H_X2_B7_DUO52HI53LO|CPC012_ASC_24H_X3_B7_DUO52HI53LO|CPC012_ASC_24H_X4_B7_DUO52HI53LO,CPC012_ASC_24H_X1_B7_DUO52HI53LO:G12|CPC012_ASC_24H_X2_B7_DUO52HI53LO:G12|CPC012_ASC_24H_X3_B7_DUO52HI53LO:G12|CPC012_ASC_24H_X4_B7_DUO52HI53LO:G12,,CPC,BRD-K19624190,1,1,0,1,199,BRD-K19624190_10 uM_24 h_ASC,1,BRD-K19624190_10 uM_24 h
b7,10,10,uM,10 uM,24 h,24,h,ASC,BRD-A20697603,3,0.71,445,0.568381,0,"""""""""""""""""""""""""""""""""",0,0,0.670953,0.848257,17.03,71.8059,1,1,BRD-A20697603,CPC014_ASC_24H:BRD-A20697603-001-06-4:10,trt_cp,ASC,L18,CPC014_ASC_24H_X1_B7_DUO52HI53LO|CPC014_ASC_24H_X2_B7_DUO52HI53LO|CPC014_ASC_24H_X3_B7_DUO52HI53LO,CPC014_ASC_24H_X1_B7_DUO52HI53LO:L18|CPC014_ASC_24H_X2_B7_DUO52HI53LO:L18|CPC014_ASC_24H_X3_B7_DUO52HI53LO:L18,,CPC,thiostrepton,1,1,0,1,199,thiostrepton_10 uM_24 h_ASC,1,thiostrepton_10 uM_24 h
b7,10,10,uM,10 uM,24 h,24,h,ASC,BRD-K38477985,3,0.56,350,0.447671,0,"""""""""""""""""""""""""""""""""",0,0,0.498896,0.775287,14.56,63.5085,1,1,BRD-K38477985,CPC016_ASC_24H:BRD-K38477985-001-01-8:10,trt_cp,ASC,C11,CPC016_ASC_24H_X1_B7_DUO52HI53LO|CPC016_ASC_24H_X3_B7_DUO52HI53LO|CPC016_ASC_24H_X4_B7_DUO52HI53LO,CPC016_ASC_24H_X1_B7_DUO52HI53LO:C11|CPC016_ASC_24H_X3_B7_DUO52HI53LO:C11|CPC016_ASC_24H_X4_B7_DUO52HI53LO:C11,,CPC,malonoben,1,1,0,1,199,malonoben_10 uM_24 h_ASC,1,malonoben_10 uM_24 h
b7,10,10,uM,10 uM,24 h,24,h,ASC,BRD-K74133369,4,0.49,342,0.413944,0,"""""""""""""""""""""""""""""""""",0,0,0.452412,0.736523,18.44,75.5957,1,1,BRD-K74133369,CPC013_ASC_24H:BRD-K74133369-001-01-8:10,trt_cp,ASC,M21,CPC013_ASC_24H_X1_B7_DUO52HI53LO|CPC013_ASC_24H_X2_B7_DUO52HI53LO|CPC013_ASC_24H_X3_B7_DUO52HI53LO|CPC013_ASC_24H_X4_B7_DUO52HI53LO,CPC013_ASC_24H_X1_B7_DUO52HI53LO:M21|CPC013_ASC_24H_X2_B7_DUO52HI53LO:M21|CPC013_ASC_24H_X3_B7_DUO52HI53LO:M21|CPC013_ASC_24H_X4_B7_DUO52HI53LO:M21,,CPC,oligomycin-a,1,1,0,1,199,oligomycin-a_10 uM_24 h_ASC,1,oligomycin-a_10 uM_24 h
b7,10,10,uM,10 uM,24 h,24,h,ASC,BRD-K07403598,4,0.49,309,0.393467,0.0682128,"""""""""""""""""""""""""""""""""",0.203476,0.201649,0.433513,0.735157,21.48,82.6012,1,1,BRD-K07403598,CPC012_ASC_24H:BRD-K07403598-001-01-0:10,trt_cp,ASC,F09,CPC012_ASC_24H_X1_B7_DUO52HI53LO|CPC012_ASC_24H_X2_B7_DUO52HI53LO|CPC012_ASC_24H_X3_B7_DUO52HI53LO|CPC012_ASC_24H_X4_B7_DUO52HI53LO,CPC012_ASC_24H_X1_B7_DUO52HI53LO:F09|CPC012_ASC_24H_X2_B7_DUO52HI53LO:F09|CPC012_ASC_24H_X3_B7_DUO52HI53LO:F09|CPC012_ASC_24H_X4_B7_DUO52HI53LO:F09,,CPC,CAY-10470,1,1,0,1,199,CAY-10470_10 uM_24 h_ASC,1,CAY-10470_10 uM_24 h
b7,10,10,uM,10 uM,24 h,24,h,ASC,BRD-K44432556,4,0.66,535,0.600868,0,"""""""""""""""""""""""""""""""""",0.0666667,0.201649,0.657409,0.804716,21.48,82.6012,1,1,BRD-K44432556,CPC012_ASC_24H:BRD-K44432556-001-01-4:10,trt_cp,ASC,F19,CPC012_ASC_24H_X1_B7_DUO52HI53LO|CPC012_ASC_24H_X2_B7_DUO52HI53LO|CPC012_ASC_24H_X3_B7_DUO52HI53LO|CPC012_ASC_24H_X4_B7_DUO52HI53LO,CPC012_ASC_24H_X1_B7_DUO52HI53LO:F19|CPC012_ASC_24H_X2_B7_DUO52HI53LO:F19|CPC012_ASC_24H_X3_B7_DUO52HI53LO:F19|CPC012_ASC_24H_X4_B7_DUO52HI53LO:F19,,CPC,VU-0418946-1,1,1,0,1,199,VU-0418946-1_10 uM_24 h_ASC,1,VU-0418946-1_10 uM_24 h
b7,10,10,uM,10 uM,24 h,24,h,ASC,BRD-K28168037,4,0.59,474,0.534744,0,"""""""""""""""""""""""""""""""""",0,0,0.581938,0.760518,20.28,80.3618,1,1,BRD-K28168037,CPC015_ASC_24H:BRD-K28168037-001-01-3:10,trt_cp,ASC,D08,CPC015_ASC_24H_X1_B7_DUO52HI53LO|CPC015_ASC_24H_X2_B7_DUO52HI53LO|CPC015_ASC_24H_X3_B7_DUO52HI53LO|CPC015_ASC_24H_X4_B7_DUO52HI53LO,CPC015_ASC_24H_X1_B7_DUO52HI53LO:D08|CPC015_ASC_24H_X2_B7_DUO52HI53LO:D08|CPC015_ASC_24H_X3_B7_DUO52HI53LO:D08|CPC015_ASC_24H_X4_B7_DUO52HI53LO:D08,,CPC,fenretinide,1,1,0,1,199,fenretinide_10 uM_24 h_ASC,1,fenretinide_10 uM_24 h
b7,10,10,uM,10 uM,24 h,24,h,ASC,BRD-K86472598,4,0.52,292,0.394025,0,"""""""""""""""""""""""""""""""""",0.268468,0,0.425637,0.700391,21.48,82.6012,1,1,BRD-K86472598,CPC012_ASC_24H:BRD-K86472598-001-02-7:10,trt_cp,ASC,C16,CPC012_ASC_24H_X1_B7_DUO52HI53LO|CPC012_ASC_24H_X2_B7_DUO52HI53LO|CPC012_ASC_24H_X3_B7_DUO52HI53LO|CPC012_ASC_24H_X4_B7_DUO52HI53LO,CPC012_ASC_24H_X1_B7_DUO52HI53LO:C16|CPC012_ASC_24H_X2_B7_DUO52HI53LO:C16|CPC012_ASC_24H_X3_B7_DUO52HI53LO:C16|CPC012_ASC_24H_X4_B7_DUO52HI53LO:C16,,CPC,MD-II-051,1,1,0,1,199,MD-II-051_10 uM_24 h_ASC,1,MD-II-051_10 uM_24 h
