bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
b20,10,10,uM,10 uM,24 h,24,h,HCC515,BRD-K77620628,3,0.67,375,0.506855,0.0661376,"0.34,0.33,0.32",0,0,0.635835,0.808194,13.55,59.5464,1,1,BRD-K77620628,PCL001_HCC515_24H:BRD-K77620628:10,trt_cp,HCC515,J19,PCL001_HCC515_24H_X1_B20|PCL001_HCC515_24H_X2_B20|PCL001_HCC515_24H_X3_B20,PCL001_HCC515_24H_X1_B20:J19|PCL001_HCC515_24H_X2_B20:J19|PCL001_HCC515_24H_X3_B20:J19,,PCL,BRD-K77620628,1,1,0,1,928,BRD-K77620628_10 uM_24 h_HCC515,1,BRD-K77620628_10 uM_24 h
b20,0.12,0.12,uM,0.12 uM,24 h,24,h,HCC515,BRD-A59468452,3,0.54,251,0.372275,0.37478,"0.35,0.35,0.30",1.85226,0,0.426608,0.68798,13.55,59.5464,1,1,BRD-A59468452,PCL001_HCC515_24H:BRD-A59468452:0.12,trt_cp,HCC515,D17,PCL001_HCC515_24H_X1_B20|PCL001_HCC515_24H_X2_B20|PCL001_HCC515_24H_X3_B20,PCL001_HCC515_24H_X1_B20:D17|PCL001_HCC515_24H_X2_B20:D17|PCL001_HCC515_24H_X3_B20:D17,,PCL,BRD-A59468452,1,1,0,1,928,BRD-A59468452_0.12 uM_24 h_HCC515,1,BRD-A59468452_0.12 uM_24 h
b20,3.33,3.33,uM,3.33 uM,24 h,24,h,HCC515,BRD-K21532219,3,0.55,233,0.361984,0.37478,"0.33,0.35,0.32",1.05541,2.78103,0.519493,0.66523,13.55,59.5464,1,1,BRD-K21532219,PCL001_HCC515_24H:BRD-K21532219:3.33,trt_cp,HCC515,L02,PCL001_HCC515_24H_X1_B20|PCL001_HCC515_24H_X2_B20|PCL001_HCC515_24H_X3_B20,PCL001_HCC515_24H_X1_B20:L02|PCL001_HCC515_24H_X2_B20:L02|PCL001_HCC515_24H_X3_B20:L02,,PCL,UMB-32,1,1,0,1,928,UMB-32_3.33 uM_24 h_HCC515,1,UMB-32_3.33 uM_24 h
b20,10,10,uM,10 uM,24 h,24,h,HCC515,BRD-K40328231,3,0.48,271,0.3647,3.9903,"0.33,0.31,0.36",4.37473,3.70628,0.459203,0.640954,13.55,59.5464,1,1,BRD-K40328231,PCL001_HCC515_24H:BRD-K40328231:10,trt_cp,HCC515,F19,PCL001_HCC515_24H_X1_B20|PCL001_HCC515_24H_X2_B20|PCL001_HCC515_24H_X3_B20,PCL001_HCC515_24H_X1_B20:F19|PCL001_HCC515_24H_X2_B20:F19|PCL001_HCC515_24H_X3_B20:F19,,PCL,BRD-K40328231,1,1,0,1,928,BRD-K40328231_10 uM_24 h_HCC515,1,BRD-K40328231_10 uM_24 h
f1b5,0.002,0.0015,uM,0.002 uM,6 h,6,h,HCC515,BRD-K83896451,3,0.39,299,0.345302,1.16414,"""""""""""""""""""""""""""""""""",5.98689,4.39683,0.303997,0.55311,18.96,76.9739,1,1,BRD-K83896451,RAD001_HCC515_6H:BRD-K83896451-001-02-6:0.0015,trt_cp,HCC515,O11,RAD001_HCC515_6H_X1_F1B5_DUO52HI53LO|RAD001_HCC515_6H_X2_F1B5_DUO52HI53LO|RAD001_HCC515_6H_X3_F1B5_DUO52HI53LO,RAD001_HCC515_6H_X1_F1B5_DUO52HI53LO:O11|RAD001_HCC515_6H_X2_F1B5_DUO52HI53LO:O11|RAD001_HCC515_6H_X3_F1B5_DUO52HI53LO:O11,,RAD,glutamine,1,1,0,1,928,glutamine_0.002 uM_6 h_HCC515,1,glutamine_0.002 uM_6 h
b20,10,10,uM,10 uM,24 h,24,h,HCC515,BRD-K71855865,3,0.65,370,0.495893,0.132275,"0.34,0.34,0.32",0.40107,0.131926,0.589657,0.799338,13.55,59.5464,1,1,BRD-K71855865,PCL001_HCC515_24H:BRD-K71855865:10,trt_cp,HCC515,E13,PCL001_HCC515_24H_X1_B20|PCL001_HCC515_24H_X2_B20|PCL001_HCC515_24H_X3_B20,PCL001_HCC515_24H_X1_B20:E13|PCL001_HCC515_24H_X2_B20:E13|PCL001_HCC515_24H_X3_B20:E13,,PCL,BRD-K71855865,1,1,0,1,928,BRD-K71855865_10 uM_24 h_HCC515,1,BRD-K71855865_10 uM_24 h
b20,10,10,uM,10 uM,24 h,24,h,HCC515,BRD-K84633118,3,0.71,466,0.581638,0.26455,"0.31,0.35,0.34",0.265616,0,0.609628,0.816283,13.55,59.5464,1,1,BRD-K84633118,PCL001_HCC515_24H:BRD-K84633118:10,trt_cp,HCC515,F01,PCL001_HCC515_24H_X1_B20|PCL001_HCC515_24H_X2_B20|PCL001_HCC515_24H_X3_B20,PCL001_HCC515_24H_X1_B20:F01|PCL001_HCC515_24H_X2_B20:F01|PCL001_HCC515_24H_X3_B20:F01,,PCL,BRD-K84633118,1,1,0,1,928,BRD-K84633118_10 uM_24 h_HCC515,1,BRD-K84633118_10 uM_24 h
b20,10,10,uM,10 uM,24 h,24,h,HCC515,BRD-K45962729,3,0.72,537,0.628759,0.0440917,"0.33,0.38,0.30",0.934065,0,0.629278,0.777105,13.55,59.5464,1,1,BRD-K45962729,PCL001_HCC515_24H:BRD-K45962729:10,trt_cp,HCC515,B19,PCL001_HCC515_24H_X1_B20|PCL001_HCC515_24H_X2_B20|PCL001_HCC515_24H_X3_B20,PCL001_HCC515_24H_X1_B20:B19|PCL001_HCC515_24H_X2_B20:B19|PCL001_HCC515_24H_X3_B20:B19,,PCL,BRD-K45962729,1,1,0,1,928,BRD-K45962729_10 uM_24 h_HCC515,1,BRD-K45962729_10 uM_24 h
b20,10,10,uM,10 uM,24 h,24,h,HCC515,BRD-K30842649,3,0.67,395,0.520195,0,"0.34,0.34,0.32",0.13369,0.40107,0.616911,0.787583,13.55,59.5464,1,1,BRD-K30842649,PCL001_HCC515_24H:BRD-K30842649:10,trt_cp,HCC515,E07,PCL001_HCC515_24H_X1_B20|PCL001_HCC515_24H_X2_B20|PCL001_HCC515_24H_X3_B20,PCL001_HCC515_24H_X1_B20:E07|PCL001_HCC515_24H_X2_B20:E07|PCL001_HCC515_24H_X3_B20:E07,,PCL,BRD-K30842649,1,1,0,1,928,BRD-K30842649_10 uM_24 h_HCC515,1,BRD-K30842649_10 uM_24 h
b20,1.11,1.11,uM,1.11 uM,24 h,24,h,HCC515,BRD-K38292946,3,0.7,384,0.524258,0,"0.35,0.34,0.31",0,0.263852,0.614496,0.662208,13.55,59.5464,1,1,BRD-K38292946,PCL001_HCC515_24H:BRD-K38292946:1.11,trt_cp,HCC515,E21,PCL001_HCC515_24H_X1_B20|PCL001_HCC515_24H_X2_B20|PCL001_HCC515_24H_X3_B20,PCL001_HCC515_24H_X1_B20:E21|PCL001_HCC515_24H_X2_B20:E21|PCL001_HCC515_24H_X3_B20:E21,,PCL,BRD-K38292946,1,1,0,1,928,BRD-K38292946_1.11 uM_24 h_HCC515,1,BRD-K38292946_1.11 uM_24 h
b20,4,5,uM,4 uM,24 h,24,h,HCC515,BRD-K61498099,3,0.56,304,0.417216,1.16843,"0.34,0.35,0.31",3.18916,4.77756,0.483795,0.687796,13.55,59.5464,1,1,BRD-K61498099,PCL001_HCC515_24H:BRD-K61498099:5,trt_cp,HCC515,L13,PCL001_HCC515_24H_X1_B20|PCL001_HCC515_24H_X2_B20|PCL001_HCC515_24H_X3_B20,PCL001_HCC515_24H_X1_B20:L13|PCL001_HCC515_24H_X2_B20:L13|PCL001_HCC515_24H_X3_B20:L13,,PCL,BRD-K61498099,1,1,0,1,928,BRD-K61498099_4 uM_24 h_HCC515,1,BRD-K61498099_4 uM_24 h
b20,0.37,0.37,uM,0.37 uM,24 h,24,h,HCC515,BRD-K64835161,3,0.46,218,0.320212,1.03616,"0.35,0.33,0.32",2.77045,2.91648,0.448535,0.546801,13.55,59.5464,1,1,BRD-K64835161,PCL001_HCC515_24H:BRD-K64835161:0.37,trt_cp,HCC515,M04,PCL001_HCC515_24H_X1_B20|PCL001_HCC515_24H_X2_B20|PCL001_HCC515_24H_X3_B20,PCL001_HCC515_24H_X1_B20:M04|PCL001_HCC515_24H_X2_B20:M04|PCL001_HCC515_24H_X3_B20:M04,,PCL,ML-167,1,1,0,1,928,ML-167_0.37 uM_24 h_HCC515,1,ML-167_0.37 uM_24 h
