bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
f1b3,2.5,2.5,uM,2.5 uM,6 h,6,h,HEPG2,BRD-K41431477,3,0.69,428,0.549512,0,"""""""""""""""""""""""""""""""""",0,0,0.638822,0.811802,10.64,45.2483,1,1,BRD-K41431477,CVD001_HEPG2_6H:BRD-K41431477-001-05-6:2.5,trt_cp,HEPG2,J02,CVD001_HEPG2_6H_X1_F1B3_DUO52HI53LO|CVD001_HEPG2_6H_X2_F1B3_DUO52HI53LO|CVD001_HEPG2_6H_X3_F1B3_DUO52HI53LO,CVD001_HEPG2_6H_X1_F1B3_DUO52HI53LO:J02|CVD001_HEPG2_6H_X2_F1B3_DUO52HI53LO:J02|CVD001_HEPG2_6H_X3_F1B3_DUO52HI53LO:J02,,CVD,A-23187,1,1,0,1,866,A-23187_2.5 uM_6 h_HEPG2,1,A-23187_2.5 uM_6 h
f1b3,10,10,uM,10 uM,6 h,6,h,HEPG2,BRD-A37828317,3,0.44,220,0.314607,0,"""""""""""""""""""""""""""""""""",0,0,0.402336,0.668263,10.64,45.2483,1,1,BRD-A37828317,CVD001_HEPG2_6H:BRD-A37828317-001-03-0:10,trt_cp,HEPG2,C20,CVD001_HEPG2_6H_X1_F1B3_DUO52HI53LO|CVD001_HEPG2_6H_X2_F1B3_DUO52HI53LO|CVD001_HEPG2_6H_X3_F1B3_DUO52HI53LO,CVD001_HEPG2_6H_X1_F1B3_DUO52HI53LO:C20|CVD001_HEPG2_6H_X2_F1B3_DUO52HI53LO:C20|CVD001_HEPG2_6H_X3_F1B3_DUO52HI53LO:C20,,CVD,anthothecol,1,1,0,1,866,anthothecol_10 uM_6 h_HEPG2,1,anthothecol_10 uM_6 h
b20,10,10,uM,10 uM,24 h,24,h,HEPG2,BRD-K45962729,3,0.64,532,0.590033,0.0221828,"0.31,0.33,0.36",0.266667,0.13369,0.598578,0.741078,10.9,46.3106,1,1,BRD-K45962729,PCL001_HEPG2_24H:BRD-K45962729:10,trt_cp,HEPG2,B19,PCL001_HEPG2_24H_X1_B20|PCL001_HEPG2_24H_X2_B20|PCL001_HEPG2_24H_X3_B20,PCL001_HEPG2_24H_X1_B20:B19|PCL001_HEPG2_24H_X2_B20:B19|PCL001_HEPG2_24H_X3_B20:B19,,PCL,BRD-K45962729,1,1,0,1,866,BRD-K45962729_10 uM_24 h_HEPG2,1,BRD-K45962729_10 uM_24 h
f1b3,2.5,2.5,uM,2.5 uM,6 h,6,h,HEPG2,BRD-K82987299,3,0.48,193,0.307773,0,"""""""""""""""""""""""""""""""""",0,0,0.418824,0.665249,10.64,45.2483,1,1,BRD-K82987299,CVD001_HEPG2_6H:BRD-K82987299-003-01-8:2.5,trt_cp,HEPG2,B14,CVD001_HEPG2_6H_X1_F1B3_DUO52HI53LO|CVD001_HEPG2_6H_X2_F1B3_DUO52HI53LO|CVD001_HEPG2_6H_X3_F1B3_DUO52HI53LO,CVD001_HEPG2_6H_X1_F1B3_DUO52HI53LO:B14|CVD001_HEPG2_6H_X2_F1B3_DUO52HI53LO:B14|CVD001_HEPG2_6H_X3_F1B3_DUO52HI53LO:B14,,CVD,BRD-K82987299,1,1,0,1,866,BRD-K82987299_2.5 uM_6 h_HEPG2,1,BRD-K82987299_2.5 uM_6 h
f1b3,10,10,uM,10 uM,24 h,24,h,HEPG2,BRD-K36111658,3,0.57,350,0.45165,2.52294,"""""""""""""""""""""""""""""""""",5.12496,3.24692,0.544306,0.737035,6.94,26.5289,1,1,BRD-K36111658,CVD001_HEPG2_24H:BRD-K36111658-001-01-1:10,trt_cp,HEPG2,A08,CVD001_HEPG2_24H_X1_F1B3_DUO52HI53LO|CVD001_HEPG2_24H_X2_F1B3_DUO52HI53LO|CVD001_HEPG2_24H_X3_F1B3_DUO52HI53LO,CVD001_HEPG2_24H_X1_F1B3_DUO52HI53LO:A08|CVD001_HEPG2_24H_X2_F1B3_DUO52HI53LO:A08|CVD001_HEPG2_24H_X3_F1B3_DUO52HI53LO:A08,,CVD,BRD-K36111658,1,1,0,1,866,BRD-K36111658_10 uM_24 h_HEPG2,1,BRD-K36111658_10 uM_24 h
b20,20,20,uM,20 uM,24 h,24,h,HEPG2,BRD-A76641868,3,0.44,205,0.303692,0.15528,"0.34,0.24,0.42",6.93333,0.266312,0.307051,0.728393,10.9,46.3106,1,1,BRD-A76641868,PCL001_HEPG2_24H:BRD-A76641868:20,trt_cp,HEPG2,O07,PCL001_HEPG2_24H_X1_B20|PCL001_HEPG2_24H_X2_B20|PCL001_HEPG2_24H_X3_B20,PCL001_HEPG2_24H_X1_B20:O07|PCL001_HEPG2_24H_X2_B20:O07|PCL001_HEPG2_24H_X3_B20:O07,,PCL,BRD-A76641868,1,1,0,1,866,BRD-A76641868_20 uM_24 h_HEPG2,1,BRD-A76641868_20 uM_24 h
f1b3,10,10.0701,uM,10 uM,6 h,6,h,HEPG2,BRD-K19876534,3,0.56,265,0.389536,0,"""""""""""""""""""""""""""""""""",0,0,0.542868,0.706874,10.64,45.2483,1,1,BRD-K19876534,CVD001_HEPG2_6H:BRD-K19876534-001-01-0:10.0701,trt_cp,HEPG2,O17,CVD001_HEPG2_6H_X1_F1B3_DUO52HI53LO|CVD001_HEPG2_6H_X2_F1B3_DUO52HI53LO|CVD001_HEPG2_6H_X3_F1B3_DUO52HI53LO,CVD001_HEPG2_6H_X1_F1B3_DUO52HI53LO:O17|CVD001_HEPG2_6H_X2_F1B3_DUO52HI53LO:O17|CVD001_HEPG2_6H_X3_F1B3_DUO52HI53LO:O17,,CVD,BRD-K19876534,1,1,0,1,866,BRD-K19876534_10 uM_6 h_HEPG2,1,BRD-K19876534_10 uM_6 h
f1b3,10,10.1832,uM,10 uM,6 h,6,h,HEPG2,BRD-K07339740,3,0.47,293,0.375244,1.33038,"""""""""""""""""""""""""""""""""",4.6363,2.65077,0.438975,0.661336,10.64,45.2483,1,1,BRD-K07339740,CVD001_HEPG2_6H:BRD-K07339740-001-01-3:10.1832,trt_cp,HEPG2,A05,CVD001_HEPG2_6H_X1_F1B3_DUO52HI53LO|CVD001_HEPG2_6H_X2_F1B3_DUO52HI53LO|CVD001_HEPG2_6H_X3_F1B3_DUO52HI53LO,CVD001_HEPG2_6H_X1_F1B3_DUO52HI53LO:A05|CVD001_HEPG2_6H_X2_F1B3_DUO52HI53LO:A05|CVD001_HEPG2_6H_X3_F1B3_DUO52HI53LO:A05,,CVD,BRD-K07339740,1,1,0,1,866,BRD-K07339740_10 uM_6 h_HEPG2,1,BRD-K07339740_10 uM_6 h
f1b3,10,10,uM,10 uM,6 h,6,h,HEPG2,BRD-K37865504,3,0.57,282,0.405408,0,"""""""""""""""""""""""""""""""""",0,0,0.543393,0.74309,10.64,45.2483,1,1,BRD-K37865504,CVD001_HEPG2_6H:BRD-K37865504-001-01-7:10,trt_cp,HEPG2,E12,CVD001_HEPG2_6H_X1_F1B3_DUO52HI53LO|CVD001_HEPG2_6H_X2_F1B3_DUO52HI53LO|CVD001_HEPG2_6H_X3_F1B3_DUO52HI53LO,CVD001_HEPG2_6H_X1_F1B3_DUO52HI53LO:E12|CVD001_HEPG2_6H_X2_F1B3_DUO52HI53LO:E12|CVD001_HEPG2_6H_X3_F1B3_DUO52HI53LO:E12,,CVD,LY-2183240,1,1,0,1,866,LY-2183240_10 uM_6 h_HEPG2,1,LY-2183240_10 uM_6 h
b20,0.04,0.04,uM,0.04 uM,24 h,24,h,HEPG2,BRD-K78059568,3,0.54,337,0.431363,0.643301,"0.28,0.33,0.39",6.68449,7.75258,0.447742,0.559088,10.9,46.3106,0,1,BRD-K78059568,PCL001_HEPG2_24H:BRD-K78059568:0.04,trt_cp,HEPG2,M24,PCL001_HEPG2_24H_X1_B20|PCL001_HEPG2_24H_X2_B20|PCL001_HEPG2_24H_X3_B20,PCL001_HEPG2_24H_X1_B20:M24|PCL001_HEPG2_24H_X2_B20:M24|PCL001_HEPG2_24H_X3_B20:M24,,PCL,ly-ester,1,1,0,1,866,ly-ester_0.04 uM_24 h_HEPG2,1,ly-ester_0.04 uM_24 h
