bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
b33,10,10,uM,10 uM,24 h,24,h,MCF10A.KRAS.HG,BRD-A12230535,3,0.66,342,0.480414,0,"0.35,0.36,0.30",0,0,0.520208,0.747845,4.18,17.2552,1,1,BRD-A12230535,LCP001_MCF10A.KRAS.HG_24H:I16,trt_cp,MCF10A,I16,LCP001_MCF10A.KRAS.HG_24H_X1.A2_B33|LCP001_MCF10A.KRAS.HG_24H_X2.A2_B33|LCP001_MCF10A.KRAS.HG_24H_X3.A2_B33,LCP001_MCF10A.KRAS.HG_24H_X1.A2_B33:I16|LCP001_MCF10A.KRAS.HG_24H_X2.A2_B33:I16|LCP001_MCF10A.KRAS.HG_24H_X3.A2_B33:I16,,LCP,nutlin-3,1,1,0,1,178,nutlin-3_10 uM_24 h_MCF10A,1,nutlin-3_10 uM_24 h
b33,1.11,1.11111,uM,1.11 uM,6 h,6,h,MCF10A.WT,BRD-K37890730,3,0.6745,478,0.574163,0.0236967,"0.32,0.35,0.34",0.168919,0,0.619333,0.776818,5.97,22.7677,1,1,BRD-K37890730,LCP001_MCF10A.WT_6H:I06,trt_cp,MCF10A,I06,LCP001_MCF10A.WT_6H_X1.A2_B33|LCP001_MCF10A.WT_6H_X2.A2_B33|LCP001_MCF10A.WT_6H_X3_B33,LCP001_MCF10A.WT_6H_X1.A2_B33:I06|LCP001_MCF10A.WT_6H_X2.A2_B33:I06|LCP001_MCF10A.WT_6H_X3_B33:I06,,LCP,camptothecin,1,1,0,1,178,camptothecin_1.11 uM_6 h_MCF10A,1,camptothecin_1.11 uM_6 h
b33,1.11,1.11111,uM,1.11 uM,3 h,3,h,MCF10A.WT,BRD-K92093830,3,0.49,185,0.304449,0,"0.31,0.39,0.30",0,0,0.462977,0.727238,10.05,42.406,1,1,BRD-K92093830,LCP001_MCF10A.WT_3H:D09,trt_cp,MCF10A,D09,LCP001_MCF10A.WT_3H_X1.A2_B33|LCP001_MCF10A.WT_3H_X2.A2_B33|LCP001_MCF10A.WT_3H_X3_B33,LCP001_MCF10A.WT_3H_X1.A2_B33:D09|LCP001_MCF10A.WT_3H_X2.A2_B33:D09|LCP001_MCF10A.WT_3H_X3_B33:D09,,LCP,doxorubicin,1,1,0,1,178,doxorubicin_1.11 uM_3 h_MCF10A,1,doxorubicin_1.11 uM_3 h
b33,3.33,3.33333,uM,3.33 uM,3 h,3,h,MCF10A.WT,BRD-K99964838,3,0.65,275,0.427517,0,"0.34,0.36,0.30",0.271003,0,0.546298,0.726977,10.05,42.406,1,1,BRD-K99964838,LCP001_MCF10A.WT_3H:B14,trt_cp,MCF10A,B14,LCP001_MCF10A.WT_3H_X1.A2_B33|LCP001_MCF10A.WT_3H_X2.A2_B33|LCP001_MCF10A.WT_3H_X3_B33,LCP001_MCF10A.WT_3H_X1.A2_B33:B14|LCP001_MCF10A.WT_3H_X2.A2_B33:B14|LCP001_MCF10A.WT_3H_X3_B33:B14,,LCP,bosutinib,1,1,0,1,178,bosutinib_3.33 uM_3 h_MCF10A,1,bosutinib_3.33 uM_3 h
b33,3.33,3.33333,uM,3.33 uM,12 h,12,h,MCF10A.WT,BRD-K89014967,3,0.72,387,0.533768,0.110229,"0.32,0.33,0.35",0,0.793651,0.69997,0.80436,3.24,14.6713,1,1,BRD-K89014967,LCP001_MCF10A.WT_12H:G02,trt_cp,MCF10A,G02,LCP001_MCF10A.WT_12H_X1.A2_B33|LCP001_MCF10A.WT_12H_X2.A2_B33|LCP001_MCF10A.WT_12H_X3.A2_B33,LCP001_MCF10A.WT_12H_X1.A2_B33:G02|LCP001_MCF10A.WT_12H_X2.A2_B33:G02|LCP001_MCF10A.WT_12H_X3.A2_B33:G02,,LCP,AS-703026,1,1,0,1,178,AS-703026_3.33 uM_12 h_MCF10A,1,AS-703026_3.33 uM_12 h
b33,1.11,1.11111,uM,1.11 uM,24 h,24,h,MCF10A.PIK3CA.HH,BRD-K08310154,3,0.53,336,0.426715,0,"0.37,0.34,0.29",0,0.13369,0.446386,0.675672,7.29,28.108,1,1,BRD-K08310154,LCP001_MCF10A.PIK3CA.HH_24H:I12,trt_cp,MCF10A,I12,LCP001_MCF10A.PIK3CA.HH_24H_X1_B33|LCP001_MCF10A.PIK3CA.HH_24H_X2_B33|LCP001_MCF10A.PIK3CA.HH_24H_X3_B33,LCP001_MCF10A.PIK3CA.HH_24H_X1_B33:I12|LCP001_MCF10A.PIK3CA.HH_24H_X2_B33:I12|LCP001_MCF10A.PIK3CA.HH_24H_X3_B33:I12,,LCP,AG-1024,1,1,0,1,178,AG-1024_1.11 uM_24 h_MCF10A,1,AG-1024_1.11 uM_24 h
b33,1.11,1.1045,uM,1.11 uM,24 h,24,h,MCF10A.WT,BRD-K06749501,3,0.53,249,0.36734,0.88574,"0.34,0.33,0.34",1.1979,0,0.500429,0.714428,3.26,14.7287,1,1,BRD-K06749501,LCP001_MCF10A.WT_24H:I24,trt_cp,MCF10A,I24,LCP001_MCF10A.WT_24H_X1.A2_B33|LCP001_MCF10A.WT_24H_X2.A2_B33|LCP001_MCF10A.WT_24H_X3.A2_B33,LCP001_MCF10A.WT_24H_X1.A2_B33:I24|LCP001_MCF10A.WT_24H_X2.A2_B33:I24|LCP001_MCF10A.WT_24H_X3.A2_B33:I24,,LCP,GSK-1838705A,1,1,0,1,178,GSK-1838705A_1.11 uM_24 h_MCF10A,1,GSK-1838705A_1.11 uM_24 h
b33,4,4.21394,uM,4 uM,6 h,6,h,MCF10A.WT,BRD-A19248578,3,0.586,291,0.417567,0,"0.32,0.35,0.33",0,0,0.556785,0.670984,5.97,22.7677,1,1,BRD-A19248578,LCP001_MCF10A.WT_6H:A14,trt_cp,MCF10A,A14,LCP001_MCF10A.WT_6H_X1.A2_B33|LCP001_MCF10A.WT_6H_X2.A2_B33|LCP001_MCF10A.WT_6H_X3_B33,LCP001_MCF10A.WT_6H_X1.A2_B33:A14|LCP001_MCF10A.WT_6H_X2.A2_B33:A14|LCP001_MCF10A.WT_6H_X3_B33:A14,,LCP,latrunculin-b,1,1,0,1,178,latrunculin-b_4 uM_6 h_MCF10A,1,latrunculin-b_4 uM_6 h
b33,10,10,uM,10 uM,24 h,24,h,MCF10A.KRAS.HG,BRD-K55187425,3,0.71,407,0.543572,0.178571,"0.34,0.31,0.35",0.40107,0,0.634259,0.779898,4.18,17.2552,1,1,BRD-K55187425,LCP001_MCF10A.KRAS.HG_24H:D13,trt_cp,MCF10A,D13,LCP001_MCF10A.KRAS.HG_24H_X1.A2_B33|LCP001_MCF10A.KRAS.HG_24H_X2.A2_B33|LCP001_MCF10A.KRAS.HG_24H_X3.A2_B33,LCP001_MCF10A.KRAS.HG_24H_X1.A2_B33:D13|LCP001_MCF10A.KRAS.HG_24H_X2.A2_B33:D13|LCP001_MCF10A.KRAS.HG_24H_X3.A2_B33:D13,,LCP,rigosertib,1,1,0,1,178,rigosertib_10 uM_24 h_MCF10A,1,rigosertib_10 uM_24 h
b33,10,9.99921,uM,10 uM,24 h,24,h,MCF10A.PIK3CA.HH,BRD-K24821794,3,0.72,321,0.486127,0,"0.34,0.34,0.31",0,0,0.63904,0.788728,7.29,28.108,1,1,BRD-K24821794,LCP001_MCF10A.PIK3CA.HH_24H:C19,trt_cp,MCF10A,C19,LCP001_MCF10A.PIK3CA.HH_24H_X1_B33|LCP001_MCF10A.PIK3CA.HH_24H_X2_B33|LCP001_MCF10A.PIK3CA.HH_24H_X3_B33,LCP001_MCF10A.PIK3CA.HH_24H_X1_B33:C19|LCP001_MCF10A.PIK3CA.HH_24H_X2_B33:C19|LCP001_MCF10A.PIK3CA.HH_24H_X3_B33:C19,,LCP,SGC-CBP30,1,1,0,1,178,SGC-CBP30_10 uM_24 h_MCF10A,1,SGC-CBP30_10 uM_24 h
b33,1.11,1.11111,uM,1.11 uM,6 h,6,h,MCF10A.WT,BRD-K15179513,3,0.449,235,0.328464,0.0236967,"0.31,0.40,0.29",2.77778,0,0.406407,0.693477,5.97,22.7677,1,1,BRD-K15179513,LCP001_MCF10A.WT_6H:H03,trt_cp,MCF10A,H03,LCP001_MCF10A.WT_6H_X1.A2_B33|LCP001_MCF10A.WT_6H_X2.A2_B33|LCP001_MCF10A.WT_6H_X3_B33,LCP001_MCF10A.WT_6H_X1.A2_B33:H03|LCP001_MCF10A.WT_6H_X2.A2_B33:H03|LCP001_MCF10A.WT_6H_X3_B33:H03,,LCP,NVP-ADW742,1,1,0,1,178,NVP-ADW742_1.11 uM_6 h_MCF10A,1,NVP-ADW742_1.11 uM_6 h
b33,1.11,1.11111,uM,1.11 uM,6 h,6,h,MCF10A.WT,BRD-K14560436,3,0.4834,332,0.405091,0.7109,"0.29,0.37,0.34",2.16735,0,0.401018,0.688802,5.97,22.7677,1,1,BRD-K14560436,LCP001_MCF10A.WT_6H:A18,trt_cp,MCF10A,A18,LCP001_MCF10A.WT_6H_X1.A2_B33|LCP001_MCF10A.WT_6H_X2.A2_B33|LCP001_MCF10A.WT_6H_X3_B33,LCP001_MCF10A.WT_6H_X1.A2_B33:A18|LCP001_MCF10A.WT_6H_X2.A2_B33:A18|LCP001_MCF10A.WT_6H_X3_B33:A18,,LCP,TG-02,1,1,0,1,178,TG-02_1.11 uM_6 h_MCF10A,1,TG-02_1.11 uM_6 h
b33,1.11,1.11111,uM,1.11 uM,24 h,24,h,MCF10A.PIK3CA.HH,BRD-K22503835,3,0.75,344,0.513618,0,"0.34,0.34,0.32",0,0.396825,0.694608,0.776085,7.29,28.108,1,1,BRD-K22503835,LCP001_MCF10A.PIK3CA.HH_24H:E09,trt_cp,MCF10A,E09,LCP001_MCF10A.PIK3CA.HH_24H_X1_B33|LCP001_MCF10A.PIK3CA.HH_24H_X2_B33|LCP001_MCF10A.PIK3CA.HH_24H_X3_B33,LCP001_MCF10A.PIK3CA.HH_24H_X1_B33:E09|LCP001_MCF10A.PIK3CA.HH_24H_X2_B33:E09|LCP001_MCF10A.PIK3CA.HH_24H_X3_B33:E09,,LCP,scriptaid,1,1,0,1,178,scriptaid_1.11 uM_24 h_MCF10A,1,scriptaid_1.11 uM_24 h
b33,10,10,uM,10 uM,6 h,6,h,MCF10A.WT,BRD-K44665581,3,0.7268,543,0.63524,0,"0.28,0.36,0.35",0.168919,0,0.545337,0.771101,5.97,22.7677,1,1,BRD-K44665581,LCP001_MCF10A.WT_6H:D04,trt_cp,MCF10A,D04,LCP001_MCF10A.WT_6H_X1.A2_B33|LCP001_MCF10A.WT_6H_X2.A2_B33|LCP001_MCF10A.WT_6H_X3_B33,LCP001_MCF10A.WT_6H_X1.A2_B33:D04|LCP001_MCF10A.WT_6H_X2.A2_B33:D04|LCP001_MCF10A.WT_6H_X3_B33:D04,,LCP,bromosporine,1,1,0,1,178,bromosporine_10 uM_6 h_MCF10A,1,bromosporine_10 uM_6 h
b33,10,10,uM,10 uM,24 h,24,h,MCF10A.PIK3CA.HH,BRD-K61734568,3,0.61,344,0.463207,0.0446429,"0.40,0.38,0.21",0,1.49689,0.287866,0.519984,7.29,28.108,1,1,BRD-K61734568,LCP001_MCF10A.PIK3CA.HH_24H:O16,trt_cp,MCF10A,O16,LCP001_MCF10A.PIK3CA.HH_24H_X1_B33|LCP001_MCF10A.PIK3CA.HH_24H_X2_B33|LCP001_MCF10A.PIK3CA.HH_24H_X3_B33,LCP001_MCF10A.PIK3CA.HH_24H_X1_B33:O16|LCP001_MCF10A.PIK3CA.HH_24H_X2_B33:O16|LCP001_MCF10A.PIK3CA.HH_24H_X3_B33:O16,,LCP,BRD-K61734568,1,1,0,1,178,BRD-K61734568_10 uM_24 h_MCF10A,1,BRD-K61734568_10 uM_24 h
b33,10,10,uM,10 uM,6 h,6,h,MCF10A.WT,BRD-K35329391,3,0.5379,248,0.369324,0,"0.32,0.36,0.32",0,0,0.527934,0.763386,5.97,22.7677,1,1,BRD-K35329391,LCP001_MCF10A.WT_6H:P16,trt_cp,MCF10A,P16,LCP001_MCF10A.WT_6H_X1.A2_B33|LCP001_MCF10A.WT_6H_X2.A2_B33|LCP001_MCF10A.WT_6H_X3_B33,LCP001_MCF10A.WT_6H_X1.A2_B33:P16|LCP001_MCF10A.WT_6H_X2.A2_B33:P16|LCP001_MCF10A.WT_6H_X3_B33:P16,,LCP,GZD-824,1,1,0,1,178,GZD-824_10 uM_6 h_MCF10A,1,GZD-824_10 uM_6 h
b33,1.11,1.11111,uM,1.11 uM,24 h,24,h,MCF10A.PIK3CA.HH,BRD-K52233191,3,0.52,378,0.44831,0.0446429,"0.32,0.35,0.33",0.13369,0,0.514521,0.700272,7.29,28.108,1,1,BRD-K52233191,LCP001_MCF10A.PIK3CA.HH_24H:J18,trt_cp,MCF10A,J18,LCP001_MCF10A.PIK3CA.HH_24H_X1_B33|LCP001_MCF10A.PIK3CA.HH_24H_X2_B33|LCP001_MCF10A.PIK3CA.HH_24H_X3_B33,LCP001_MCF10A.PIK3CA.HH_24H_X1_B33:J18|LCP001_MCF10A.PIK3CA.HH_24H_X2_B33:J18|LCP001_MCF10A.PIK3CA.HH_24H_X3_B33:J18,,LCP,R-547,1,1,0,1,178,R-547_1.11 uM_24 h_MCF10A,1,R-547_1.11 uM_24 h
b35,3.33,3.33333,uM,3.33 uM,24 h,24,h,MCF10A.KRAS.HG,BRD-K30466858,3,0.6275,189,0.348232,0,"0.33,0.35,0.32",0,1.51675,0.598901,0.707357,2.51,12.8912,1,1,BRD-K30466858,ISO002_MCF10A.KRAS.HG_24H:H14,trt_cp,MCF10A,H14,ISO002_MCF10A.KRAS.HG_24H_X1_B35|ISO002_MCF10A.KRAS.HG_24H_X2_B35|ISO002_MCF10A.KRAS.HG_24H_X3_B34,ISO002_MCF10A.KRAS.HG_24H_X1_B35:H14|ISO002_MCF10A.KRAS.HG_24H_X2_B35:H14|ISO002_MCF10A.KRAS.HG_24H_X3_B34:H14,,ISO,ellagic-acid,1,1,0,1,178,ellagic-acid_3.33 uM_24 h_MCF10A,1,ellagic-acid_3.33 uM_24 h
