bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
b32,,,"","",24 h,24,h,U2OS,CMAP-000,3,0.53,478,0.508959,0.658492,"0.33,0.34,0.32",1.23228,0,0.511286,0.679363,10.07,42.6069,1,1,CMAP-000,MOA001_U2OS_24H:E01,ctl_untrt,U2OS,E01,MOA001_U2OS_24H_X1_B32|MOA001_U2OS_24H_X2.A2_B32|MOA001_U2OS_24H_X3_B32,MOA001_U2OS_24H_X1_B32:E01|MOA001_U2OS_24H_X2.A2_B32:E01|MOA001_U2OS_24H_X3_B32:E01,,MOA,UnTrt,0,0,0,1,29,UnTrt__24 h_U2OS,28,UnTrt__24 h
b32,,,"","",24 h,24,h,U2OS,CMAP-000,3,0.21,53,0.106679,0.726612,"0.34,0.38,0.28",7.61379,16.0466,0.17016,0.356264,10.07,42.6069,0,1,CMAP-000,MOA001_U2OS_24H:L23,ctl_untrt,U2OS,L23,MOA001_U2OS_24H_X1_B32|MOA001_U2OS_24H_X2.A2_B32|MOA001_U2OS_24H_X3_B32,MOA001_U2OS_24H_X1_B32:L23|MOA001_U2OS_24H_X2.A2_B32:L23|MOA001_U2OS_24H_X3_B32:L23,,MOA,UnTrt,0,0,0,1,29,UnTrt__24 h_U2OS,28,UnTrt__24 h
b32,,,"","",24 h,24,h,U2OS,CMAP-000,3,0.13,82,0.104402,3.31517,"0.28,0.31,0.41",5.47271,21.7801,0.110631,0.322979,10.07,42.6069,0,1,CMAP-000,MOA001_U2OS_24H:O23,ctl_untrt,U2OS,O23,MOA001_U2OS_24H_X1_B32|MOA001_U2OS_24H_X2.A2_B32|MOA001_U2OS_24H_X3_B32,MOA001_U2OS_24H_X1_B32:O23|MOA001_U2OS_24H_X2.A2_B32:O23|MOA001_U2OS_24H_X3_B32:O23,,MOA,UnTrt,0,0,0,1,29,UnTrt__24 h_U2OS,28,UnTrt__24 h
b32,,,"","",24 h,24,h,U2OS,CMAP-000,3,0.2,194,0.19918,0.953678,"0.23,0.50,0.27",14.4333,8.53256,0.17302,0.45388,10.07,42.6069,0,1,CMAP-000,MOA001_U2OS_24H:F01,ctl_untrt,U2OS,F01,MOA001_U2OS_24H_X1_B32|MOA001_U2OS_24H_X2.A2_B32|MOA001_U2OS_24H_X3_B32,MOA001_U2OS_24H_X1_B32:F01|MOA001_U2OS_24H_X2.A2_B32:F01|MOA001_U2OS_24H_X3_B32:F01,,MOA,UnTrt,0,0,0,1,29,UnTrt__24 h_U2OS,28,UnTrt__24 h
b32,,,"","",24 h,24,h,U2OS,CMAP-000,3,0.27,442,0.34932,5.92643,"0.49,0.14,0.37",20.677,26.1708,0.116564,0.30851,10.07,42.6069,0,1,CMAP-000,MOA001_U2OS_24H:I01,ctl_untrt,U2OS,I01,MOA001_U2OS_24H_X1_B32|MOA001_U2OS_24H_X2.A2_B32|MOA001_U2OS_24H_X3_B32,MOA001_U2OS_24H_X1_B32:I01|MOA001_U2OS_24H_X2.A2_B32:I01|MOA001_U2OS_24H_X3_B32:I01,,MOA,UnTrt,0,0,0,1,29,UnTrt__24 h_U2OS,28,UnTrt__24 h
b32,,,"","",24 h,24,h,U2OS,CMAP-000,3,0.39,211,0.290071,2.7475,"0.38,0.24,0.38",11.8457,6.19835,0.213918,0.486894,10.07,42.6069,0,1,CMAP-000,MOA001_U2OS_24H:E23,ctl_untrt,U2OS,E23,MOA001_U2OS_24H_X1_B32|MOA001_U2OS_24H_X2.A2_B32|MOA001_U2OS_24H_X3_B32,MOA001_U2OS_24H_X1_B32:E23|MOA001_U2OS_24H_X2.A2_B32:E23|MOA001_U2OS_24H_X3_B32:E23,,MOA,UnTrt,0,0,0,1,29,UnTrt__24 h_U2OS,28,UnTrt__24 h
b32,,,"","",24 h,24,h,U2OS,CMAP-000,3,0.12,62,0.0872202,10.4905,"0.50,0.26,0.24",16.8484,19.6549,0.110182,0.335825,10.07,42.6069,0,1,CMAP-000,MOA001_U2OS_24H:I23,ctl_untrt,U2OS,I23,MOA001_U2OS_24H_X1_B32|MOA001_U2OS_24H_X2.A2_B32|MOA001_U2OS_24H_X3_B32,MOA001_U2OS_24H_X1_B32:I23|MOA001_U2OS_24H_X2.A2_B32:I23|MOA001_U2OS_24H_X3_B32:I23,,MOA,UnTrt,0,0,0,1,29,UnTrt__24 h_U2OS,28,UnTrt__24 h
b32,,,"","",24 h,24,h,U2OS,CMAP-000,3,0.15,73,0.105813,3.88283,"0.29,0.21,0.50",8.12672,43.9394,0.116772,0.188634,10.07,42.6069,0,1,CMAP-000,MOA001_U2OS_24H:A23,ctl_untrt,U2OS,A23,MOA001_U2OS_24H_X1_B32|MOA001_U2OS_24H_X2.A2_B32|MOA001_U2OS_24H_X3_B32,MOA001_U2OS_24H_X1_B32:A23|MOA001_U2OS_24H_X2.A2_B32:A23|MOA001_U2OS_24H_X3_B32:A23,,MOA,UnTrt,0,0,0,1,29,UnTrt__24 h_U2OS,28,UnTrt__24 h
b32,,,"","",24 h,24,h,U2OS,CMAP-000,3,0.2,92,0.137164,7.60672,"0.49,0.39,0.12",22.0666,39.429,0.0664181,0.175155,10.07,42.6069,0,1,CMAP-000,MOA001_U2OS_24H:F23,ctl_untrt,U2OS,F23,MOA001_U2OS_24H_X1_B32|MOA001_U2OS_24H_X2.A2_B32|MOA001_U2OS_24H_X3_B32,MOA001_U2OS_24H_X1_B32:F23|MOA001_U2OS_24H_X2.A2_B32:F23|MOA001_U2OS_24H_X3_B32:F23,,MOA,UnTrt,0,0,0,1,29,UnTrt__24 h_U2OS,28,UnTrt__24 h
b32,,,"","",24 h,24,h,U2OS,CMAP-000,3,0.24,196,0.219313,1.24886,"0.29,0.38,0.34",13.4543,5.08534,0.197138,0.483937,10.07,42.6069,0,1,CMAP-000,MOA001_U2OS_24H:J01,ctl_untrt,U2OS,J01,MOA001_U2OS_24H_X1_B32|MOA001_U2OS_24H_X2.A2_B32|MOA001_U2OS_24H_X3_B32,MOA001_U2OS_24H_X1_B32:J01|MOA001_U2OS_24H_X2.A2_B32:J01|MOA001_U2OS_24H_X3_B32:J01,,MOA,UnTrt,0,0,0,1,29,UnTrt__24 h_U2OS,28,UnTrt__24 h
b32,,,"","",24 h,24,h,U2OS,CMAP-000,3,0.18,80,0.121342,3.40599,"0.39,0.30,0.32",6.42952,45.7393,0.164542,0.141252,10.07,42.6069,0,1,CMAP-000,MOA001_U2OS_24H:P23,ctl_untrt,U2OS,P23,MOA001_U2OS_24H_X1_B32|MOA001_U2OS_24H_X2.A2_B32|MOA001_U2OS_24H_X3_B32,MOA001_U2OS_24H_X1_B32:P23|MOA001_U2OS_24H_X2.A2_B32:P23|MOA001_U2OS_24H_X3_B32:P23,,MOA,UnTrt,0,0,0,1,29,UnTrt__24 h_U2OS,28,UnTrt__24 h
