bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
b32,10,9.97249,uM,10 uM,24 h,24,h,U2OS,BRD-K15107389,3,0.63,267,0.414721,0,"0.34,0.34,0.33",0,0,0.599055,0.804124,10.07,42.6069,1,1,BRD-K15107389,MOA001_U2OS_24H:I09,trt_cp,U2OS,I09,MOA001_U2OS_24H_X1_B32|MOA001_U2OS_24H_X2.A2_B32|MOA001_U2OS_24H_X3_B32,MOA001_U2OS_24H_X1_B32:I09|MOA001_U2OS_24H_X2.A2_B32:I09|MOA001_U2OS_24H_X3_B32:I09,,MOA,BRD-K15107389,1,1,0,1,976,BRD-K15107389_10 uM_24 h_U2OS,1,BRD-K15107389_10 uM_24 h
b32,0.37,0.37037,uM,0.37 uM,24 h,24,h,U2OS,BRD-K91041732,3,0.76,494,0.619585,0.0227066,"0.34,0.33,0.34",0,0,0.733337,0.863619,10.07,42.6069,1,1,BRD-K91041732,MOA001_U2OS_24H:D12,trt_cp,U2OS,D12,MOA001_U2OS_24H_X1_B32|MOA001_U2OS_24H_X2.A2_B32|MOA001_U2OS_24H_X3_B32,MOA001_U2OS_24H_X1_B32:D12|MOA001_U2OS_24H_X2.A2_B32:D12|MOA001_U2OS_24H_X3_B32:D12,,MOA,BRD-K91041732,1,1,0,1,976,BRD-K91041732_0.37 uM_24 h_U2OS,1,BRD-K91041732_0.37 uM_24 h
b32,3.33,3.33333,uM,3.33 uM,24 h,24,h,U2OS,BRD-K04466929,3,0.56,261,0.386585,0.0681199,"0.32,0.34,0.33",0.134048,0,0.535767,0.756269,10.07,42.6069,1,1,BRD-K04466929,MOA001_U2OS_24H:G18,trt_cp,U2OS,G18,MOA001_U2OS_24H_X1_B32|MOA001_U2OS_24H_X2.A2_B32|MOA001_U2OS_24H_X3_B32,MOA001_U2OS_24H_X1_B32:G18|MOA001_U2OS_24H_X2.A2_B32:G18|MOA001_U2OS_24H_X3_B32:G18,,MOA,Merck60,1,1,0,1,976,Merck60_3.33 uM_24 h_U2OS,1,Merck60_3.33 uM_24 h
b32,0.37,0.37039,uM,0.37 uM,24 h,24,h,U2OS,BRD-K21867462,3,0.52,387,0.453615,0.408719,"0.35,0.33,0.32",2.81871,2.45349,0.487706,0.60066,10.07,42.6069,1,1,BRD-K21867462,MOA001_U2OS_24H:N22,trt_cp,U2OS,N22,MOA001_U2OS_24H_X1_B32|MOA001_U2OS_24H_X2.A2_B32|MOA001_U2OS_24H_X3_B32,MOA001_U2OS_24H_X1_B32:N22|MOA001_U2OS_24H_X2.A2_B32:N22|MOA001_U2OS_24H_X3_B32:N22,,MOA,GSK-2816126,1,1,0,1,976,GSK-2816126_0.37 uM_24 h_U2OS,1,GSK-2816126_0.37 uM_24 h
b32,10,10.0003,uM,10 uM,24 h,24,h,U2OS,BRD-K02407574,3,0.82,494,0.643578,0,"0.34,0.34,0.33",0,0,0.795727,0.894533,10.07,42.6069,1,1,BRD-K02407574,MOA001_U2OS_24H:P04,trt_cp,U2OS,P04,MOA001_U2OS_24H_X1_B32|MOA001_U2OS_24H_X2.A2_B32|MOA001_U2OS_24H_X3_B32,MOA001_U2OS_24H_X1_B32:P04|MOA001_U2OS_24H_X2.A2_B32:P04|MOA001_U2OS_24H_X3_B32:P04,,MOA,parbendazole,1,1,0,1,976,parbendazole_10 uM_24 h_U2OS,1,parbendazole_10 uM_24 h
b32,10,10,uM,10 uM,24 h,24,h,U2OS,BRD-K82710617,3,0.57,312,0.426428,0.0227066,"0.39,0.30,0.31",0.536193,0,0.532227,0.745271,10.07,42.6069,1,1,BRD-K82710617,MOA001_U2OS_24H:G05,trt_cp,U2OS,G05,MOA001_U2OS_24H_X1_B32|MOA001_U2OS_24H_X2.A2_B32|MOA001_U2OS_24H_X3_B32,MOA001_U2OS_24H_X1_B32:G05|MOA001_U2OS_24H_X2.A2_B32:G05|MOA001_U2OS_24H_X3_B32:G05,,MOA,BRD-K82710617,1,1,0,1,976,BRD-K82710617_10 uM_24 h_U2OS,1,BRD-K82710617_10 uM_24 h
b32,10,10,uM,10 uM,24 h,24,h,U2OS,BRD-K50919475,3,0.42,239,0.320372,0.295186,"0.38,0.35,0.27",1.37002,0.271789,0.312262,0.644069,10.07,42.6069,1,1,BRD-K50919475,MOA001_U2OS_24H:A07,trt_cp,U2OS,A07,MOA001_U2OS_24H_X1_B32|MOA001_U2OS_24H_X2.A2_B32|MOA001_U2OS_24H_X3_B32,MOA001_U2OS_24H_X1_B32:A07|MOA001_U2OS_24H_X2.A2_B32:A07|MOA001_U2OS_24H_X3_B32:A07,,MOA,BRD-K50919475,1,1,0,1,976,BRD-K50919475_10 uM_24 h_U2OS,1,BRD-K50919475_10 uM_24 h
b32,1.11,1.11111,uM,1.11 uM,24 h,24,h,U2OS,BRD-K01877528,3,0.71,436,0.562604,0.0454133,"0.34,0.32,0.34",0.275482,0,0.673167,0.857113,10.07,42.6069,1,1,BRD-K01877528,MOA001_U2OS_24H:H11,trt_cp,U2OS,H11,MOA001_U2OS_24H_X1_B32|MOA001_U2OS_24H_X2.A2_B32|MOA001_U2OS_24H_X3_B32,MOA001_U2OS_24H_X1_B32:H11|MOA001_U2OS_24H_X2.A2_B32:H11|MOA001_U2OS_24H_X3_B32:H11,,MOA,TL-HRAS-61,1,1,0,1,976,TL-HRAS-61_1.11 uM_24 h_U2OS,1,TL-HRAS-61_1.11 uM_24 h
b32,10,10,uM,10 uM,24 h,24,h,U2OS,BRD-A56592690,3,0.71,350,0.504073,0,"0.34,0.33,0.33",0.137741,0.137741,0.691538,0.838324,10.07,42.6069,1,1,BRD-A56592690,MOA001_U2OS_24H:I05,trt_cp,U2OS,I05,MOA001_U2OS_24H_X1_B32|MOA001_U2OS_24H_X2.A2_B32|MOA001_U2OS_24H_X3_B32,MOA001_U2OS_24H_X1_B32:I05|MOA001_U2OS_24H_X2.A2_B32:I05|MOA001_U2OS_24H_X3_B32:I05,,MOA,PX-12,1,1,0,1,976,PX-12_10 uM_24 h_U2OS,1,PX-12_10 uM_24 h
b41,0.12,0.1,uM,0.12 uM,6 h,6,h,U2OS,BRD-A37630846,5,0.5678,373,0.465353,0,"0.23,0.21,0.21,0.11,0.23",0,0.337407,0.523094,0.74536,17.44,73.0118,1,1,BRD-A37630846,ASG003_U2OS_6H:O21,trt_cp,U2OS,O21,ASG003_U2OS_6H_X1_B41|ASG003_U2OS_6H_X2_B41|ASG003_U2OS_6H_X3.A2_B41|ASG003_U2OS_6H_X4_B41|ASG003_U2OS_6H_X5.A2_B41,ASG003_U2OS_6H_X1_B41:O21|ASG003_U2OS_6H_X2_B41:O21|ASG003_U2OS_6H_X3.A2_B41:O21|ASG003_U2OS_6H_X4_B41:O21|ASG003_U2OS_6H_X5.A2_B41:O21,,ASG,daunorubicin,1,1,0,1,976,daunorubicin_0.12 uM_6 h_U2OS,1,daunorubicin_0.12 uM_6 h
b41,10,9.84272,uM,10 uM,48 h,48,h,U2OS,BRD-K91623615,5,0.6906,429,0.550392,0,"0.20,0.19,0.20,0.21,0.19",0,0.471698,0.663938,0.78239,12.09,52.4548,1,1,BRD-K91623615,ASG003_U2OS_48H:M07,trt_cp,U2OS,M07,ASG003_U2OS_48H_X1_B41|ASG003_U2OS_48H_X2_B41|ASG003_U2OS_48H_X3_B41|ASG003_U2OS_48H_X4_B41|ASG003_U2OS_48H_X5_B41,ASG003_U2OS_48H_X1_B41:M07|ASG003_U2OS_48H_X2_B41:M07|ASG003_U2OS_48H_X3_B41:M07|ASG003_U2OS_48H_X4_B41:M07|ASG003_U2OS_48H_X5_B41:M07,,ASG,ABT-751,1,1,0,1,976,ABT-751_10 uM_48 h_U2OS,1,ABT-751_10 uM_48 h
