bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
b3,10,10,uM,10 uM,24 h,24,h,VCAP,BRD-A00758722,3,0.81,572,0.688289,0.184162,"""""""""""""""""""""""""""""""""",0.273224,0.409836,0.783852,0.835514,7.91,31.0939,1,1,BRD-A00758722,CPC002_VCAP_24H:BRD-A00758722-001-03-1:10,trt_cp,VCAP,O07,CPC002_VCAP_24H_X1_B3_DUO52HI53LO|CPC002_VCAP_24H_X2_B3_DUO52HI53LO|CPC002_VCAP_24H_X3_B3_DUO52HI53LO,CPC002_VCAP_24H_X1_B3_DUO52HI53LO:O07|CPC002_VCAP_24H_X2_B3_DUO52HI53LO:O07|CPC002_VCAP_24H_X3_B3_DUO52HI53LO:O07,,CPC,noretynodrel,1,1,0,1,1442,noretynodrel_10 uM_24 h_VCAP,2,noretynodrel_10 uM_24 h
b5,10,10,uM,10 uM,24 h,24,h,VCAP,BRD-K96704648,4,0.42,263,0.336073,0.412939,"""""""""""""""""""""""""""""""""",3.96175,1.42357,0.236854,0.571466,13.9,61.2116,1,1,BRD-K96704648,CPC009_VCAP_24H:BRD-K96704648-001-05-4:10,trt_cp,VCAP,O18,CPC009_VCAP_24H_X1_B5_DUO52HI53LO|CPC009_VCAP_24H_X2_F1B5_DUO52HI53LO|CPC009_VCAP_24H_X4_F1B5_DUO52HI53LO|CPC009_VCAP_24H_X5_F1B5_DUO52HI53LO,CPC009_VCAP_24H_X1_B5_DUO52HI53LO:O18|CPC009_VCAP_24H_X2_F1B5_DUO52HI53LO:O18|CPC009_VCAP_24H_X4_F1B5_DUO52HI53LO:O18|CPC009_VCAP_24H_X5_F1B5_DUO52HI53LO:O18,,CPC,BRD-K96704648,1,1,0,1,1442,BRD-K96704648_10 uM_24 h_VCAP,1,BRD-K96704648_10 uM_24 h
f1b3,10,10,uM,10 uM,6 h,6,h,VCAP,BRD-K88217904,5,0.33,287,0.311192,1.92944,"""""""""""""""""""""""""""""""""",9.29807,21.9872,0.282704,0.307307,9.51,39.5636,0,1,BRD-K88217904,CPC019_VCAP_6H:BRD-K88217904-001-01-5:10,trt_cp,VCAP,G16,CPC019_VCAP_6H_X1_F1B3_DUO52HI53LO|CPC019_VCAP_6H_X2_B4_DUO52HI53LO|CPC019_VCAP_6H_X3_F1B3_DUO52HI53LO|CPC019_VCAP_6H_X4_B5_DUO52HI53LO|CPC019_VCAP_6H_X5_B5_DUO52HI53LO,CPC019_VCAP_6H_X1_F1B3_DUO52HI53LO:G16|CPC019_VCAP_6H_X2_B4_DUO52HI53LO:G16|CPC019_VCAP_6H_X3_F1B3_DUO52HI53LO:G16|CPC019_VCAP_6H_X4_B5_DUO52HI53LO:G16|CPC019_VCAP_6H_X5_B5_DUO52HI53LO:G16,,CPC,BRD-K88217904,1,1,0,1,1442,BRD-K88217904_10 uM_6 h_VCAP,1,BRD-K88217904_10 uM_6 h
b4,10,10,uM,10 uM,6 h,6,h,VCAP,BRD-K78126613,4,0.55,501,0.5308,0,"""""""""""""""""""""""""""""""""",0,0.133333,0.470305,0.6642,12.78,55.8714,1,1,BRD-K78126613,CPC006_VCAP_6H:BRD-K78126613-001-16-0:10,trt_cp,VCAP,C16,CPC006_VCAP_6H_X1_B4_DUO52HI53LO|CPC006_VCAP_6H_X3_B4_DUO52HI53LO|CPC006_VCAP_6H_X4_B4_DUO52HI53LO|CPC006_VCAP_6H_X5_B4_DUO52HI53LO,CPC006_VCAP_6H_X1_B4_DUO52HI53LO:C16|CPC006_VCAP_6H_X3_B4_DUO52HI53LO:C16|CPC006_VCAP_6H_X4_B4_DUO52HI53LO:C16|CPC006_VCAP_6H_X5_B4_DUO52HI53LO:C16,,CPC,menadione,1,1,0,1,1442,menadione_10 uM_6 h_VCAP,1,menadione_10 uM_6 h
f1b3,10,10,uM,10 uM,24 h,24,h,VCAP,BRD-K84855138-001-05-5,5,0.3418,382,0.365383,9.70716,"0.29,0.31,0.07,0.01,0.32",32.1898,27.0801,0.0537901,0.285701,20.16,80.0459,0,1,BRD-K84855138,CPC007_VCAP_24H:B04,trt_cp,VCAP,B04,CPC007_VCAP_24H_X1_F1B3_DUO52HI53LO|CPC007_VCAP_24H_X2_B3_DUO52HI53LO|CPC007_VCAP_24H_X3_B3_DUO52HI53LO|CPC007_VCAP_24H_X4_F1B5_DUO52HI53LO|CPC007_VCAP_24H_X5_F1B5_DUO52HI53LO,CPC007_VCAP_24H_X1_F1B3_DUO52HI53LO:B04|CPC007_VCAP_24H_X2_B3_DUO52HI53LO:B04|CPC007_VCAP_24H_X3_B3_DUO52HI53LO:B04|CPC007_VCAP_24H_X4_F1B5_DUO52HI53LO:B04|CPC007_VCAP_24H_X5_F1B5_DUO52HI53LO:B04,,CPC,BRD-K84855138,1,1,0,1,1442,BRD-K84855138_10 uM_24 h_VCAP,1,BRD-K84855138_10 uM_24 h
b5,10,10,uM,10 uM,6 h,6,h,VCAP,BRD-K98490050,4,0.61,406,0.503221,0,"""""""""""""""""""""""""""""""""",0,0,0.572471,0.829155,12.32,53.6032,1,1,BRD-K98490050,CPC004_VCAP_6H:BRD-K98490050-001-01-8:10,trt_cp,VCAP,D04,CPC004_VCAP_6H_X1_B5_DUO52HI53LO|CPC004_VCAP_6H_X2_F1B5_DUO52HI53LO|CPC004_VCAP_6H_X3_F1B5_DUO52HI53LO|CPC004_VCAP_6H_X5_B5_DUO52HI53LO,CPC004_VCAP_6H_X1_B5_DUO52HI53LO:D04|CPC004_VCAP_6H_X2_F1B5_DUO52HI53LO:D04|CPC004_VCAP_6H_X3_F1B5_DUO52HI53LO:D04|CPC004_VCAP_6H_X5_B5_DUO52HI53LO:D04,,CPC,amsacrine,1,1,0,1,1442,amsacrine_10 uM_6 h_VCAP,1,amsacrine_10 uM_6 h
b3,10,10,uM,10 uM,24 h,24,h,VCAP,BRD-K90027355-001-03-4,5,0.3948,390,0.396782,0.271297,"0.24,0.21,0.22,0.14,0.19",1.68994,1.62402,0.307562,0.529402,9.99,41.9753,1,1,BRD-K90027355,CPC001_VCAP_24H:I03,trt_cp,VCAP,I03,CPC001_VCAP_24H_X1_B3_DUO52HI53LO|CPC001_VCAP_24H_X2_B3_DUO52HI53LO|CPC001_VCAP_24H_X3_B3_DUO52HI53LO|CPC001_VCAP_24H_X4_F1B5_DUO52HI53LO|CPC001_VCAP_24H_X5_F2B4_DUO52HI53LO,CPC001_VCAP_24H_X1_B3_DUO52HI53LO:I03|CPC001_VCAP_24H_X2_B3_DUO52HI53LO:I03|CPC001_VCAP_24H_X3_B3_DUO52HI53LO:I03|CPC001_VCAP_24H_X4_F1B5_DUO52HI53LO:I03|CPC001_VCAP_24H_X5_F2B4_DUO52HI53LO:I03,,CPC,spironolactone,1,1,0,1,1442,spironolactone_10 uM_24 h_VCAP,1,spironolactone_10 uM_24 h
f1b3,10,10,uM,10 uM,6 h,6,h,VCAP,BRD-K71799949,5,0.53,310,0.409873,0.162955,"""""""""""""""""""""""""""""""""",3.27015,1.06994,0.34612,0.730855,16.5,70.0833,1,1,BRD-K71799949,CPC020_VCAP_6H:BRD-K71799949-001-28-1:10,trt_cp,VCAP,B21,CPC020_VCAP_6H_X1_F1B3_DUO52HI53LO|CPC020_VCAP_6H_X2_B4_DUO52HI53LO|CPC020_VCAP_6H_X3_B4_DUO52HI53LO|CPC020_VCAP_6H_X4_B5_DUO52HI53LO|CPC020_VCAP_6H_X5_B5_DUO52HI53LO,CPC020_VCAP_6H_X1_F1B3_DUO52HI53LO:B21|CPC020_VCAP_6H_X2_B4_DUO52HI53LO:B21|CPC020_VCAP_6H_X3_B4_DUO52HI53LO:B21|CPC020_VCAP_6H_X4_B5_DUO52HI53LO:B21|CPC020_VCAP_6H_X5_B5_DUO52HI53LO:B21,,CPC,carbamazepine,1,1,0,1,1442,carbamazepine_10 uM_6 h_VCAP,1,carbamazepine_10 uM_6 h
b3,80,80,uM,80 uM,24 h,24,h,VCAP,BRD-K83213911,5,0.43,284,0.353365,0.0556174,"""""""""""""""""""""""""""""""""",0.140056,0,0.319952,0.592198,10.19,43.1525,1,1,BRD-K83213911,CPC006_VCAP_24H:BRD-K83213911-001-02-8:80,trt_cp,VCAP,H13,CPC006_VCAP_24H_X1_B3_DUO52HI53LO|CPC006_VCAP_24H_X2_B3_DUO52HI53LO|CPC006_VCAP_24H_X3_B3_DUO52HI53LO|CPC006_VCAP_24H_X4_B4_DUO52HI53LO|CPC006_VCAP_24H_X5_B4_DUO52HI53LO,CPC006_VCAP_24H_X1_B3_DUO52HI53LO:H13|CPC006_VCAP_24H_X2_B3_DUO52HI53LO:H13|CPC006_VCAP_24H_X3_B3_DUO52HI53LO:H13|CPC006_VCAP_24H_X4_B4_DUO52HI53LO:H13|CPC006_VCAP_24H_X5_B4_DUO52HI53LO:H13,,CPC,PF-750,1,1,0,1,1442,PF-750_80 uM_24 h_VCAP,1,PF-750_80 uM_24 h
b4,10,10,uM,10 uM,6 h,6,h,VCAP,BRD-K15025317,4,0.6,325,0.446527,0,"""""""""""""""""""""""""""""""""",0.0672043,0,0.532806,0.823078,12.78,55.8714,1,1,BRD-K15025317,CPC006_VCAP_6H:BRD-K15025317-001-05-2:10,trt_cp,VCAP,I20,CPC006_VCAP_6H_X1_B4_DUO52HI53LO|CPC006_VCAP_6H_X3_B4_DUO52HI53LO|CPC006_VCAP_6H_X4_B4_DUO52HI53LO|CPC006_VCAP_6H_X5_B4_DUO52HI53LO,CPC006_VCAP_6H_X1_B4_DUO52HI53LO:I20|CPC006_VCAP_6H_X3_B4_DUO52HI53LO:I20|CPC006_VCAP_6H_X4_B4_DUO52HI53LO:I20|CPC006_VCAP_6H_X5_B4_DUO52HI53LO:I20,,CPC,BAY-11-7082,1,1,0,1,1442,BAY-11-7082_10 uM_6 h_VCAP,1,BAY-11-7082_10 uM_6 h
