bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
b32,10,10,uM,10 uM,6 h,6,h,YAPC,BRD-A67788537,3,0.59,197,0.344738,0,"0.33,0.33,0.34",0.176056,0.176056,0.591775,0.729717,3.08,14.2693,1,1,BRD-A67788537,LPROT004_YAPC_6H:BRD-A67788537:10,trt_cp,YAPC,G20|G22|G24,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:G20|LPROT004_YAPC_6H_X1_B32:G22|LPROT004_YAPC_6H_X1_B32:G24,,LPROT,salermide,1,1,0,1,177,salermide_10 uM_6 h_YAPC,1,salermide_10 uM_6 h
b32,10,10,uM,10 uM,6 h,6,h,YAPC,BRD-K52560704,3,0.8,439,0.59925,0,"0.33,0.34,0.33",0.176056,0.176056,0.793721,0.88401,3.08,14.2693,1,1,BRD-K52560704,LPROT004_YAPC_6H:BRD-K52560704:10,trt_cp,YAPC,I14|I16|I18,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:I14|LPROT004_YAPC_6H_X1_B32:I16|LPROT004_YAPC_6H_X1_B32:I18,,LPROT,methylstat,1,1,0,1,177,methylstat_10 uM_6 h_YAPC,1,methylstat_10 uM_6 h
b32,10,10,uM,10 uM,6 h,6,h,YAPC,BRD-K07691486,3,0.6,260,0.399386,0,"0.36,0.32,0.33",0.176056,0.176056,0.567467,0.75726,3.08,14.2693,1,1,BRD-K07691486,LPROT004_YAPC_6H:BRD-K07691486:10,trt_cp,YAPC,F19|F21|F23,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:F19|LPROT004_YAPC_6H_X1_B32:F21|LPROT004_YAPC_6H_X1_B32:F23,,LPROT,roscovitine,1,1,0,1,177,roscovitine_10 uM_6 h_YAPC,1,roscovitine_10 uM_6 h
b32,10,10,uM,10 uM,6 h,6,h,YAPC,BRD-K80738081,3,0.78,394,0.560565,0,"0.34,0.34,0.32",0.176056,0.176056,0.743376,0.803121,3.08,14.2693,1,1,BRD-K80738081,LPROT004_YAPC_6H:BRD-K80738081:10,trt_cp,YAPC,C20|C22|C24,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:C20|LPROT004_YAPC_6H_X1_B32:C22|LPROT004_YAPC_6H_X1_B32:C24,,LPROT,resveratrol,1,1,0,1,177,resveratrol_10 uM_6 h_YAPC,1,resveratrol_10 uM_6 h
b32,4,5,uM,4 uM,6 h,6,h,YAPC,BRD-K98203492,3,0.56,182,0.32282,0.176056,"0.32,0.34,0.34",0.880282,3.16901,0.514277,0.626926,3.08,14.2693,1,1,BRD-K98203492,LPROT004_YAPC_6H:BRD-K98203492:5,trt_cp,YAPC,K14|K16|K18,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:K14|LPROT004_YAPC_6H_X1_B32:K16|LPROT004_YAPC_6H_X1_B32:K18,,LPROT,GSK-J4,1,1,0,1,177,GSK-J4_4 uM_6 h_YAPC,1,GSK-J4_4 uM_6 h
b32,10,10,uM,10 uM,6 h,6,h,YAPC,BRD-K93023739,3,0.62,151,0.309396,0,"0.33,0.34,0.33",0.176056,0.176056,0.613864,0.746467,3.08,14.2693,1,1,BRD-K93023739,LPROT004_YAPC_6H:BRD-K93023739:10,trt_cp,YAPC,P20|P22|P24,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:P20|LPROT004_YAPC_6H_X1_B32:P22|LPROT004_YAPC_6H_X1_B32:P24,,LPROT,BRD-K93023739,1,1,0,1,177,BRD-K93023739_10 uM_6 h_YAPC,1,BRD-K93023739_10 uM_6 h
b32,25,25,uM,25 uM,6 h,6,h,YAPC,BRD-K01567962,3,0.66,266,0.423685,0,"0.33,0.34,0.34",0.176056,0.176056,0.643478,0.814272,3.08,14.2693,1,1,BRD-K01567962,LPROT004_YAPC_6H:BRD-K01567962:25,trt_cp,YAPC,N08|N10|N12,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:N08|LPROT004_YAPC_6H_X1_B32:N10|LPROT004_YAPC_6H_X1_B32:N12,,LPROT,pyrazolanthrone,1,1,0,1,177,pyrazolanthrone_25 uM_6 h_YAPC,1,pyrazolanthrone_25 uM_6 h
b32,3.33,3,uM,3.33 uM,6 h,6,h,YAPC,BRD-A65730376,3,0.65,219,0.381513,0,"0.35,0.33,0.32",0.176056,0.176056,0.633958,0.744592,3.08,14.2693,1,1,BRD-A65730376,LPROT004_YAPC_6H:BRD-A65730376:3,trt_cp,YAPC,O02|O04|O06,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:O02|LPROT004_YAPC_6H_X1_B32:O04|LPROT004_YAPC_6H_X1_B32:O06,,LPROT,BRD-A65730376,1,1,0,1,177,BRD-A65730376_3.33 uM_6 h_YAPC,1,BRD-A65730376_3.33 uM_6 h
b32,10,10,uM,10 uM,6 h,6,h,YAPC,BRD-K26818574,3,0.69,256,0.424986,0,"0.32,0.34,0.34",0.176056,0.176056,0.626725,0.798903,3.08,14.2693,1,1,BRD-K26818574,LPROT004_YAPC_6H:BRD-K26818574:10,trt_cp,YAPC,M08|M10|M12,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:M08|LPROT004_YAPC_6H_X1_B32:M10|LPROT004_YAPC_6H_X1_B32:M12,,LPROT,BIX-01294,1,1,0,1,177,BIX-01294_10 uM_6 h_YAPC,1,BIX-01294_10 uM_6 h
b32,10,10,uM,10 uM,6 h,6,h,YAPC,BRD-K92960067,3,0.83,449,0.617295,0,"0.34,0.34,0.32",0.176056,0.176056,0.777057,0.876815,3.08,14.2693,1,1,BRD-K92960067,LPROT004_YAPC_6H:BRD-K92960067:10,trt_cp,YAPC,H01|H03|H05,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:H01|LPROT004_YAPC_6H_X1_B32:H03|LPROT004_YAPC_6H_X1_B32:H05,,LPROT,SMER-3,1,1,0,1,177,SMER-3_10 uM_6 h_YAPC,1,SMER-3_10 uM_6 h
b32,10,10,uM,10 uM,6 h,6,h,YAPC,BRD-K27305650,3,0.7,315,0.474826,0,"0.33,0.34,0.33",0.176056,0.176056,0.684112,0.719118,3.08,14.2693,1,1,BRD-K27305650,LPROT004_YAPC_6H:BRD-K27305650:10,trt_cp,YAPC,O20|O22|O24,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:O20|LPROT004_YAPC_6H_X1_B32:O22|LPROT004_YAPC_6H_X1_B32:O24,,LPROT,LY-294002,1,1,0,1,177,LY-294002_10 uM_6 h_YAPC,1,LY-294002_10 uM_6 h
