bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
b35,,,Unknown,"",96 h,96,h,AGS.311,CMAP-000,3,0.2888,146,0.207626,3,"0.50,0.22,0.28",42,37,0.244566,0.479943,0,0,0,1,CMAP-000,XPR009_AGS.311_96H:H24,ctl_untrt,AGS,H24,XPR009_AGS.311_96H_X1_B35|XPR009_AGS.311_96H_X2_B35|XPR009_AGS.311_96H_X3_B35,XPR009_AGS.311_96H_X1_B35:H24|XPR009_AGS.311_96H_X2_B35:H24|XPR009_AGS.311_96H_X3_B35:H24,,XPR,UnTrt,0,0,0,1,238,UnTrt__96 h_AGS,238,UnTrt__96 h
b35,,,Unknown,"",96 h,96,h,AGS.311,CMAP-000,3,0.1553,144,0.151202,19.6065,"0.05,0.48,0.48",48.0196,35.6499,0.000146092,0.229782,13.86,61.0106,0,1,CMAP-000,XPR010_AGS.311_96H:D21,ctl_untrt,AGS,D21,XPR010_AGS.311_96H_X1_B35|XPR010_AGS.311_96H_X2_B35|XPR010_AGS.311_96H_X3.L2_B36,XPR010_AGS.311_96H_X1_B35:D21|XPR010_AGS.311_96H_X2_B35:D21|XPR010_AGS.311_96H_X3.L2_B36:D21,,XPR,UnTrt,0,0,0,1,238,UnTrt__96 h_AGS,238,UnTrt__96 h
b37,,,Unknown,"",96 h,96,h,AGS.311,CMAP-000,3,0.22,90,0.142297,4.83438,"0.31,0.23,0.46",6.7919,9.3355,0.169106,0.388416,13.63,59.8909,0,1,CMAP-000,XPR026_AGS.311_96H:H03,ctl_untrt,AGS,H03,XPR026_AGS.311_96H_X1_B37|XPR026_AGS.311_96H_X2_B37|XPR026_AGS.311_96H_X3_B37,XPR026_AGS.311_96H_X1_B37:H03|XPR026_AGS.311_96H_X2_B37:H03|XPR026_AGS.311_96H_X3_B37:H03,,XPR,UnTrt,0,0,0,1,238,UnTrt__96 h_AGS,238,UnTrt__96 h
b36,,,Unknown,"",96 h,96,h,AGS.311,CMAP-000,3,0.4478,234,0.32731,0.157516,"0.37,0.31,0.31",0.677933,1.89462,0.447179,0.593302,8.51,34.3956,1,1,CMAP-000,XPR015_AGS.311_96H:L24,ctl_untrt,AGS,L24,XPR015_AGS.311_96H_X1_B36|XPR015_AGS.311_96H_X2_B36|XPR015_AGS.311_96H_X3_B36,XPR015_AGS.311_96H_X1_B36:L24|XPR015_AGS.311_96H_X2_B36:L24|XPR015_AGS.311_96H_X3_B36:L24,,XPR,UnTrt,0,0,0,1,238,UnTrt__96 h_AGS,238,UnTrt__96 h
b36,,,Unknown,"",96 h,96,h,AGS.311,CMAP-000,3,0.2648,315,0.292055,4.9024,"0.31,0.35,0.34",7.27357,19.3167,0.230849,0.438778,9.23,38.2142,0,1,CMAP-000,XPR016_AGS.311_96H:L01,ctl_untrt,AGS,L01,XPR016_AGS.311_96H_X1_B36|XPR016_AGS.311_96H_X2_B36|XPR016_AGS.311_96H_X3_B36,XPR016_AGS.311_96H_X1_B36:L01|XPR016_AGS.311_96H_X2_B36:L01|XPR016_AGS.311_96H_X3_B36:L01,,XPR,UnTrt,0,0,0,1,238,UnTrt__96 h_AGS,238,UnTrt__96 h
b35,,,Unknown,"",96 h,96,h,AGS.311,CMAP-000,3,0.25,93,0.175543,4,"0.34,0.42,0.25",15,43.5,0.175775,0.351716,0,0,0,1,CMAP-000,XPR008_AGS.311_96H:L23,ctl_untrt,AGS,L23,XPR008_AGS.311_96H_X1_B35|XPR008_AGS.311_96H_X2.L2.A2_B38|XPR008_AGS.311_96H_X3_B35,XPR008_AGS.311_96H_X1_B35:L23|XPR008_AGS.311_96H_X2.L2.A2_B38:L23|XPR008_AGS.311_96H_X3_B35:L23,,XPR,UnTrt,0,0,0,1,238,UnTrt__96 h_AGS,238,UnTrt__96 h
b40,,,Unknown,"",96 h,96,h,AGS.311,CMAP-000,3,0.3807,146,0.23841,0.373462,"0.33,0.35,0.32",0.263852,0.263852,0.369148,0.560035,22.26,83.6922,1,1,CMAP-000,XPR037_AGS.311_96H:B17,ctl_untrt,AGS,B17,XPR037_AGS.311_96H_X1_B40|XPR037_AGS.311_96H_X2_B40|XPR037_AGS.311_96H_X3_B40,XPR037_AGS.311_96H_X1_B40:B17|XPR037_AGS.311_96H_X2_B40:B17|XPR037_AGS.311_96H_X3_B40:B17,,XPR,UnTrt,0,0,0,1,238,UnTrt__96 h_AGS,238,UnTrt__96 h
b36,,,Unknown,"",96 h,96,h,AGS.311,CMAP-000,3,0.2339,187,0.211475,19.5133,"0.03,0.48,0.48",64.418,78.1085,-0.0709528,-0.187945,5.36,20.5857,0,1,CMAP-000,XPR021_AGS.311_96H:F05,ctl_untrt,AGS,F05,XPR021_AGS.311_96H_X1_B36|XPR021_AGS.311_96H_X2_B36|XPR021_AGS.311_96H_X3_B36,XPR021_AGS.311_96H_X1_B36:F05|XPR021_AGS.311_96H_X2_B36:F05|XPR021_AGS.311_96H_X3_B36:F05,,XPR,UnTrt,0,0,0,1,238,UnTrt__96 h_AGS,238,UnTrt__96 h
b36,,,Unknown,"",96 h,96,h,AGS.311,CMAP-000,3,0.2901,84,0.157846,1.13132,"0.31,0.41,0.29",6.63123,14.9097,0.264799,0.382839,8.09,32.0701,0,1,CMAP-000,XPR022_AGS.311_96H:O17,ctl_untrt,AGS,O17,XPR022_AGS.311_96H_X1_B36|XPR022_AGS.311_96H_X2_B36|XPR022_AGS.311_96H_X3_B36,XPR022_AGS.311_96H_X1_B36:O17|XPR022_AGS.311_96H_X2_B36:O17|XPR022_AGS.311_96H_X3_B36:O17,,XPR,UnTrt,0,0,0,1,238,UnTrt__96 h_AGS,238,UnTrt__96 h
b37,,,Unknown,"",96 h,96,h,AGS.311,CMAP-000,3,0.2625,122,0.180951,1.65929,"0.40,0.31,0.29",6.91068,3.73637,0.24576,0.459194,13.23,58.4266,1,1,CMAP-000,XPR023_AGS.311_96H:E24,ctl_untrt,AGS,E24,XPR023_AGS.311_96H_X1_B37|XPR023_AGS.311_96H_X2_B37|XPR023_AGS.311_96H_X3_B37,XPR023_AGS.311_96H_X1_B37:E24|XPR023_AGS.311_96H_X2_B37:E24|XPR023_AGS.311_96H_X3_B37:E24,,XPR,UnTrt,0,0,0,1,238,UnTrt__96 h_AGS,238,UnTrt__96 h
b37,,,Unknown,"",96 h,96,h,AGS.311,CMAP-000,3,0.1375,69,0.0985008,11.5044,"0.34,0.16,0.50",31.1215,34.8357,0.0765007,0.336957,13.09,57.795,0,1,CMAP-000,XPR025_AGS.311_96H:I12,ctl_untrt,AGS,I12,XPR025_AGS.311_96H_X1_B37|XPR025_AGS.311_96H_X2_B37|XPR025_AGS.311_96H_X3_B37,XPR025_AGS.311_96H_X1_B37:I12|XPR025_AGS.311_96H_X2_B37:I12|XPR025_AGS.311_96H_X3_B37:I12,,XPR,UnTrt,0,0,0,1,238,UnTrt__96 h_AGS,238,UnTrt__96 h
b37,,,Unknown,"",96 h,96,h,AGS.311,CMAP-000,3,0.2717,134,0.192946,6.37869,"0.13,0.43,0.45",27.5157,33.0241,0.0684078,0.213403,13.63,59.8909,0,1,CMAP-000,XPR026_AGS.311_96H:G21,ctl_untrt,AGS,G21,XPR026_AGS.311_96H_X1_B37|XPR026_AGS.311_96H_X2_B37|XPR026_AGS.311_96H_X3_B37,XPR026_AGS.311_96H_X1_B37:G21|XPR026_AGS.311_96H_X2_B37:G21|XPR026_AGS.311_96H_X3_B37:G21,,XPR,UnTrt,0,0,0,1,238,UnTrt__96 h_AGS,238,UnTrt__96 h
b40,,,Unknown,"",96 h,96,h,AGS.311,CMAP-000,3,0.0967,70,0.0832078,19.1748,"0.50,0.43,0.07",44.0179,30.6249,0.0179438,0.180083,21.13,81.625,0,1,CMAP-000,XPR031_AGS.311_96H:K17,ctl_untrt,AGS,K17,XPR031_AGS.311_96H_X4_B40|XPR031_AGS.311_96H_X5_B40|XPR031_AGS.311_96H_X6_B40,XPR031_AGS.311_96H_X4_B40:K17|XPR031_AGS.311_96H_X5_B40:K17|XPR031_AGS.311_96H_X6_B40:K17,,XPR,UnTrt,0,0,0,1,238,UnTrt__96 h_AGS,238,UnTrt__96 h
b40,,,Unknown,"",96 h,96,h,AGS.311,CMAP-000,3,0.1433,50,0.085581,4.95115,"0.29,0.37,0.34",19.9732,24.0081,0.11387,0.320458,16.91,71.5762,0,1,CMAP-000,XPR033_AGS.311_96H:H18,ctl_untrt,AGS,H18,XPR033_AGS.311_96H_X1_B40|XPR033_AGS.311_96H_X2_B40|XPR033_AGS.311_96H_X3_B40,XPR033_AGS.311_96H_X1_B40:H18|XPR033_AGS.311_96H_X2_B40:H18|XPR033_AGS.311_96H_X3_B40:H18,,XPR,UnTrt,0,0,0,1,238,UnTrt__96 h_AGS,238,UnTrt__96 h
b36,,,Unknown,"",96 h,96,h,AGS.311,CMAP-000,3,0.2071,153,0.179978,11.8767,"0.50,0.43,0.07",39.9282,27.8344,0.0448957,0.264896,5.6,21.4757,0,1,CMAP-000,XPR018_AGS.311_96H:A17,ctl_untrt,AGS,A17,XPR018_AGS.311_96H_X1_B36|XPR018_AGS.311_96H_X2.A2_B39|XPR018_AGS.311_96H_X3_B36,XPR018_AGS.311_96H_X1_B36:A17|XPR018_AGS.311_96H_X2.A2_B39:A17|XPR018_AGS.311_96H_X3_B36:A17,,XPR,UnTrt,0,0,0,1,238,UnTrt__96 h_AGS,238,UnTrt__96 h
b35,,,Unknown,"",96 h,96,h,AGS.311,CMAP-000,3,0.2584,194,0.2264,15.493,"0.49,0.49,0.03",62.5795,41.1515,-0.0426931,0.169193,14.49,63.2788,0,1,CMAP-000,XPR009_AGS.311_96H:C07,ctl_untrt,AGS,C07,XPR009_AGS.311_96H_X1_B35|XPR009_AGS.311_96H_X2_B35|XPR009_AGS.311_96H_X3_B35,XPR009_AGS.311_96H_X1_B35:C07|XPR009_AGS.311_96H_X2_B35:C07|XPR009_AGS.311_96H_X3_B35:C07,,XPR,UnTrt,0,0,0,1,238,UnTrt__96 h_AGS,238,UnTrt__96 h
b36,,,Unknown,"",96 h,96,h,AGS.311,CMAP-000,3,0.4807,238,0.342039,0.44405,"0.32,0.35,0.33",0.935116,1.33333,0.472793,0.563016,9.81,41.0566,1,1,CMAP-000,XPR013_AGS.311_96H:D21,ctl_untrt,AGS,D21,XPR013_AGS.311_96H_X1_B36|XPR013_AGS.311_96H_X2_B36|XPR013_AGS.311_96H_X3_B36,XPR013_AGS.311_96H_X1_B36:D21|XPR013_AGS.311_96H_X2_B36:D21|XPR013_AGS.311_96H_X3_B36:D21,,XPR,UnTrt,0,0,0,1,238,UnTrt__96 h_AGS,238,UnTrt__96 h
b40,,,Unknown,"",96 h,96,h,AGS.311,CMAP-000,3,0.2118,137,0.172228,8,"0.49,0.12,0.39",95.5,40,0.077241,0.356753,0,0,0,1,CMAP-000,XPR037_AGS.311_96H:D18,ctl_untrt,AGS,D18,XPR037_AGS.311_96H_X1_B40|XPR037_AGS.311_96H_X2_B40|XPR037_AGS.311_96H_X3_B40,XPR037_AGS.311_96H_X1_B40:D18|XPR037_AGS.311_96H_X2_B40:D18|XPR037_AGS.311_96H_X3_B40:D18,,XPR,UnTrt,0,0,0,1,238,UnTrt__96 h_AGS,238,UnTrt__96 h
b36,,,Unknown,"",96 h,96,h,AGS.311,CMAP-000,3,0.2348,75,0.13418,4.60819,"0.26,0.33,0.41",9.3476,3.64516,0.179139,0.462977,11.67,50.3589,1,1,CMAP-000,XPR019_AGS.311_96H:E13,ctl_untrt,AGS,E13,XPR019_AGS.311_96H_X1_B36|XPR019_AGS.311_96H_X2_B36|XPR019_AGS.311_96H_X3_B36,XPR019_AGS.311_96H_X1_B36:E13|XPR019_AGS.311_96H_X2_B36:E13|XPR019_AGS.311_96H_X3_B36:E13,,XPR,UnTrt,0,0,0,1,238,UnTrt__96 h_AGS,238,UnTrt__96 h
b36,,,Unknown,"",96 h,96,h,AGS.311,CMAP-000,3,0.5506,226,0.356689,0.0222025,"0.31,0.34,0.36",0.40107,1.2025,0.490578,0.58026,9.81,41.0566,1,1,CMAP-000,XPR013_AGS.311_96H:H18,ctl_untrt,AGS,H18,XPR013_AGS.311_96H_X1_B36|XPR013_AGS.311_96H_X2_B36|XPR013_AGS.311_96H_X3_B36,XPR013_AGS.311_96H_X1_B36:H18|XPR013_AGS.311_96H_X2_B36:H18|XPR013_AGS.311_96H_X3_B36:H18,,XPR,UnTrt,0,0,0,1,238,UnTrt__96 h_AGS,238,UnTrt__96 h
b37,,,Unknown,"",96 h,96,h,AGS.311,CMAP-000,3,0.1833,75,0.118564,3.85297,"0.25,0.37,0.38",12.2613,3.05185,0.10901,0.421962,11.12,47.6026,1,1,CMAP-000,XPR027_AGS.311_96H:H13,ctl_untrt,AGS,H13,XPR027_AGS.311_96H_X1_B37|XPR027_AGS.311_96H_X2_B37|XPR027_AGS.311_96H_X3_B37,XPR027_AGS.311_96H_X1_B37:H13|XPR027_AGS.311_96H_X2_B37:H13|XPR027_AGS.311_96H_X3_B37:H13,,XPR,UnTrt,0,0,0,1,238,UnTrt__96 h_AGS,238,UnTrt__96 h
