bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
b41,,,Unknown,"",96 h,96,h,BICR6.311,CMAP-000,3,0.0863,58,0.0715489,17,"0.32,0.30,0.38",77.5,211,0.0821414,0,0,0,0,1,CMAP-000,XPR035_BICR6.311_96H:F09,ctl_untrt,BICR6,F09,XPR035_BICR6.311_96H_X4_B41|XPR035_BICR6.311_96H_X5_B40|XPR035_BICR6.311_96H_X6_B41,XPR035_BICR6.311_96H_X4_B41:F09|XPR035_BICR6.311_96H_X5_B40:F09|XPR035_BICR6.311_96H_X6_B41:F09,,XPR,UnTrt,0,0,0,1,219,UnTrt__96 h_BICR6,219,UnTrt__96 h
b36,,,Unknown,"",96 h,96,h,BICR6.311,CMAP-000,3,0.1182,158,0.138179,16.9894,"0.36,0.14,0.50",36.8552,45.6181,0.0522604,0.19305,8.36,33.3908,0,1,CMAP-000,XPR008_BICR6.311_96H:L23,ctl_untrt,BICR6,L23,XPR008_BICR6.311_96H_X1_B36|XPR008_BICR6.311_96H_X2_B36|XPR008_BICR6.311_96H_X3_B36,XPR008_BICR6.311_96H_X1_B36:L23|XPR008_BICR6.311_96H_X2_B36:L23|XPR008_BICR6.311_96H_X3_B36:L23,,XPR,UnTrt,0,0,0,1,219,UnTrt__96 h_BICR6,219,UnTrt__96 h
b41,,,Unknown,"",96 h,96,h,BICR6.311,CMAP-000,3,0.3296,142,0.218763,1.98063,"0.35,0.26,0.39",6.09659,4.10509,0.223775,0.465398,16.88,71.3753,1,1,CMAP-000,XPR037_BICR6.311_96H:O09,ctl_untrt,BICR6,O09,XPR037_BICR6.311_96H_X4_B41|XPR037_BICR6.311_96H_X5_B41|XPR037_BICR6.311_96H_X6_B40,XPR037_BICR6.311_96H_X4_B41:O09|XPR037_BICR6.311_96H_X5_B41:O09|XPR037_BICR6.311_96H_X6_B40:O09,,XPR,UnTrt,0,0,0,1,219,UnTrt__96 h_BICR6,219,UnTrt__96 h
b38,,,Unknown,"",96 h,96,h,BICR6.311,CMAP-000,3,0.2356,147,0.188193,8.66578,"0.14,0.47,0.39",20.0734,6.55386,0.0862458,0.379885,10.94,46.4829,0,1,CMAP-000,XPR031_BICR6.311_96H:A12,ctl_untrt,BICR6,A12,XPR031_BICR6.311_96H_X1_B38|XPR031_BICR6.311_96H_X2.L2_B41|XPR031_BICR6.311_96H_X3_B38,XPR031_BICR6.311_96H_X1_B38:A12|XPR031_BICR6.311_96H_X2.L2_B41:A12|XPR031_BICR6.311_96H_X3_B38:A12,,XPR,UnTrt,0,0,0,1,219,UnTrt__96 h_BICR6,219,UnTrt__96 h
b36,,,Unknown,"",96 h,96,h,BICR6.311,CMAP-000,3,0.2821,207,0.244371,15.534,"0.49,0.03,0.49",53.3097,35.0805,-0.0155464,0.231453,6.32,24.3755,0,1,CMAP-000,XPR012_BICR6.311_96H:L05,ctl_untrt,BICR6,L05,XPR012_BICR6.311_96H_X1_B36|XPR012_BICR6.311_96H_X2_B36|XPR012_BICR6.311_96H_X3_B36,XPR012_BICR6.311_96H_X1_B36:L05|XPR012_BICR6.311_96H_X2_B36:L05|XPR012_BICR6.311_96H_X3_B36:L05,,XPR,UnTrt,0,0,0,1,219,UnTrt__96 h_BICR6,219,UnTrt__96 h
b40,,,Unknown,"",96 h,96,h,BICR6.311,CMAP-000,3,0.2001,67,0.117071,11.1136,"0.50,0.40,0.10",27.0003,44.8966,0.0593884,0.0993168,8.19,32.7017,0,1,CMAP-000,XPR034_BICR6.311_96H:F10,ctl_untrt,BICR6,F10,XPR034_BICR6.311_96H_X4_B40|XPR034_BICR6.311_96H_X5_B40|XPR034_BICR6.311_96H_X6.A2_B41,XPR034_BICR6.311_96H_X4_B40:F10|XPR034_BICR6.311_96H_X5_B40:F10|XPR034_BICR6.311_96H_X6.A2_B41:F10,,XPR,UnTrt,0,0,0,1,219,UnTrt__96 h_BICR6,219,UnTrt__96 h
b41,,,Unknown,"",96 h,96,h,BICR6.311,CMAP-000,3,0.0954,94,0.095776,15.3559,"0.50,0.28,0.22",23.7722,45.1718,0.0816752,0.192561,20.67,80.936,0,1,CMAP-000,XPR033_BICR6.311_96H:C13,ctl_untrt,BICR6,C13,XPR033_BICR6.311_96H_X4.A3_B41|XPR033_BICR6.311_96H_X5.A2_B41|XPR033_BICR6.311_96H_X6_B41,XPR033_BICR6.311_96H_X4.A3_B41:C13|XPR033_BICR6.311_96H_X5.A2_B41:C13|XPR033_BICR6.311_96H_X6_B41:C13,,XPR,UnTrt,0,0,0,1,219,UnTrt__96 h_BICR6,219,UnTrt__96 h
b37,,,Unknown,"",96 h,96,h,BICR6.311,CMAP-000,3,0.2796,107,0.174903,6.86057,"0.14,0.44,0.42",27.1098,52.3523,0.0796658,0.105497,12,52.1964,0,1,CMAP-000,XPR019_BICR6.311_96H:A16,ctl_untrt,BICR6,A16,XPR019_BICR6.311_96H_X1_B37|XPR019_BICR6.311_96H_X2_B37|XPR019_BICR6.311_96H_X3_B37,XPR019_BICR6.311_96H_X1_B37:A16|XPR019_BICR6.311_96H_X2_B37:A16|XPR019_BICR6.311_96H_X3_B37:A16,,XPR,UnTrt,0,0,0,1,219,UnTrt__96 h_BICR6,219,UnTrt__96 h
b41,,,Unknown,"",96 h,96,h,BICR6.311,CMAP-000,3,0.2748,132,0.1926,3,"0.50,0.20,0.30",32,13.5,0.204562,0.517633,0,0,0,1,CMAP-000,XPR037_BICR6.311_96H:F11,ctl_untrt,BICR6,F11,XPR037_BICR6.311_96H_X4_B41|XPR037_BICR6.311_96H_X5_B41|XPR037_BICR6.311_96H_X6_B40,XPR037_BICR6.311_96H_X4_B41:F11|XPR037_BICR6.311_96H_X5_B41:F11|XPR037_BICR6.311_96H_X6_B40:F11,,XPR,UnTrt,0,0,0,1,219,UnTrt__96 h_BICR6,219,UnTrt__96 h
b37,,,Unknown,"",96 h,96,h,BICR6.311,CMAP-000,3,0.2641,134,0.190211,3.45982,"0.19,0.41,0.40",11.7569,11.2046,0.100444,0.420119,11.3,48.2056,0,1,CMAP-000,XPR026_BICR6.311_96H:H24,ctl_untrt,BICR6,H24,XPR026_BICR6.311_96H_X1_B37|XPR026_BICR6.311_96H_X2_B37|XPR026_BICR6.311_96H_X3_B37,XPR026_BICR6.311_96H_X1_B37:H24|XPR026_BICR6.311_96H_X2_B37:H24|XPR026_BICR6.311_96H_X3_B37:H24,,XPR,UnTrt,0,0,0,1,219,UnTrt__96 h_BICR6,219,UnTrt__96 h
