bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
b40,,,"","",96 h,96,h,MCF7,CMAP-000,3,0.0928,108,0.101232,21.2808,"0.20,0.50,0.30",32.1429,29.3651,0.0663535,0.346732,18.02,74.275,0,1,CMAP-000,OFL001_MCF7_96H:J10,ctl_untrt,MCF7,J10,OFL001_MCF7_96H_X1.L2_B40|OFL001_MCF7_96H_X2.L2_B40|OFL001_MCF7_96H_X3.L2_B40,OFL001_MCF7_96H_X1.L2_B40:J10|OFL001_MCF7_96H_X2.L2_B40:J10|OFL001_MCF7_96H_X3.L2_B40:J10,,OFL,UnTrt,0,0,0,1,313,UnTrt__96 h_MCF7,277,UnTrt__96 h
b40,,,"","",96 h,96,h,MCF7,CMAP-000,3,0.1704,354,0.248352,4.18134,"0.35,0.49,0.16",16.6667,22.0899,0.0874244,0.190814,18.02,74.275,0,1,CMAP-000,OFL001_MCF7_96H:G07,ctl_untrt,MCF7,G07,OFL001_MCF7_96H_X1.L2_B40|OFL001_MCF7_96H_X2.L2_B40|OFL001_MCF7_96H_X3.L2_B40,OFL001_MCF7_96H_X1.L2_B40:G07|OFL001_MCF7_96H_X2.L2_B40:G07|OFL001_MCF7_96H_X3.L2_B40:G07,,OFL,UnTrt,0,0,0,1,313,UnTrt__96 h_MCF7,277,UnTrt__96 h
b40,,,"","",96 h,96,h,MCF7,CMAP-000,3,0.1023,233,0.156116,15.8891,"0.50,0.39,0.11",39.0212,38.4921,0.0344452,0.188371,18.02,74.275,0,1,CMAP-000,OFL001_MCF7_96H:M02,ctl_untrt,MCF7,M02,OFL001_MCF7_96H_X1.L2_B40|OFL001_MCF7_96H_X2.L2_B40|OFL001_MCF7_96H_X3.L2_B40,OFL001_MCF7_96H_X1.L2_B40:M02|OFL001_MCF7_96H_X2.L2_B40:M02|OFL001_MCF7_96H_X3.L2_B40:M02,,OFL,UnTrt,0,0,0,1,313,UnTrt__96 h_MCF7,277,UnTrt__96 h
b40,,,"","",96 h,96,h,MCF7,CMAP-000,3,0.0325,262,0.0933089,36.9815,"0.41,0.19,0.41",54.4855,52.1416,-0.0151661,0.122033,16.76,70.9446,0,1,CMAP-000,OFL002_MCF7_96H:G15,ctl_untrt,MCF7,G15,OFL002_MCF7_96H_X1.L2_B40|OFL002_MCF7_96H_X2.L2_B40|OFL002_MCF7_96H_X3.L2_B40,OFL002_MCF7_96H_X1.L2_B40:G15|OFL002_MCF7_96H_X2.L2_B40:G15|OFL002_MCF7_96H_X3.L2_B40:G15,,OFL,UnTrt,0,0,0,1,313,UnTrt__96 h_MCF7,277,UnTrt__96 h
b40,,,"","",96 h,96,h,MCF7,CMAP-000,3,0.0451,106,0.0699152,35.0132,"0.14,0.43,0.43",64.1534,40.0794,-0.0564175,0.215558,18.02,74.275,0,1,CMAP-000,OFL001_MCF7_96H:J22,ctl_untrt,MCF7,J22,OFL001_MCF7_96H_X1.L2_B40|OFL001_MCF7_96H_X2.L2_B40|OFL001_MCF7_96H_X3.L2_B40,OFL001_MCF7_96H_X1.L2_B40:J22|OFL001_MCF7_96H_X2.L2_B40:J22|OFL001_MCF7_96H_X3.L2_B40:J22,,OFL,UnTrt,0,0,0,1,313,UnTrt__96 h_MCF7,277,UnTrt__96 h
b40,,,"","",96 h,96,h,MCF7,CMAP-000,3,0.0789,106,0.0924745,28.169,"0.19,0.31,0.50",34.127,47.619,0.0539952,0.162952,18.02,74.275,0,1,CMAP-000,OFL001_MCF7_96H:G16,ctl_untrt,MCF7,G16,OFL001_MCF7_96H_X1.L2_B40|OFL001_MCF7_96H_X2.L2_B40|OFL001_MCF7_96H_X3.L2_B40,OFL001_MCF7_96H_X1.L2_B40:G16|OFL001_MCF7_96H_X2.L2_B40:G16|OFL001_MCF7_96H_X3.L2_B40:G16,,OFL,UnTrt,0,0,0,1,313,UnTrt__96 h_MCF7,277,UnTrt__96 h
f1b6,,,"","",96 h,96,h,MCF7,CMAP-000,3,0.4091,101,0.205545,2.30144,"0.39,0.18,0.43",13.6962,13.3138,0.165007,0.391156,14.87,64.4272,0,1,CMAP-000,DER001_MCF7_96H:F09,ctl_untrt,MCF7,F09,DER001_MCF7_96H_X1_F1B6_DUO52HI53LO|DER001_MCF7_96H_X2.A2_B11_DUO52HI53LO|DER001_MCF7_96H_X3_F1B6_DUO52HI53LO,DER001_MCF7_96H_X1_F1B6_DUO52HI53LO:F09|DER001_MCF7_96H_X2.A2_B11_DUO52HI53LO:F09|DER001_MCF7_96H_X3_F1B6_DUO52HI53LO:F09,,DER,UnTrt,0,0,0,1,313,UnTrt__96 h_MCF7,277,UnTrt__96 h
b40,,,"","",96 h,96,h,MCF7,CMAP-000,3,0.1128,112,0.113656,16.6372,"0.35,0.25,0.40",21.1082,19.6269,0.0734589,0.336847,16.76,70.9446,0,1,CMAP-000,OFL002_MCF7_96H:O05,ctl_untrt,MCF7,O05,OFL002_MCF7_96H_X1.L2_B40|OFL002_MCF7_96H_X2.L2_B40|OFL002_MCF7_96H_X3.L2_B40,OFL002_MCF7_96H_X1.L2_B40:O05|OFL002_MCF7_96H_X2.L2_B40:O05|OFL002_MCF7_96H_X3.L2_B40:O05,,OFL,UnTrt,0,0,0,1,313,UnTrt__96 h_MCF7,277,UnTrt__96 h
f1b6,,,"","",96 h,96,h,MCF7,CMAP-000,3,0.4184,161,0.262446,1.963,"0.31,0.33,0.35",4.78111,23.4639,0.3851,0.34448,14.87,64.4272,1,1,CMAP-000,DER001_MCF7_96H:N12,ctl_untrt,MCF7,N12,DER001_MCF7_96H_X1_F1B6_DUO52HI53LO|DER001_MCF7_96H_X2.A2_B11_DUO52HI53LO|DER001_MCF7_96H_X3_F1B6_DUO52HI53LO,DER001_MCF7_96H_X1_F1B6_DUO52HI53LO:N12|DER001_MCF7_96H_X2.A2_B11_DUO52HI53LO:N12|DER001_MCF7_96H_X3_F1B6_DUO52HI53LO:N12,,DER,UnTrt,0,0,0,1,313,UnTrt__96 h_MCF7,277,UnTrt__96 h
b40,,,"","",96 h,96,h,MCF7,CMAP-000,3,0.1458,106,0.125708,18.6893,"0.48,0.48,0.05",62.533,42.5983,-0.0336557,0.201939,16.76,70.9446,0,1,CMAP-000,OFL002_MCF7_96H:F05,ctl_untrt,MCF7,F05,OFL002_MCF7_96H_X1.L2_B40|OFL002_MCF7_96H_X2.L2_B40|OFL002_MCF7_96H_X3.L2_B40,OFL002_MCF7_96H_X1.L2_B40:F05|OFL002_MCF7_96H_X2.L2_B40:F05|OFL002_MCF7_96H_X3.L2_B40:F05,,OFL,UnTrt,0,0,0,1,313,UnTrt__96 h_MCF7,277,UnTrt__96 h
