"","SKBR3","NCIH1975","HT29","MCF7","NCIH508","A549","HA1E","NCIH2073","PC3","NCIH596","U2OS","HEPG2","A375","HCC515","VCAP"
"AARS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCF1",6.0589658220023,5.77188557851537,5.63197732023875,5.66277517193778,4.87085786436376,5.30706416225537,6.03628352798845,5.07382023329167,5.35579154675365,6.32553033156756,6.13750352374993,5.96809075204526,6.00943675560809,5.66505161428921,5.70984201927331
"ABL1",3.68144926531496,5.08491465976794,3.98002530023873,4.28762004411207,4.53605290024021,4.36387192485753,6.15643706844869,4.39094277280254,2.88947354253111,5.04176864995163,5.38404980679516,4.52919626799939,4.85099939471647,4.07296327155522,5.16349873228288
"ACAA1",8.34420712395069,5.91025296279928,6.17272751801285,5.6839771069756,6.06458110919057,4.92931759491176,4.61529857909211,5.07809742302666,6.47800105583793,4.88898672118656,5.19652836093694,6.43512849755131,5.12350066435096,4.5341861390901,5.05006629830629
"ACAT2",5.05354581772798,5.18428029441938,6.33449676839042,5.66419836929191,3.72137265947682,5.69181329717138,6.86170728658586,5.27090264916713,5.17112674665207,5.43562859405209,5.87085786436376,7.51151547892384,5.54997714277182,5.80271021929134,6.30286736097287
"ACLY",7.661350569234,6.62964804418744,6.63270444844369,6.38180248316877,5.88947354253111,7.74490109444186,7.39248916196602,5.98709343705815,5.41751500288509,5.18784690943957,6.7309116243181,6.52872758153442,6.73321874260246,6.18050594379476,6.23764019503539
"ADAM10",5.84949893172018,6.29590665529703,6.4708621994137,6.15116879418666,4.80580834870147,6.95826269732954,7.29213754513548,5.78450398292957,4.90207357931074,7.66888498426625,6.6160341601211,6.56909609526214,6.73145480769835,6.65906827484323,6.26509928751474
"ADH5",6.28558716790947,6.81902945543852,6.68088692071969,6.17672169288105,5.5915597458278,6.62833617186991,7.6242471458362,5.84348142543246,6.2637856138908,7.41827429388054,7.10559427579519,8.02740842972898,7.04843238023264,6.84235034341381,5.86666075081999
"PARP1",7.01156272689108,6.91133206157122,6.34536088953964,6.08427691053149,4.30961277245412,6.30359811699249,6.8974824681961,6.23515262421793,6.82832692641482,6.8729518511301,6.99424027986904,6.13996056954546,7.53791724903408,6.415657274159,7.64846544302731
"ADRB2",0.443606651475615,2.84799690655495,0.286881147788161,0.01435529297707,0.485426827170242,0.6959938131099,0.7311832415722,1.24488705912353,4.42290574261218,5.73063995591679,2.93357263826102,0.0426443374084937,1.59454854955035,0.0426443374084937,3.84599177066457
