sig_id.x,conditionId,cmap_name,sig_id.y
DOSBIO001_A375_24H:BRD-K04380254:9.968,BRD-K04380254_10 uM_24 h,BRD-K04380254,DOSBIO001_PC3_24H:BRD-K04380254:9.968
CPC006_A375_24H:BRD-K02526760-001-01-5:10,QS-11_10 uM_24 h,QS-11,CPC006_PC3_24H:J22
CPC019_A375_6H:BRD-A47832959-001-06-6:10,BRD-A47832959_10 uM_6 h,BRD-A47832959,CPC019_PC3_6H:BRD-A47832959-001-06-6:10
CPC012_A375_6H:C18,MD-041_10 uM_6 h,MD-041,CPC012_PC3_6H:BRD-K56653679-001-01-2:10
CPC008_A375_6H:N11,VU-0418947-2_10 uM_6 h,VU-0418947-2,CPC008_PC3_6H:BRD-K76907295-001-03-8:10
CPC009_A375_6H:BRD-K00313977-019-01-1:10,BRD-K00313977_10 uM_6 h,BRD-K00313977,CPC009_PC3_6H:G03
CPC016_A375_6H:BRD-A17065207-001-06-9:10,brefeldin-a_10 uM_6 h,brefeldin-a,CPC001_PC3_6H:BRD-A17065207-001-06-9:10
CPC006_A375_6H:B19,COT-10b_40 uM_6 h,COT-10b,CPC006_PC3_6H:BRD-K18190982-002-01-2:44.4
CPC013_A375_6H:BRD-K17210248-003-01-7:10,daunorubicin_10 uM_6 h,daunorubicin,CPC013_PC3_6H:BRD-K17210248-003-01-7:10
CPC012_A375_6H:G22,thiostrepton_10 uM_6 h,thiostrepton,CPC014_PC3_6H:BRD-A20697603-001-06-4:10
CPC006_A375_24H:BRD-A75517195-001-01-3:40,thiazolopyrimidine_40 uM_24 h,thiazolopyrimidine,CPC006_PC3_24H:B11
CPC013_A375_6H:BRD-K83643280-001-01-1:10,BG-FA-0953_10 uM_6 h,BG-FA-0953,CPC013_PC3_6H:BRD-K83643280-001-01-1:10
LJP007_A375_24H:P13,vandetanib_10 uM_24 h,vandetanib,ASG002_PC3_24H:N19
REP.A006_A375_24H:H13,TH-302_10 uM_24 h,TH-302,REP.A006_PC3_24H:H13
REP.A001_A375_24H:A19,batimastat_10 uM_24 h,batimastat,REP.A001_PC3_24H:A19
REP.A017_A375_24H:H19,DPI-201106_10 uM_24 h,DPI-201106,REP.A017_PC3_24H:H19
MOAR004_A375_24H:P22,withaferin-a_10 uM_24 h,withaferin-a,MOAR004_PC3_24H:P22
MOAR004_A375_24H:P22,withaferin-a_10 uM_24 h,withaferin-a,DOSVAL005_PC3_24H:BRD-K88378636:10
MOAR006_A375_24H:A19,salubrinal_10 uM_24 h,salubrinal,MOAR006_PC3_24H:A19
MOAR006_A375_24H:A10,AMG-900_10 uM_24 h,AMG-900,MOAR006_PC3_24H:A10
PCLB003_A375_24H:BRD-K57064803-001-01-0:3.33,BRD-K57064803_3.33 uM_24 h,BRD-K57064803,PCLB003_PC3_24H:BRD-K57064803-001-01-0:3.33
PBIOA015_A375_24H:L08,alsterpaullone_3.33 uM_24 h,alsterpaullone,PBIOA015_PC3_24H:L08
DOSVAL005_A375_24H:BRD-K49477330:20,BRD-K49477330_20 uM_24 h,BRD-K49477330,DOSVAL005_PC3_24H:BRD-K49477330:20
