bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,duplIdentifier,dupl_counts,conditionId
b11,10,10.5212,uM,10 uM,24 h,24,h,A375,BRD-K25379780,3,0.45,253,0.341191,0,"""""""""""""""""""""""""""""""""",0.400358,0.40107,0.406943,0.650588,29.32,91.5016,1,1,BRD-K25379780,DOSBIO002_A375_24H:BRD-K25379780:10.5212,trt_cp,A375,G21,DOSBIO002_A375_24H_X1_B11|DOSBIO002_A375_24H_X2_B12|DOSBIO002_A375_24H_X3_B11,DOSBIO002_A375_24H_X1_B11:G21|DOSBIO002_A375_24H_X2_B12:G21|DOSBIO002_A375_24H_X3_B11:G21,,DOSBIO,BRD-K25379780,1,1,0,1,BRD-K25379780_10 uM_24 h_A375,1,BRD-K25379780_10 uM_24 h
b11,10,10.0464,uM,10 uM,24 h,24,h,A375,BRD-K70900504,3,0.45,369,0.41205,3.70722,"""""""""""""""""""""""""""""""""",26.5858,10.6917,0.101254,0.478495,8.75,35.6876,0,1,BRD-K70900504,DOSBIO001_A375_24H:BRD-K70900504:10.0464,trt_cp,A375,C07,DOSBIO001_A375_24H_X1_B11|DOSBIO001_A375_24H_X2_B11|DOSBIO001_A375_24H_X3_B11,DOSBIO001_A375_24H_X1_B11:C07|DOSBIO001_A375_24H_X2_B11:C07|DOSBIO001_A375_24H_X3_B11:C07,,DOSBIO,BRD-K70900504,1,1,0,1,BRD-K70900504_10 uM_24 h_A375,1,BRD-K70900504_10 uM_24 h
b11,10,10.1306,uM,10 uM,24 h,24,h,A375,BRD-K51034923,3,0.43,217,0.308883,0,"""""""""""""""""""""""""""""""""",7.08556,3.34225,0.234159,0.510005,29.32,91.5016,1,1,BRD-K51034923,DOSBIO002_A375_24H:BRD-K51034923:10.1306,trt_cp,A375,H23,DOSBIO002_A375_24H_X1_B11|DOSBIO002_A375_24H_X2_B12|DOSBIO002_A375_24H_X3_B11,DOSBIO002_A375_24H_X1_B11:H23|DOSBIO002_A375_24H_X2_B12:H23|DOSBIO002_A375_24H_X3_B11:H23,,DOSBIO,BRD-K51034923,1,1,0,1,BRD-K51034923_10 uM_24 h_A375,1,BRD-K51034923_10 uM_24 h
b20,10,10,uM,10 uM,24 h,24,h,A375,BRD-K21532219,3,0.47,321,0.392764,1.96477,"0.38,0.36,0.25",10.562,5.38754,0.286786,0.587104,12.18,52.828,0,1,BRD-K21532219,PCL001_A375_24H:BRD-K21532219:10,trt_cp,A375,L01,PCL001_A375_24H_X1_B20|PCL001_A375_24H_X2_B20|PCL001_A375_24H_X3_B20,PCL001_A375_24H_X1_B20:L01|PCL001_A375_24H_X2_B20:L01|PCL001_A375_24H_X3_B20:L01,,PCL,UMB-32,1,1,0,1,UMB-32_10 uM_24 h_A375,1,UMB-32_10 uM_24 h
b11,10,9.21374,uM,10 uM,24 h,24,h,A375,BRD-K69705756,3,0.38,244,0.307905,0,"""""""""""""""""""""""""""""""""",0.668449,0.533337,0.309065,0.579874,29.32,91.5016,1,1,BRD-K69705756,DOSBIO002_A375_24H:BRD-K69705756:9.21374,trt_cp,A375,E15,DOSBIO002_A375_24H_X1_B11|DOSBIO002_A375_24H_X2_B12|DOSBIO002_A375_24H_X3_B11,DOSBIO002_A375_24H_X1_B11:E15|DOSBIO002_A375_24H_X2_B12:E15|DOSBIO002_A375_24H_X3_B11:E15,,DOSBIO,BRD-K69705756,1,1,0,1,BRD-K69705756_10 uM_24 h_A375,1,BRD-K69705756_10 uM_24 h
b11,10,10.1026,uM,10 uM,24 h,24,h,A375,BRD-K30229575,3,0.73,587,0.661928,1.80608,"""""""""""""""""""""""""""""""""",2.92553,3.68921,0.727114,0.76911,8.75,35.6876,1,1,BRD-K30229575,DOSBIO001_A375_24H:BRD-K30229575:10.1026,trt_cp,A375,E01,DOSBIO001_A375_24H_X1_B11|DOSBIO001_A375_24H_X2_B11|DOSBIO001_A375_24H_X3_B11,DOSBIO001_A375_24H_X1_B11:E01|DOSBIO001_A375_24H_X2_B11:E01|DOSBIO001_A375_24H_X3_B11:E01,,DOSBIO,BRD-K30229575,1,1,0,1,BRD-K30229575_10 uM_24 h_A375,1,BRD-K30229575_10 uM_24 h
b20,0.12,0.12,uM,0.12 uM,24 h,24,h,A375,BRD-A59468452,3,0.43,207,0.301682,0.158085,"0.35,0.33,0.33",0.140449,0.280899,0.429953,0.698804,12.18,52.828,1,1,BRD-A59468452,PCL001_A375_24H:BRD-A59468452:0.12,trt_cp,A375,D17,PCL001_A375_24H_X1_B20|PCL001_A375_24H_X2_B20|PCL001_A375_24H_X3_B20,PCL001_A375_24H_X1_B20:D17|PCL001_A375_24H_X2_B20:D17|PCL001_A375_24H_X3_B20:D17,,PCL,BRD-A59468452,1,1,0,1,BRD-A59468452_0.12 uM_24 h_A375,1,BRD-A59468452_0.12 uM_24 h
b11,10,10.0289,uM,10 uM,24 h,24,h,A375,BRD-K06816133,3,0.33,309,0.322899,1.27576,"""""""""""""""""""""""""""""""""",2.533,0.800717,0.322734,0.684868,29.32,91.5016,1,1,BRD-K06816133,DOSBIO002_A375_24H:BRD-K06816133:10.0289,trt_cp,A375,E11,DOSBIO002_A375_24H_X1_B11|DOSBIO002_A375_24H_X2_B12|DOSBIO002_A375_24H_X3_B11,DOSBIO002_A375_24H_X1_B11:E11|DOSBIO002_A375_24H_X2_B12:E11|DOSBIO002_A375_24H_X3_B11:E11,,DOSBIO,BRD-K06816133,1,1,0,1,BRD-K06816133_10 uM_24 h_A375,1,BRD-K06816133_10 uM_24 h
b11,10,9.98921,uM,10 uM,24 h,24,h,A375,BRD-K06589444,3,0.57,478,0.527815,4.46768,"""""""""""""""""""""""""""""""""",6.79582,8.78191,0.235403,0.483626,8.75,35.6876,0,1,BRD-K06589444,DOSBIO001_A375_24H:BRD-K06589444:9.98921,trt_cp,A375,H02,DOSBIO001_A375_24H_X1_B11|DOSBIO001_A375_24H_X2_B11|DOSBIO001_A375_24H_X3_B11,DOSBIO001_A375_24H_X1_B11:H02|DOSBIO001_A375_24H_X2_B11:H02|DOSBIO001_A375_24H_X3_B11:H02,,DOSBIO,BRD-K06589444,1,1,0,1,BRD-K06589444_10 uM_24 h_A375,1,BRD-K06589444_10 uM_24 h
b11,10,10.0202,uM,10 uM,24 h,24,h,A375,BRD-K09231502,3,0.44,224,0.317454,0,"""""""""""""""""""""""""""""""""",0.265957,0.674772,0.337285,0.532873,8.75,35.6876,1,1,BRD-K09231502,DOSBIO001_A375_24H:BRD-K09231502:10.0202,trt_cp,A375,P05,DOSBIO001_A375_24H_X1_B11|DOSBIO001_A375_24H_X2_B11|DOSBIO001_A375_24H_X3_B11,DOSBIO001_A375_24H_X1_B11:P05|DOSBIO001_A375_24H_X2_B11:P05|DOSBIO001_A375_24H_X3_B11:P05,,DOSBIO,BRD-K09231502,1,1,0,1,BRD-K09231502_10 uM_24 h_A375,1,BRD-K09231502_10 uM_24 h
b11,10,10.1383,uM,10 uM,24 h,24,h,A375,BRD-K71195237,3,0.35,261,0.305622,2.47148,"""""""""""""""""""""""""""""""""",7.66526,29.9253,0.305798,0.238684,8.75,35.6876,0,1,BRD-K71195237,DOSBIO001_A375_24H:BRD-K71195237:10.1383,trt_cp,A375,B09,DOSBIO001_A375_24H_X1_B11|DOSBIO001_A375_24H_X2_B11|DOSBIO001_A375_24H_X3_B11,DOSBIO001_A375_24H_X1_B11:B09|DOSBIO001_A375_24H_X2_B11:B09|DOSBIO001_A375_24H_X3_B11:B09,,DOSBIO,BRD-K71195237,1,1,0,1,BRD-K71195237_10 uM_24 h_A375,1,BRD-K71195237_10 uM_24 h
b11,10,10.0587,uM,10 uM,24 h,24,h,A375,BRD-K84797952,3,0.32,354,0.340335,2.45339,"""""""""""""""""""""""""""""""""",80.1727,76.0002,-0.140112,0,29.32,91.5016,0,1,BRD-K84797952,DOSBIO002_A375_24H:BRD-K84797952:10.0587,trt_cp,A375,D22,DOSBIO002_A375_24H_X1_B11|DOSBIO002_A375_24H_X2_B12|DOSBIO002_A375_24H_X3_B11,DOSBIO002_A375_24H_X1_B11:D22|DOSBIO002_A375_24H_X2_B12:D22|DOSBIO002_A375_24H_X3_B11:D22,,DOSBIO,BRD-K84797952,1,1,0,1,BRD-K84797952_10 uM_24 h_A375,1,BRD-K84797952_10 uM_24 h
b11,10,10.0565,uM,10 uM,24 h,24,h,A375,BRD-K24656059,3,0.48,443,0.466287,4.46768,"""""""""""""""""""""""""""""""""",7.86393,11.6193,0.18915,0.501032,8.75,35.6876,0,1,BRD-K24656059,DOSBIO001_A375_24H:BRD-K24656059:10.0565,trt_cp,A375,N08,DOSBIO001_A375_24H_X1_B11|DOSBIO001_A375_24H_X2_B11|DOSBIO001_A375_24H_X3_B11,DOSBIO001_A375_24H_X1_B11:N08|DOSBIO001_A375_24H_X2_B11:N08|DOSBIO001_A375_24H_X3_B11:N08,,DOSBIO,BRD-K24656059,1,1,0,1,BRD-K24656059_10 uM_24 h_A375,1,BRD-K24656059_10 uM_24 h
b20,10,10,uM,10 uM,24 h,24,h,A375,BRD-K71855865,3,0.55,406,0.477832,0.564589,"0.38,0.31,0.31",1.72979,0.421348,0.538983,0.772851,12.18,52.828,1,1,BRD-K71855865,PCL001_A375_24H:BRD-K71855865:10,trt_cp,A375,E13,PCL001_A375_24H_X1_B20|PCL001_A375_24H_X2_B20|PCL001_A375_24H_X3_B20,PCL001_A375_24H_X1_B20:E13|PCL001_A375_24H_X2_B20:E13|PCL001_A375_24H_X3_B20:E13,,PCL,BRD-K71855865,1,1,0,1,BRD-K71855865_10 uM_24 h_A375,1,BRD-K71855865_10 uM_24 h
b20,10,10,uM,10 uM,24 h,24,h,A375,BRD-K50817946,3,0.72,608,0.669035,0.0677507,"0.33,0.35,0.32",0.414947,0.268097,0.679874,0.7835,12.18,52.828,1,1,BRD-K50817946,PCL001_A375_24H:BRD-K50817946:10,trt_cp,A375,G19,PCL001_A375_24H_X1_B20|PCL001_A375_24H_X2_B20|PCL001_A375_24H_X3_B20,PCL001_A375_24H_X1_B20:G19|PCL001_A375_24H_X2_B20:G19|PCL001_A375_24H_X3_B20:G19,,PCL,BRD-K50817946,1,1,0,1,BRD-K50817946_10 uM_24 h_A375,1,BRD-K50817946_10 uM_24 h
b11,10,10.1419,uM,10 uM,24 h,24,h,A375,BRD-K92232855,3,0.65,555,0.607343,0.095057,"""""""""""""""""""""""""""""""""",8.06549,9.36002,0.198849,0.476211,8.75,35.6876,0,1,BRD-K92232855,DOSBIO001_A375_24H:BRD-K92232855:10.1419,trt_cp,A375,C04,DOSBIO001_A375_24H_X1_B11|DOSBIO001_A375_24H_X2_B11|DOSBIO001_A375_24H_X3_B11,DOSBIO001_A375_24H_X1_B11:C04|DOSBIO001_A375_24H_X2_B11:C04|DOSBIO001_A375_24H_X3_B11:C04,,DOSBIO,BRD-K92232855,1,1,0,1,BRD-K92232855_10 uM_24 h_A375,1,BRD-K92232855_10 uM_24 h
