sig_id.x,conditionId,cmap_name,sig_id.y
CPC006_HA1E_6H:BRD-K56411643-001-02-6:10,BRD-K56411643_10 uM_6 h,BRD-K56411643,CPC006_VCAP_6H:BRD-K56411643-001-02-6:10
CPC020_HA1E_6H:BRD-A75144621-001-02-8:10,digoxin_10 uM_6 h,digoxin,CPC001_VCAP_6H:P04
CPC020_HA1E_6H:BRD-A75144621-001-02-8:10,digoxin_10 uM_6 h,digoxin,CPC020_VCAP_6H:BRD-A75144621-001-02-8:10
CPC007_HA1E_6H:BRD-K73304092-001-05-1:10,BRD-K73304092_10 uM_6 h,BRD-K73304092,CPC007_VCAP_6H:L03
CPC001_HA1E_24H:BRD-K81209512-001-01-3:10,AG-494_10 uM_24 h,AG-494,CPC001_VCAP_24H:E19
CPC002_HA1E_24H:BRD-K93658967-001-01-7:10,aloisine_10 uM_24 h,aloisine,CPC002_VCAP_24H:BRD-K93658967-001-01-7:10
CPC019_HA1E_6H:BRD-K70748405-001-01-3:10,SA-103123_10 uM_6 h,SA-103123,CPC019_VCAP_6H:BRD-K70748405-001-01-3:10
CPC001_HA1E_24H:BRD-K11911061-003-02-8:10,GR-127935_10 uM_24 h,GR-127935,CPC001_VCAP_24H:N02
CPC007_HA1E_24H:BRD-K71265179-001-07-8:10,BRD-K71265179_10 uM_24 h,BRD-K71265179,CPC007_VCAP_24H:B05
CPC002_HA1E_24H:BRD-A42649439-001-02-8:10,triciribine_10 uM_24 h,triciribine,CPC002_VCAP_24H:BRD-A42649439-001-02-8:10
CPC006_HA1E_6H:BRD-K67075780-001-03-7:160,TGX-115_150 uM_6 h,TGX-115,CPC006_VCAP_6H:BRD-K67075780-001-03-7:160
CPC006_HA1E_6H:BRD-K00615600-001-06-1:25,AG-14361_25 uM_6 h,AG-14361,CPC006_VCAP_6H:BRD-K00615600-001-06-1:25
CPC001_HA1E_24H:BRD-K89930444-001-01-9:10,AG-592_10 uM_24 h,AG-592,CPC001_VCAP_24H:I01
CPC005_HA1E_24H:BRD-K32828673-002-03-9:10,chelidonine_10 uM_24 h,chelidonine,CPC005_VCAP_24H:BRD-K32828673-002-03-9:10
CPC002_HA1E_24H:BRD-A62336480-001-02-5:10,niguldipine_10 uM_24 h,niguldipine,CPC002_VCAP_24H:BRD-A62336480-001-02-5:10
CPC004_HA1E_6H:BRD-A55416093-001-03-1:10,colforsin_10 uM_6 h,colforsin,CPC004_VCAP_6H:BRD-A55416093-001-03-1:10
CPC007_HA1E_24H:BRD-K88198340-001-05-0:10,BRD-K88198340_10 uM_24 h,BRD-K88198340,CPC007_VCAP_24H:E15
CPC002_HA1E_24H:BRD-K52394958-001-01-9:10,GR-159897_10 uM_24 h,GR-159897,CPC002_VCAP_24H:BRD-K52394958-001-01-9:10
CPC006_HA1E_6H:BRD-K74402642-003-01-2:10,NSC-632839_10 uM_6 h,NSC-632839,CPC006_VCAP_6H:BRD-K74402642-003-01-2:10
CPC001_HA1E_24H:BRD-K12906962-001-02-1:10,dichlorobenzamil_10 uM_24 h,dichlorobenzamil,CPC001_VCAP_24H:B23
CPC007_HA1E_24H:BRD-A24021119-001-06-0:10,BRD-A24021119_10 uM_24 h,BRD-A24021119,ERG020_VCAP_24H:BRD-A24021119:10
CPC010_HA1E_6H:BRD-A18411371-001-10-6:10,BRD-A18411371_10 uM_6 h,BRD-A18411371,CPC010_VCAP_6H:BRD-A18411371-001-10-6:10
CPC005_HA1E_24H:BRD-K49049886-001-03-8:10,CGS-15943_10 uM_24 h,CGS-15943,CPC011_VCAP_24H:BRD-K49049886-001-05-3:10
CPC004_HA1E_6H:BRD-A29082194-001-02-4:10,gitoxigenin_10 uM_6 h,gitoxigenin,CPC004_VCAP_6H:BRD-A29082194-001-02-4:10
CPC006_HA1E_6H:BRD-K68548958-001-01-2:20,C-646_20 uM_6 h,C-646,CPC006_VCAP_6H:BRD-K68548958-001-01-2:20
CPC012_HA1E_6H:BRD-A39093044-001-05-4:10,K784-3187_10 uM_6 h,K784-3187,CPC007_VCAP_6H:L05
CPC002_HA1E_24H:BRD-K97399794-001-08-8:10,quercetin_10 uM_24 h,quercetin,CPC002_VCAP_24H:BRD-K97399794-001-08-8:10
CPC013_HA1E_6H:BRD-K51683034-001-01-4:10,BRD-K51683034_10 uM_6 h,BRD-K51683034,CPC013_VCAP_6H:BRD-K51683034-001-01-4:10
CPC001_HA1E_6H:BRD-K03816923-001-04-7:10,rottlerin_10 uM_6 h,rottlerin,CPC004_VCAP_6H:BRD-K39256324-001-01-5:10
CPC013_HA1E_6H:BRD-U82589721-000-01-4:10,HG-5-113-01_10 uM_6 h,HG-5-113-01,CPC013_VCAP_6H:BRD-U82589721-000-01-4:10
CPC006_HA1E_6H:BRD-K51575138-001-01-7:10,TPCA-1_10 uM_6 h,TPCA-1,CPC006_VCAP_6H:BRD-K51575138-001-01-7:10
CPC006_HA1E_24H:J23,tozasertib_10 uM_24 h,tozasertib,ERG020_VCAP_24H:BRD-K59369769:10
CPC001_HA1E_24H:BRD-K64236792-002-03-2:10,austricine_10 uM_24 h,austricine,CPC001_VCAP_24H:O16
CPC020_HA1E_6H:BRD-K78373679-001-01-1:10,Ro-3306_10 uM_6 h,Ro-3306,CPC020_VCAP_6H:BRD-K78373679-001-01-1:10
CPC019_HA1E_6H:BRD-K98824517-001-06-4:10,BRD-K98824517_10 uM_6 h,BRD-K98824517,CPC019_VCAP_6H:BRD-K98824517-001-06-4:10
CPC009_HA1E_6H:BRD-A98444709-001-04-6:10,BRD-A98444709_10 uM_6 h,BRD-A98444709,CPC009_VCAP_6H:BRD-A98444709-001-04-6:10
CPC006_HA1E_6H:BRD-K03618428-001-01-3:22.2,PP-110_20 uM_6 h,PP-110,CPC006_VCAP_6H:BRD-K03618428-001-01-3:22.2
CPC007_HA1E_6H:BRD-K58214070-001-07-3:10,BRD-K58214070_10 uM_6 h,BRD-K58214070,CPC007_VCAP_6H:P14
CPC002_HA1E_24H:BRD-K12079898-001-01-8:10,PD-160170_10 uM_24 h,PD-160170,CPC002_VCAP_24H:BRD-K12079898-001-01-8:10
CPC003_HA1E_24H:BRD-K57033106-048-03-6:10,tripelennamine_10 uM_24 h,tripelennamine,CPC011_VCAP_24H:BRD-K57033106-003-15-5:10
CPC006_HA1E_6H:BRD-A67788537-001-01-7:120,salermide_125 uM_6 h,salermide,CPC006_VCAP_6H:BRD-A67788537-001-01-7:120
CPC009_HA1E_6H:BRD-K55070890-001-02-1:10,thiothixene_10 uM_6 h,thiothixene,CPC009_VCAP_6H:BRD-K55070890-001-02-1:10
CPC001_HA1E_24H:BRD-K13533483-001-03-0:10,cyclosporin-a_10 uM_24 h,cyclosporin-a,CPC002_VCAP_24H:BRD-A64290322-001-01-6:10
CPC009_HA1E_6H:BRD-K83670234-001-01-1:10,BRD-K83670234_10 uM_6 h,BRD-K83670234,CPC009_VCAP_6H:BRD-K83670234-001-01-1:10
CPC002_HA1E_24H:BRD-K32501161-300-04-7:10,vanoxerine_10 uM_24 h,vanoxerine,CPC002_VCAP_24H:BRD-K32501161-300-04-7:10
CPC006_HA1E_6H:BRD-K28296557-005-14-6:10,BRD-K28296557_10 uM_6 h,BRD-K28296557,CPC006_VCAP_6H:BRD-K28296557-005-14-6:10
CPC002_HA1E_24H:BRD-M00539986-051-01-1:10,formoterol_10 uM_24 h,formoterol,CPC002_VCAP_24H:BRD-M00539986-051-01-1:10
CPC002_HA1E_24H:BRD-M00539986-051-01-1:10,formoterol_10 uM_24 h,formoterol,ERG020_VCAP_24H:BRD-K54006094:10
