bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,duplIdentifier,dupl_counts,conditionId
b6,10,10,uM,10 uM,24 h,24,h,MCF7,BRD-K05236810-001-14-1,3,0.4222,299,0.359274,0,"0.33,0.34,0.33",0,0,0.409185,0.600242,14.95,64.6569,1,1,BRD-K05236810,CPD003_MCF7_24H:M21,trt_cp,MCF7,M21,CPD003_MCF7_24H_X1_B6_DUO52HI53LO|CPD003_MCF7_24H_X2.L2_B6_DUO52HI53LO|CPD003_MCF7_24H_X3.L2_B6_DUO52HI53LO,CPD003_MCF7_24H_X1_B6_DUO52HI53LO:M21|CPD003_MCF7_24H_X2.L2_B6_DUO52HI53LO:M21|CPD003_MCF7_24H_X3.L2_B6_DUO52HI53LO:M21,,CPD,luteolin,1,1,0,1,luteolin_10 uM_24 h_MCF7,1,luteolin_10 uM_24 h
b11,10,9.36695,uM,10 uM,24 h,24,h,MCF7,BRD-K96697180,3,0.46,320,0.387958,0.277521,"""""""""""""""""""""""""""""""""",5.47346,2.00535,0.41899,0.610688,13.21,58.3118,1,1,BRD-K96697180,DOSBIO001_MCF7_24H:BRD-K96697180:9.36695,trt_cp,MCF7,P11,DOSBIO001_MCF7_24H_X1_B11|DOSBIO001_MCF7_24H_X2_B11|DOSBIO001_MCF7_24H_X3_B11,DOSBIO001_MCF7_24H_X1_B11:P11|DOSBIO001_MCF7_24H_X2_B11:P11|DOSBIO001_MCF7_24H_X3_B11:P11,,DOSBIO,BRD-K96697180,1,1,0,1,BRD-K96697180_10 uM_24 h_MCF7,1,BRD-K96697180_10 uM_24 h
b6,10,10,uM,10 uM,24 h,24,h,MCF7,BRD-K92923799,3,0.8,654,0.731416,0.0903342,"""""""""""""""""""""""""""""""""",0.268817,0.134409,0.784883,0.862638,10.41,44.5019,1,1,BRD-K92923799,CPD002_MCF7_24H:BRD-K92923799-001-01-0:10,trt_cp,MCF7,G13,CPD002_MCF7_24H_X1_B6_DUO52HI53LO|CPD002_MCF7_24H_X2_B6_DUO52HI53LO|CPD002_MCF7_24H_X3_B6_DUO52HI53LO,CPD002_MCF7_24H_X1_B6_DUO52HI53LO:G13|CPD002_MCF7_24H_X2_B6_DUO52HI53LO:G13|CPD002_MCF7_24H_X3_B6_DUO52HI53LO:G13,,CPD,digitoxigenin,1,1,0,1,digitoxigenin_10 uM_24 h_MCF7,1,digitoxigenin_10 uM_24 h
b7,0.3,0.312,uM,0.3 uM,24 h,24,h,MCF7,BRD-K29830875,3,0.44,657,0.543675,0,"""""""""""""""""""""""""""""""""",0,0,0,0,-5.6,0.143554,0,1,BRD-K29830875,PRISM001_MCF7_24H:BRD-K29830875:0.312,trt_cp,MCF7,K15|K16|L16,PRISM001_MCF7_24H_X1_B7_DUO52HI53LO,PRISM001_MCF7_24H_X1_B7_DUO52HI53LO:K15|PRISM001_MCF7_24H_X1_B7_DUO52HI53LO:K16|PRISM001_MCF7_24H_X1_B7_DUO52HI53LO:L16,,PRISM,TL-AA09,1,1,0,1,TL-AA09_0.3 uM_24 h_MCF7,1,TL-AA09_0.3 uM_24 h
b21,4,4,uM,4 uM,24 h,24,h,MCF7,BRD-K96123349,3,0.69,405,0.534543,0,"0.33,0.34,0.33",0,0,0.66828,0.823572,17.68,73.6434,1,1,BRD-K96123349,ERAM001_MCF7_24H:BRD-K96123349:4,trt_cp,MCF7,G01,ERAM001_MCF7_24H_X1_B21|ERAM001_MCF7_24H_X2_B21|ERAM001_MCF7_24H_X3_B21,ERAM001_MCF7_24H_X1_B21:G01|ERAM001_MCF7_24H_X2_B21:G01|ERAM001_MCF7_24H_X3_B21:G01,,ERAM,brequinar,1,1,0,1,brequinar_4 uM_24 h_MCF7,1,brequinar_4 uM_24 h
b21,2.5,2.64,uM,2.5 uM,24 h,24,h,MCF7,BRD-K70565046,3,0.59,428,0.508134,0.15528,"0.34,0.34,0.31",0.533333,0.4,0.51071,0.681834,17.68,73.6434,1,1,BRD-K70565046,ERAM001_MCF7_24H:BRD-K70565046:2.64,trt_cp,MCF7,D24,ERAM001_MCF7_24H_X1_B21|ERAM001_MCF7_24H_X2_B21|ERAM001_MCF7_24H_X3_B21,ERAM001_MCF7_24H_X1_B21:D24|ERAM001_MCF7_24H_X2_B21:D24|ERAM001_MCF7_24H_X3_B21:D24,,ERAM,BRD-K70565046,1,1,0,1,BRD-K70565046_2.5 uM_24 h_MCF7,1,BRD-K70565046_2.5 uM_24 h
b21,20,20.03,uM,20 uM,24 h,24,h,MCF7,BRD-K88605167,3,0.59,325,0.44279,0,"0.33,0.34,0.33",0,0,0.583336,0.754707,17.68,73.6434,1,1,BRD-K88605167,ERAM001_MCF7_24H:BRD-K88605167:20.03,trt_cp,MCF7,J07,ERAM001_MCF7_24H_X1_B21|ERAM001_MCF7_24H_X2_B21|ERAM001_MCF7_24H_X3_B21,ERAM001_MCF7_24H_X1_B21:J07|ERAM001_MCF7_24H_X2_B21:J07|ERAM001_MCF7_24H_X3_B21:J07,,ERAM,BRD-K88605167,1,1,0,1,BRD-K88605167_20 uM_24 h_MCF7,1,BRD-K88605167_20 uM_24 h
b6,10,10,uM,10 uM,24 h,24,h,MCF7,BRD-K02764365-001-09-4,3,0.5788,412,0.493791,0.178891,"0.32,0.34,0.33",0.266667,0,0.552757,0.757363,14.95,64.6569,1,1,BRD-K02764365,CPD003_MCF7_24H:H22,trt_cp,MCF7,H22,CPD003_MCF7_24H_X1_B6_DUO52HI53LO|CPD003_MCF7_24H_X2.L2_B6_DUO52HI53LO|CPD003_MCF7_24H_X3.L2_B6_DUO52HI53LO,CPD003_MCF7_24H_X1_B6_DUO52HI53LO:H22|CPD003_MCF7_24H_X2.L2_B6_DUO52HI53LO:H22|CPD003_MCF7_24H_X3.L2_B6_DUO52HI53LO:H22,,CPD,methiazole,1,1,0,1,methiazole_10 uM_24 h_MCF7,1,methiazole_10 uM_24 h
b11,10,10.2688,uM,10 uM,24 h,24,h,MCF7,BRD-K71742078,3,0.38,446,0.416284,1.57262,"""""""""""""""""""""""""""""""""",49.7333,8.1437,0.00927468,0.449818,13.21,58.3118,0,1,BRD-K71742078,DOSBIO001_MCF7_24H:BRD-K71742078:10.2688,trt_cp,MCF7,O04,DOSBIO001_MCF7_24H_X1_B11|DOSBIO001_MCF7_24H_X2_B11|DOSBIO001_MCF7_24H_X3_B11,DOSBIO001_MCF7_24H_X1_B11:O04|DOSBIO001_MCF7_24H_X2_B11:O04|DOSBIO001_MCF7_24H_X3_B11:O04,,DOSBIO,BRD-K71742078,1,1,0,1,BRD-K71742078_10 uM_24 h_MCF7,1,BRD-K71742078_10 uM_24 h
b23,0.04,0.0411523,uM,0.04 uM,24 h,24,h,MCF7,BRD-A45498368,3,0.54,258,0.377431,0,"0.32,0.35,0.34",0,0.265259,0.493764,0.668103,13.73,60.2929,1,1,BRD-A45498368,POL001_MCF7_24H:H18,trt_cp,MCF7,H18,POL001_MCF7_24H_X1.L2_B23|POL001_MCF7_24H_X2.L2_B23|POL001_MCF7_24H_X3.L2_B23,POL001_MCF7_24H_X1.L2_B23:H18|POL001_MCF7_24H_X2.L2_B23:H18|POL001_MCF7_24H_X3.L2_B23:H18,,POL,WYE-125132,1,1,0,1,WYE-125132_0.04 uM_24 h_MCF7,1,WYE-125132_0.04 uM_24 h
