bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,duplIdentifier,dupl_counts,conditionId
b11,10,9.5278,uM,10 uM,24 h,24,h,MCF7,BRD-K77888550,3,0.38,277,0.328067,0.370028,"""""""""""""""""""""""""""""""""",12.8342,7.4781,0.1733,0.497857,13.21,58.3118,0,1,BRD-K77888550,DOSBIO001_MCF7_24H:BRD-K77888550:9.5278,trt_cp,MCF7,L14,DOSBIO001_MCF7_24H_X1_B11|DOSBIO001_MCF7_24H_X2_B11|DOSBIO001_MCF7_24H_X3_B11,DOSBIO001_MCF7_24H_X1_B11:L14|DOSBIO001_MCF7_24H_X2_B11:L14|DOSBIO001_MCF7_24H_X3_B11:L14,,DOSBIO,BRD-K77888550,1,1,0,1,BRD-K77888550_10 uM_24 h_MCF7,1,BRD-K77888550_10 uM_24 h
b6,10,10,uM,10 uM,24 h,24,h,MCF7,BRD-K92923799,3,0.8,654,0.731416,0.0903342,"""""""""""""""""""""""""""""""""",0.268817,0.134409,0.784883,0.862638,10.41,44.5019,1,1,BRD-K92923799,CPD002_MCF7_24H:BRD-K92923799-001-01-0:10,trt_cp,MCF7,G13,CPD002_MCF7_24H_X1_B6_DUO52HI53LO|CPD002_MCF7_24H_X2_B6_DUO52HI53LO|CPD002_MCF7_24H_X3_B6_DUO52HI53LO,CPD002_MCF7_24H_X1_B6_DUO52HI53LO:G13|CPD002_MCF7_24H_X2_B6_DUO52HI53LO:G13|CPD002_MCF7_24H_X3_B6_DUO52HI53LO:G13,,CPD,digitoxigenin,1,1,0,1,digitoxigenin_10 uM_24 h_MCF7,1,digitoxigenin_10 uM_24 h
b10,0.37,0.3704,uM,0.37 uM,24 h,24,h,MCF7,BRD-K88378636,3,0.51,241,0.354506,0.107643,"""""""""""""""""""""""""""""""""",0,0.134409,0.410158,0.682493,0.99,8.84295,1,1,BRD-K88378636,HOG002_MCF7_24H:BRD-K88378636-001-02-8:0.3704,trt_cp,MCF7,A06,HOG002_MCF7_24H_X1_B10|HOG002_MCF7_24H_X2_B10|HOG002_MCF7_24H_X3_B10,HOG002_MCF7_24H_X1_B10:A06|HOG002_MCF7_24H_X2_B10:A06|HOG002_MCF7_24H_X3_B10:A06,,HOG,withaferin-a,1,1,0,1,withaferin-a_0.37 uM_24 h_MCF7,1,withaferin-a_0.37 uM_24 h
b20,3.33,3.33,uM,3.33 uM,24 h,24,h,MCF7,BRD-K39841531,3,0.52,277,0.383771,0.176367,"0.33,0.31,0.35",0.531915,3.84724,0.476578,0.577634,17.29,72.3801,1,1,BRD-K39841531,PCL001_MCF7_24H:BRD-K39841531:3.33,trt_cp,MCF7,A20,PCL001_MCF7_24H_X1_B20|PCL001_MCF7_24H_X2_B20|PCL001_MCF7_24H_X3_B20,PCL001_MCF7_24H_X1_B20:A20|PCL001_MCF7_24H_X2_B20:A20|PCL001_MCF7_24H_X3_B20:A20,,PCL,TG-101209,1,1,0,1,TG-101209_3.33 uM_24 h_MCF7,1,TG-101209_3.33 uM_24 h
b11,10,10.0483,uM,10 uM,24 h,24,h,MCF7,BRD-K37184875,3,0.53,279,0.38884,0,"""""""""""""""""""""""""""""""""",0,0,0.445871,0.75625,15.89,68.1883,1,1,BRD-K37184875,DOSBIO002_MCF7_24H:BRD-K37184875:10.0483,trt_cp,MCF7,E21,DOSBIO002_MCF7_24H_X1_B11|DOSBIO002_MCF7_24H_X2_B11|DOSBIO002_MCF7_24H_X3_B11,DOSBIO002_MCF7_24H_X1_B11:E21|DOSBIO002_MCF7_24H_X2_B11:E21|DOSBIO002_MCF7_24H_X3_B11:E21,,DOSBIO,BRD-K37184875,1,1,0,1,BRD-K37184875_10 uM_24 h_MCF7,1,BRD-K37184875_10 uM_24 h
b11,10,10.024,uM,10 uM,24 h,24,h,MCF7,BRD-K40138205,3,0.58,358,0.460772,0.185014,"""""""""""""""""""""""""""""""""",0.931562,7.06778,0.540635,0.542664,13.21,58.3118,1,1,BRD-K40138205,DOSBIO001_MCF7_24H:BRD-K40138205:10.024,trt_cp,MCF7,P10,DOSBIO001_MCF7_24H_X1_B11|DOSBIO001_MCF7_24H_X2_B11|DOSBIO001_MCF7_24H_X3_B11,DOSBIO001_MCF7_24H_X1_B11:P10|DOSBIO001_MCF7_24H_X2_B11:P10|DOSBIO001_MCF7_24H_X3_B11:P10,,DOSBIO,BRD-K40138205,1,1,0,1,BRD-K40138205_10 uM_24 h_MCF7,1,BRD-K40138205_10 uM_24 h
b11,10,10.2688,uM,10 uM,24 h,24,h,MCF7,BRD-K71742078,3,0.38,446,0.416284,1.57262,"""""""""""""""""""""""""""""""""",49.7333,8.1437,0.00927468,0.449818,13.21,58.3118,0,1,BRD-K71742078,DOSBIO001_MCF7_24H:BRD-K71742078:10.2688,trt_cp,MCF7,O04,DOSBIO001_MCF7_24H_X1_B11|DOSBIO001_MCF7_24H_X2_B11|DOSBIO001_MCF7_24H_X3_B11,DOSBIO001_MCF7_24H_X1_B11:O04|DOSBIO001_MCF7_24H_X2_B11:O04|DOSBIO001_MCF7_24H_X3_B11:O04,,DOSBIO,BRD-K71742078,1,1,0,1,BRD-K71742078_10 uM_24 h_MCF7,1,BRD-K71742078_10 uM_24 h
b23,0.04,0.0411523,uM,0.04 uM,24 h,24,h,MCF7,BRD-A45498368,3,0.54,258,0.377431,0,"0.32,0.35,0.34",0,0.265259,0.493764,0.668103,13.73,60.2929,1,1,BRD-A45498368,POL001_MCF7_24H:H18,trt_cp,MCF7,H18,POL001_MCF7_24H_X1.L2_B23|POL001_MCF7_24H_X2.L2_B23|POL001_MCF7_24H_X3.L2_B23,POL001_MCF7_24H_X1.L2_B23:H18|POL001_MCF7_24H_X2.L2_B23:H18|POL001_MCF7_24H_X3.L2_B23:H18,,POL,WYE-125132,1,1,0,1,WYE-125132_0.04 uM_24 h_MCF7,1,WYE-125132_0.04 uM_24 h
b23,0.125,0.123457,uM,0.125 uM,24 h,24,h,MCF7,BRD-K91145395,3,0.66,316,0.461792,0,"0.34,0.34,0.33",0,0.133333,0.634799,0.772097,13.73,60.2929,1,1,BRD-K91145395,POL001_MCF7_24H:A17,trt_cp,MCF7,A17,POL001_MCF7_24H_X1.L2_B23|POL001_MCF7_24H_X2.L2_B23|POL001_MCF7_24H_X3.L2_B23,POL001_MCF7_24H_X1.L2_B23:A17|POL001_MCF7_24H_X2.L2_B23:A17|POL001_MCF7_24H_X3.L2_B23:A17,,POL,prostratin,1,1,0,1,prostratin_0.125 uM_24 h_MCF7,1,prostratin_0.125 uM_24 h
b6,10,10,uM,10 uM,6 h,6,h,MCF7,BRD-K35862502,3,0.36,263,0.311143,0.80429,"""""""""""""""""""""""""""""""""",3.71353,8.09265,0.267242,0.626596,41.01,96.8418,1,1,BRD-K35862502,CPD002_MCF7_6H:BRD-K35862502-001-01-8:10,trt_cp,MCF7,M14,CPD002_MCF7_6H_X1_B6_DUO52HI53LO|CPD002_MCF7_6H_X2_B6_DUO52HI53LO|CPD002_MCF7_6H_X3_B6_DUO52HI53LO,CPD002_MCF7_6H_X1_B6_DUO52HI53LO:M14|CPD002_MCF7_6H_X2_B6_DUO52HI53LO:M14|CPD002_MCF7_6H_X3_B6_DUO52HI53LO:M14,,CPD,pregnenolone,1,1,0,1,pregnenolone_10 uM_6 h_MCF7,1,pregnenolone_10 uM_6 h
