sig_id.x,conditionId,cmap_name,sig_id.y
CPC013_MCF7_6H:BRD-K07881437-001-01-2:10,danusertib_10 uM_6 h,danusertib,CPC013_PC3_6H:BRD-K07881437-001-01-2:10
CPC006_MCF7_6H:BRD-K67844266-001-01-3:11.1,MLN-4924_12 uM_6 h,MLN-4924,CPC006_PC3_6H:BRD-K67844266-001-01-3:11.1
CPC006_MCF7_6H:BRD-K21672174-001-02-2:160,Ro-28-1675_150 uM_6 h,Ro-28-1675,CPC006_PC3_6H:BRD-K21672174-001-02-2:160
CPC005_MCF7_6H:N11,rhodomyrtoxin-b_10 uM_6 h,rhodomyrtoxin-b,CPC005_PC3_6H:BRD-A08003242-001-02-7:10
CPC012_MCF7_24H:BRD-A16581344-001-01-1:10,BRD-A16581344_10 uM_24 h,BRD-A16581344,CPC012_PC3_24H:BRD-A16581344-001-01-1:10
CPC019_MCF7_24H:BRD-K76691125-001-01-8:10,BRD-K76691125_10 uM_24 h,BRD-K76691125,CPC019_PC3_24H:E19
CPC014_MCF7_6H:G15,QL-X-138_10 uM_6 h,QL-X-138,CPC014_PC3_6H:BRD-U33728988-000-01-6:10
CPC017_MCF7_6H:BRD-A00267231-001-01-1:10,hemado_10 uM_6 h,hemado,CPC001_PC3_6H:BRD-A00267231-001-01-1:10
CPC017_MCF7_24H:BRD-K09638361-001-01-4:10,IC-261_10 uM_24 h,IC-261,CPC001_PC3_24H:P07
CPC013_MCF7_24H:BRD-K35687265-236-01-8:10,ON-01910_10 uM_24 h,ON-01910,CPC013_PC3_24H:BRD-K35687265-236-01-8:10
CPC006_MCF7_24H:D02,PNU-74654_80 uM_24 h,PNU-74654,CPC006_PC3_24H:D02
CPC014_MCF7_6H:N16,ellipticine_10 uM_6 h,ellipticine,CPC014_PC3_6H:BRD-K85985071-001-20-7:10
CPC018_MCF7_24H:BRD-A84189516-001-01-2:10,baccatin-III_10 uM_24 h,baccatin-III,CPC002_PC3_24H:BRD-A84189516-001-01-2:10
CPC006_MCF7_24H:O16,quiflapon_80 uM_24 h,quiflapon,CPC006_PC3_24H:O16
LJP001_MCF7_6H:BRD-K72636697-001-01-5:10,QL-X-138_10 uM_6 h,QL-X-138,CPC014_PC3_6H:BRD-U33728988-000-01-6:10
REP.A006_MCF7_24H:H13,TH-302_10 uM_24 h,TH-302,REP.A006_PC3_24H:H13
LKCP001_MCF7_24H:O19,chloroxine_10 uM_24 h,chloroxine,REP.A002_PC3_24H:I07
LKCP002_MCF7_24H:D22,fenbendazole_10 uM_24 h,fenbendazole,CPD001_PC3_24H:BRD-K51318897-001-09-6:10
PCLB002_MCF7_24H:BRD-K67774729:10,BRD-K67774729_10 uM_24 h,BRD-K67774729,PCLB002_PC3_24H:BRD-K67774729:10
PBIOA013_MCF7_24H:O07,etoposide_10 uM_24 h,etoposide,CPD001_PC3_24H:BRD-K46503544-001-02-3:10
DOSVAL002_MCF7_24H:BRD-K12189280:10,BRD-K12189280_10 uM_24 h,BRD-K12189280,DOSVAL002_PC3_24H:BRD-K12189280:10
DOSVAL002_MCF7_24H:BRD-K10749593:20,BRD-K10749593_20 uM_24 h,BRD-K10749593,DOSVAL002_PC3_24H:BRD-K10749593:20
