bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,duplIdentifier,dupl_counts,conditionId
b6,10,10,uM,10 uM,24 h,24,h,PC3,BRD-K86858124,3,0.52,298,0.398053,0,"""""""""""""""""""""""""""""""""",0.13369,0.39824,0.503741,0.698724,18.89,76.9165,1,1,BRD-K86858124,CPD001_PC3_24H:BRD-K86858124-001-01-2:10,trt_cp,PC3,O12,CPD001_PC3_24H_X1_B6_DUO52HI53LO|CPD001_PC3_24H_X2_B6_DUO52HI53LO|CPD001_PC3_24H_X3_B6_DUO52HI53LO,CPD001_PC3_24H_X1_B6_DUO52HI53LO:O12|CPD001_PC3_24H_X2_B6_DUO52HI53LO:O12|CPD001_PC3_24H_X3_B6_DUO52HI53LO:O12,,CPD,paclitaxel,1,1,0,1,paclitaxel_10 uM_24 h_PC3,4,paclitaxel_10 uM_24 h
b11,10,9.6625,uM,10 uM,24 h,24,h,PC3,BRD-K17890048,3,0.42,211,0.301021,0,"""""""""""""""""""""""""""""""""",0,0,0.390355,0.622273,17.58,73.4999,1,1,BRD-K17890048,DOSBIO001_PC3_24H:BRD-K17890048:9.6625,trt_cp,PC3,I11,DOSBIO001_PC3_24H_X1_B11|DOSBIO001_PC3_24H_X2_B11|DOSBIO001_PC3_24H_X3_B11,DOSBIO001_PC3_24H_X1_B11:I11|DOSBIO001_PC3_24H_X2_B11:I11|DOSBIO001_PC3_24H_X3_B11:I11,,DOSBIO,BRD-K17890048,1,1,0,1,BRD-K17890048_10 uM_24 h_PC3,1,BRD-K17890048_10 uM_24 h
b6,10,10,uM,10 uM,24 h,24,h,PC3,BRD-K56558538,3,0.48,227,0.333783,0,"""""""""""""""""""""""""""""""""",5.17005,13.0111,0.309276,0.46395,18.89,76.9165,0,1,BRD-K56558538,CPD001_PC3_24H:BRD-K56558538-003-07-7:10,trt_cp,PC3,J23,CPD001_PC3_24H_X1_B6_DUO52HI53LO|CPD001_PC3_24H_X2_B6_DUO52HI53LO|CPD001_PC3_24H_X3_B6_DUO52HI53LO,CPD001_PC3_24H_X1_B6_DUO52HI53LO:J23|CPD001_PC3_24H_X2_B6_DUO52HI53LO:J23|CPD001_PC3_24H_X3_B6_DUO52HI53LO:J23,,CPD,ambroxol,1,1,0,1,ambroxol_10 uM_24 h_PC3,1,ambroxol_10 uM_24 h
b11,10,9.81225,uM,10 uM,24 h,24,h,PC3,BRD-K19390271,3,0.34,262,0.301801,0.889328,"""""""""""""""""""""""""""""""""",74.191,28.0991,-0.107399,0.368158,17.44,72.9831,0,1,BRD-K19390271,DOSBIO002_PC3_24H:BRD-K19390271:9.81225,trt_cp,PC3,F14,DOSBIO002_PC3_24H_X1_B11|DOSBIO002_PC3_24H_X2_B11|DOSBIO002_PC3_24H_X3_B11,DOSBIO002_PC3_24H_X1_B11:F14|DOSBIO002_PC3_24H_X2_B11:F14|DOSBIO002_PC3_24H_X3_B11:F14,,DOSBIO,BRD-K19390271,1,1,0,1,BRD-K19390271_10 uM_24 h_PC3,1,BRD-K19390271_10 uM_24 h
b11,10,10.3153,uM,10 uM,24 h,24,h,PC3,BRD-K79532217,3,0.61,389,0.492573,0.6917,"""""""""""""""""""""""""""""""""",1.07568,1.88649,0.54803,0.657708,17.44,72.9831,1,1,BRD-K79532217,DOSBIO002_PC3_24H:BRD-K79532217:10.3153,trt_cp,PC3,E01,DOSBIO002_PC3_24H_X1_B11|DOSBIO002_PC3_24H_X2_B11|DOSBIO002_PC3_24H_X3_B11,DOSBIO002_PC3_24H_X1_B11:E01|DOSBIO002_PC3_24H_X2_B11:E01|DOSBIO002_PC3_24H_X3_B11:E01,,DOSBIO,BRD-K79532217,1,1,0,1,BRD-K79532217_10 uM_24 h_PC3,1,BRD-K79532217_10 uM_24 h
b11,10,10.0611,uM,10 uM,24 h,24,h,PC3,BRD-K20109053,3,0.66,420,0.532387,0,"""""""""""""""""""""""""""""""""",0.401802,0.266667,0.541133,0.809471,17.44,72.9831,1,1,BRD-K20109053,DOSBIO002_PC3_24H:BRD-K20109053:10.0611,trt_cp,PC3,C09,DOSBIO002_PC3_24H_X1_B11|DOSBIO002_PC3_24H_X2_B11|DOSBIO002_PC3_24H_X3_B11,DOSBIO002_PC3_24H_X1_B11:C09|DOSBIO002_PC3_24H_X2_B11:C09|DOSBIO002_PC3_24H_X3_B11:C09,,DOSBIO,BRD-K20109053,1,1,0,1,BRD-K20109053_10 uM_24 h_PC3,1,BRD-K20109053_10 uM_24 h
b6,10,10,uM,10 uM,24 h,24,h,PC3,BRD-K54529596,3,0.27,343,0.307723,3.06031,"""""""""""""""""""""""""""""""""",43.1831,9.00909,0.0149326,0.446572,18.89,76.9165,0,1,BRD-K54529596,CPD001_PC3_24H:BRD-K54529596-001-19-8:10,trt_cp,PC3,C19,CPD001_PC3_24H_X1_B6_DUO52HI53LO|CPD001_PC3_24H_X2_B6_DUO52HI53LO|CPD001_PC3_24H_X3_B6_DUO52HI53LO,CPD001_PC3_24H_X1_B6_DUO52HI53LO:C19|CPD001_PC3_24H_X2_B6_DUO52HI53LO:C19|CPD001_PC3_24H_X3_B6_DUO52HI53LO:C19,,CPD,captopril,1,1,0,1,captopril_10 uM_24 h_PC3,1,captopril_10 uM_24 h
b11,10,10.0148,uM,10 uM,24 h,24,h,PC3,BRD-K79947405,3,0.25,373,0.308784,0,"""""""""""""""""""""""""""""""""",5.45213,0.265252,0.213586,0.656598,17.58,73.4999,1,1,BRD-K79947405,DOSBIO001_PC3_24H:BRD-K79947405:10.0148,trt_cp,PC3,D05,DOSBIO001_PC3_24H_X1_B11|DOSBIO001_PC3_24H_X2_B11|DOSBIO001_PC3_24H_X3_B11,DOSBIO001_PC3_24H_X1_B11:D05|DOSBIO001_PC3_24H_X2_B11:D05|DOSBIO001_PC3_24H_X3_B11:D05,,DOSBIO,BRD-K79947405,1,1,0,1,BRD-K79947405_10 uM_24 h_PC3,1,BRD-K79947405_10 uM_24 h
b6,10,10,uM,10 uM,24 h,24,h,PC3,BRD-K61236135,3,0.51,254,0.363942,0,"""""""""""""""""""""""""""""""""",0,0,0.47049,0.63961,18.89,76.9165,1,1,BRD-K61236135,CPD001_PC3_24H:BRD-K61236135-001-07-4:10,trt_cp,PC3,J05,CPD001_PC3_24H_X1_B6_DUO52HI53LO|CPD001_PC3_24H_X2_B6_DUO52HI53LO|CPD001_PC3_24H_X3_B6_DUO52HI53LO,CPD001_PC3_24H_X1_B6_DUO52HI53LO:J05|CPD001_PC3_24H_X2_B6_DUO52HI53LO:J05|CPD001_PC3_24H_X3_B6_DUO52HI53LO:J05,,CPD,tiratricol,1,1,0,1,tiratricol_10 uM_24 h_PC3,1,tiratricol_10 uM_24 h
b11,10,10.2581,uM,10 uM,24 h,24,h,PC3,BRD-K28649955,3,0.34,285,0.314769,2.47036,"""""""""""""""""""""""""""""""""",7.86667,8.4,0.16545,0.487599,17.44,72.9831,0,1,BRD-K28649955,DOSBIO002_PC3_24H:BRD-K28649955:10.2581,trt_cp,PC3,M04,DOSBIO002_PC3_24H_X1_B11|DOSBIO002_PC3_24H_X2_B11|DOSBIO002_PC3_24H_X3_B11,DOSBIO002_PC3_24H_X1_B11:M04|DOSBIO002_PC3_24H_X2_B11:M04|DOSBIO002_PC3_24H_X3_B11:M04,,DOSBIO,BRD-K28649955,1,1,0,1,BRD-K28649955_10 uM_24 h_PC3,1,BRD-K28649955_10 uM_24 h
