bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,duplIdentifier,dupl_counts,conditionId
b6,10,10,uM,10 uM,24 h,24,h,PC3,BRD-A37444045,3,0.38,478,0.430959,1.89019,"""""""""""""""""""""""""""""""""",33.7849,46.7608,0.0672762,0.197434,18.89,76.9165,0,1,BRD-A37444045,CPD001_PC3_24H:BRD-A37444045-003-01-5:10,trt_cp,PC3,B19,CPD001_PC3_24H_X1_B6_DUO52HI53LO|CPD001_PC3_24H_X2_B6_DUO52HI53LO|CPD001_PC3_24H_X3_B6_DUO52HI53LO,CPD001_PC3_24H_X1_B6_DUO52HI53LO:B19|CPD001_PC3_24H_X2_B6_DUO52HI53LO:B19|CPD001_PC3_24H_X3_B6_DUO52HI53LO:B19,,CPD,hydralazine,1,1,0,1,hydralazine_10 uM_24 h_PC3,1,hydralazine_10 uM_24 h
b6,10,10,uM,10 uM,24 h,24,h,PC3,BRD-K61236135,3,0.51,254,0.363942,0,"""""""""""""""""""""""""""""""""",0,0,0.47049,0.63961,18.89,76.9165,1,1,BRD-K61236135,CPD001_PC3_24H:BRD-K61236135-001-07-4:10,trt_cp,PC3,J05,CPD001_PC3_24H_X1_B6_DUO52HI53LO|CPD001_PC3_24H_X2_B6_DUO52HI53LO|CPD001_PC3_24H_X3_B6_DUO52HI53LO,CPD001_PC3_24H_X1_B6_DUO52HI53LO:J05|CPD001_PC3_24H_X2_B6_DUO52HI53LO:J05|CPD001_PC3_24H_X3_B6_DUO52HI53LO:J05,,CPD,tiratricol,1,1,0,1,tiratricol_10 uM_24 h_PC3,1,tiratricol_10 uM_24 h
b23,4,5,uM,4 uM,24 h,24,h,PC3,BRD-U06877554,3,0.78,505,0.634634,0,"0.33,0.33,0.34",0,0,0.767028,0.862755,13.6,59.7761,1,1,BRD-U06877554,POL001_PC3_24H:O07,trt_cp,PC3,O07,POL001_PC3_24H_X1.L2_B23|POL001_PC3_24H_X2.L2_B23|POL001_PC3_24H_X3.L2_B23,POL001_PC3_24H_X1.L2_B23:O07|POL001_PC3_24H_X2.L2_B23:O07|POL001_PC3_24H_X3.L2_B23:O07,,POL,JG-98,1,1,0,1,JG-98_4 uM_24 h_PC3,1,JG-98_4 uM_24 h
b11,10,10.1113,uM,10 uM,24 h,24,h,PC3,BRD-K00540336,3,0.45,260,0.345878,0,"""""""""""""""""""""""""""""""""",0.132979,0,0.434127,0.671934,17.58,73.4999,1,1,BRD-K00540336,DOSBIO001_PC3_24H:BRD-K00540336:10.1113,trt_cp,PC3,I13,DOSBIO001_PC3_24H_X1_B11|DOSBIO001_PC3_24H_X2_B11|DOSBIO001_PC3_24H_X3_B11,DOSBIO001_PC3_24H_X1_B11:I13|DOSBIO001_PC3_24H_X2_B11:I13|DOSBIO001_PC3_24H_X3_B11:I13,,DOSBIO,BRD-K00540336,1,1,0,1,BRD-K00540336_10 uM_24 h_PC3,1,BRD-K00540336_10 uM_24 h
b3,10,10,uM,10 uM,6 h,6,h,PC3,BRD-K26211296-001-01-9,5,0.4034,231,0.308677,3.125,"0.25,0.18,0.28,0.14,0.16",27.7543,20.6724,0.0805665,0.252426,29.18,91.3867,0,1,BRD-K26211296,CPC009_PC3_6H:O03,trt_cp,PC3,O03,CPC009_PC3_6H_X1_B3_DUO52HI53LO|CPC009_PC3_6H_X2_B3_DUO52HI53LO|CPC009_PC3_6H_X3.A2_B4_DUO52HI53LO|CPC009_PC3_6H_X4_F1B5_DUO52HI53LO|CPC009_PC3_6H_X5_F1B5_DUO52HI53LO,CPC009_PC3_6H_X1_B3_DUO52HI53LO:O03|CPC009_PC3_6H_X2_B3_DUO52HI53LO:O03|CPC009_PC3_6H_X3.A2_B4_DUO52HI53LO:O03|CPC009_PC3_6H_X4_F1B5_DUO52HI53LO:O03|CPC009_PC3_6H_X5_F1B5_DUO52HI53LO:O03,,CPC,BRD-K26211296,1,1,0,1,BRD-K26211296_10 uM_6 h_PC3,1,BRD-K26211296_10 uM_6 h
b4,10,10,uM,10 uM,6 h,6,h,PC3,BRD-K08448573,5,0.38,337,0.361857,0,"""""""""""""""""""""""""""""""""",0.0679348,0,0.375545,0.701542,28.6,91.1858,1,1,BRD-K08448573,CPC019_PC3_6H:BRD-K08448573-001-01-3:10,trt_cp,PC3,M12,CPC019_PC3_6H_X1_B4_DUO52HI53LO|CPC019_PC3_6H_X2_B4_DUO52HI53LO|CPC019_PC3_6H_X3_B4_DUO52HI53LO|CPC019_PC3_6H_X4_F1B4_DUO52HI53LO|CPC019_PC3_6H_X5_F1B4_DUO52HI53LO,CPC019_PC3_6H_X1_B4_DUO52HI53LO:M12|CPC019_PC3_6H_X2_B4_DUO52HI53LO:M12|CPC019_PC3_6H_X3_B4_DUO52HI53LO:M12|CPC019_PC3_6H_X4_F1B4_DUO52HI53LO:M12|CPC019_PC3_6H_X5_F1B4_DUO52HI53LO:M12,,CPC,BRD-K08448573,1,1,0,1,BRD-K08448573_10 uM_6 h_PC3,1,BRD-K08448573_10 uM_6 h
b4,10,10,uM,10 uM,6 h,6,h,PC3,BRD-K86899078,5,0.38,292,0.336832,0.706522,"""""""""""""""""""""""""""""""""",1.15126,0.744427,0.312503,0.644833,28.6,91.1858,1,1,BRD-K86899078,CPC019_PC3_6H:BRD-K86899078-001-01-2:10,trt_cp,PC3,C22,CPC019_PC3_6H_X1_B4_DUO52HI53LO|CPC019_PC3_6H_X2_B4_DUO52HI53LO|CPC019_PC3_6H_X3_B4_DUO52HI53LO|CPC019_PC3_6H_X4_F1B4_DUO52HI53LO|CPC019_PC3_6H_X5_F1B4_DUO52HI53LO,CPC019_PC3_6H_X1_B4_DUO52HI53LO:C22|CPC019_PC3_6H_X2_B4_DUO52HI53LO:C22|CPC019_PC3_6H_X3_B4_DUO52HI53LO:C22|CPC019_PC3_6H_X4_F1B4_DUO52HI53LO:C22|CPC019_PC3_6H_X5_F1B4_DUO52HI53LO:C22,,CPC,BRD-K86899078,1,1,0,1,BRD-K86899078_10 uM_6 h_PC3,1,BRD-K86899078_10 uM_6 h
b3,10,10,uM,10 uM,6 h,6,h,PC3,BRD-K36055864,5,0.67,448,0.553996,0.0547645,"""""""""""""""""""""""""""""""""",0.0659631,0.133694,0.636508,0.813731,25.1,87.8266,1,1,BRD-K36055864,CPC004_PC3_6H:BRD-K36055864-001-09-3:10,trt_cp,PC3,G06,CPC004_PC3_6H_X1_B3_DUO52HI53LO|CPC004_PC3_6H_X2_B3_DUO52HI53LO|CPC004_PC3_6H_X3_B3_DUO52HI53LO|CPC004_PC3_6H_X4_B4_DUO52HI53LO|CPC004_PC3_6H_X5_F1B5_DUO52HI53LO,CPC004_PC3_6H_X1_B3_DUO52HI53LO:G06|CPC004_PC3_6H_X2_B3_DUO52HI53LO:G06|CPC004_PC3_6H_X3_B3_DUO52HI53LO:G06|CPC004_PC3_6H_X4_B4_DUO52HI53LO:G06|CPC004_PC3_6H_X5_F1B5_DUO52HI53LO:G06,,CPC,cycloheximide,1,1,0,1,cycloheximide_10 uM_6 h_PC3,1,cycloheximide_10 uM_6 h
b5,10,10,uM,10 uM,24 h,24,h,PC3,BRD-K41431262,5,0.48,372,0.42729,1.04053,"""""""""""""""""""""""""""""""""",29.3764,26.938,0.0832396,0.295397,19.14,77.4907,0,1,BRD-K41431262,CPC020_PC3_24H:BRD-K41431262-001-01-4:10,trt_cp,PC3,C23,CPC020_PC3_24H_X1_B5_DUO52HI53LO|CPC020_PC3_24H_X2_B5_DUO52HI53LO|CPC020_PC3_24H_X3_B5_DUO52HI53LO|CPC020_PC3_24H_X4_B5_DUO52HI53LO|CPC020_PC3_24H_X5_B5_DUO52HI53LO,CPC020_PC3_24H_X1_B5_DUO52HI53LO:C23|CPC020_PC3_24H_X2_B5_DUO52HI53LO:C23|CPC020_PC3_24H_X3_B5_DUO52HI53LO:C23|CPC020_PC3_24H_X4_B5_DUO52HI53LO:C23|CPC020_PC3_24H_X5_B5_DUO52HI53LO:C23,,CPC,BRD-K41431262,1,1,0,1,BRD-K41431262_10 uM_24 h_PC3,1,BRD-K41431262_10 uM_24 h
b3,10,10,uM,10 uM,6 h,6,h,PC3,BRD-A00267231,4,0.26,378,0.317003,0.540541,"""""""""""""""""""""""""""""""""",2.0662,2.66594,0.217094,0.44804,26.11,88.9176,1,1,BRD-A00267231,CPC001_PC3_6H:BRD-A00267231-001-01-1:10,trt_cp,PC3,N03,CPC001_PC3_6H_X1_B3_DUO52HI53LO|CPC001_PC3_6H_X2_B3_DUO52HI53LO|CPC001_PC3_6H_X3_B3_DUO52HI53LO|CPC001_PC3_6H_X5.L2_F2B5_DUO52HI53LO,CPC001_PC3_6H_X1_B3_DUO52HI53LO:N03|CPC001_PC3_6H_X2_B3_DUO52HI53LO:N03|CPC001_PC3_6H_X3_B3_DUO52HI53LO:N03|CPC001_PC3_6H_X5.L2_F2B5_DUO52HI53LO:N03,,CPC,hemado,1,1,0,1,hemado_10 uM_6 h_PC3,1,hemado_10 uM_6 h
