bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,duplIdentifier,dupl_counts,conditionId
b20,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K25167492,3,0.48,199,0.31252,1.70557,"0.40,0.26,0.35",6.1677,6.30139,0.33868,0.59674,12.9,56.6179,0,1,BRD-K25167492,PCL001_HA1E_24H:BRD-K25167492:10,trt_cp,HA1E,D07,PCL001_HA1E_24H_X1_B20|PCL001_HA1E_24H_X2_B20|PCL001_HA1E_24H_X3_B20,PCL001_HA1E_24H_X1_B20:D07|PCL001_HA1E_24H_X2_B20:D07|PCL001_HA1E_24H_X3_B20:D07,,PCL,BRD-K25167492,1,1,0,1,BRD-K25167492_10 uM_24 h_HA1E,1,BRD-K25167492_10 uM_24 h
b4,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K94390040,3,0.48,253,0.35238,0,"""""""""""""""""""""""""""""""""",0,0,0.378528,0.723292,19.3,78.0362,1,1,BRD-K94390040,CPC009_HA1E_6H:BRD-K94390040-019-01-9:10,trt_cp,HA1E,M19,CPC009_HA1E_6H_X1_B4_DUO52HI53LO|CPC009_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC009_HA1E_6H_X3_B4_DUO52HI53LO,CPC009_HA1E_6H_X1_B4_DUO52HI53LO:M19|CPC009_HA1E_6H_X2_F1B3_DUO52HI53LO:M19|CPC009_HA1E_6H_X3_B4_DUO52HI53LO:M19,,CPC,BRD-K94390040,1,1,0,1,BRD-K94390040_10 uM_6 h_HA1E,1,BRD-K94390040_10 uM_6 h
f1b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K22832646,3,0.49,203,0.318916,0,"""""""""""""""""""""""""""""""""",0,0,0.484559,0.697931,18.85,76.859,1,1,BRD-K22832646,CPC019_HA1E_6H:BRD-K22832646-001-06-2:10,trt_cp,HA1E,B06,CPC019_HA1E_6H_X1_F1B3_DUO52HI53LO|CPC019_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC019_HA1E_6H_X3_B4_DUO52HI53LO,CPC019_HA1E_6H_X1_F1B3_DUO52HI53LO:B06|CPC019_HA1E_6H_X2_F1B3_DUO52HI53LO:B06|CPC019_HA1E_6H_X3_B4_DUO52HI53LO:B06,,CPC,MW-STK33-1A,1,1,0,1,MW-STK33-1A_10 uM_6 h_HA1E,1,MW-STK33-1A_10 uM_6 h
b3,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K91263825,3,0.51,215,0.334838,0,"""""""""""""""""""""""""""""""""",0,0.140845,0.485546,0.77351,11.51,49.4401,1,1,BRD-K91263825,CPC002_HA1E_24H:BRD-K91263825-001-03-6:10,trt_cp,HA1E,O11,CPC002_HA1E_24H_X1_B3_DUO52HI53LO|CPC002_HA1E_24H_X2_B3_DUO52HI53LO|CPC002_HA1E_24H_X3_B3_DUO52HI53LO,CPC002_HA1E_24H_X1_B3_DUO52HI53LO:O11|CPC002_HA1E_24H_X2_B3_DUO52HI53LO:O11|CPC002_HA1E_24H_X3_B3_DUO52HI53LO:O11,,CPC,nortriptyline,1,1,0,1,nortriptyline_10 uM_24 h_HA1E,1,nortriptyline_10 uM_24 h
b3,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K73610817,3,0.64,441,0.537205,0,"""""""""""""""""""""""""""""""""",0,0,0.57527,0.807465,22.44,83.8932,1,1,BRD-K73610817,CPC007_HA1E_24H:BRD-K73610817-001-06-3:10,trt_cp,HA1E,M15,CPC007_HA1E_24H_X1_B3_DUO52HI53LO|CPC007_HA1E_24H_X2_B3_DUO52HI53LO|CPC007_HA1E_24H_X3_B3_DUO52HI53LO,CPC007_HA1E_24H_X1_B3_DUO52HI53LO:M15|CPC007_HA1E_24H_X2_B3_DUO52HI53LO:M15|CPC007_HA1E_24H_X3_B3_DUO52HI53LO:M15,,CPC,BRD-K73610817,1,1,0,1,BRD-K73610817_10 uM_24 h_HA1E,1,BRD-K73610817_10 uM_24 h
f1b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-A70591769,3,0.49,443,0.471119,1.37994,"""""""""""""""""""""""""""""""""",27.6362,68.9153,0.102328,0,10.25,43.4396,0,1,BRD-A70591769,CPC013_HA1E_6H:BRD-A70591769-001-01-9:10,trt_cp,HA1E,M03,CPC013_HA1E_6H_X1_F1B3_DUO52HI53LO|CPC013_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC013_HA1E_6H_X3_F1B3_DUO52HI53LO,CPC013_HA1E_6H_X1_F1B3_DUO52HI53LO:M03|CPC013_HA1E_6H_X2_F1B3_DUO52HI53LO:M03|CPC013_HA1E_6H_X3_F1B3_DUO52HI53LO:M03,,CPC,BRD-A70591769,1,1,0,1,BRD-A70591769_10 uM_6 h_HA1E,1,BRD-A70591769_10 uM_6 h
b3,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K81376179,3,0.42,210,0.300307,0.0909091,"""""""""""""""""""""""""""""""""",0.670241,0.938704,0.298445,0.527801,12.26,53.1726,1,1,BRD-K81376179,CPC005_HA1E_24H:BRD-K81376179-001-01-4:10,trt_cp,HA1E,P06,CPC005_HA1E_24H_X1_B3_DUO52HI53LO|CPC005_HA1E_24H_X2_B3_DUO52HI53LO|CPC005_HA1E_24H_X3_B3_DUO52HI53LO,CPC005_HA1E_24H_X1_B3_DUO52HI53LO:P06|CPC005_HA1E_24H_X2_B3_DUO52HI53LO:P06|CPC005_HA1E_24H_X3_B3_DUO52HI53LO:P06,,CPC,TCS-359,1,1,0,1,TCS-359_10 uM_24 h_HA1E,1,TCS-359_10 uM_24 h
b4,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K95138506,3,0.52,268,0.377485,0,"""""""""""""""""""""""""""""""""",0,0,0.425562,0.777438,19.3,78.0362,1,1,BRD-K95138506,CPC009_HA1E_6H:BRD-K95138506-019-01-8:10,trt_cp,HA1E,D06,CPC009_HA1E_6H_X1_B4_DUO52HI53LO|CPC009_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC009_HA1E_6H_X3_B4_DUO52HI53LO,CPC009_HA1E_6H_X1_B4_DUO52HI53LO:D06|CPC009_HA1E_6H_X2_F1B3_DUO52HI53LO:D06|CPC009_HA1E_6H_X3_B4_DUO52HI53LO:D06,,CPC,BRD-K95138506,1,1,0,1,BRD-K95138506_10 uM_6 h_HA1E,1,BRD-K95138506_10 uM_6 h
f1b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K69603398,3,0.52,235,0.353481,0.0910747,"""""""""""""""""""""""""""""""""",0.263852,0.539084,0.445251,0.611436,17.92,74.0741,1,1,BRD-K69603398,CPC020_HA1E_6H:BRD-K69603398-001-01-2:10,trt_cp,HA1E,C21,CPC020_HA1E_6H_X1_F1B3_DUO52HI53LO|CPC020_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC020_HA1E_6H_X3_F1B3_DUO52HI53LO,CPC020_HA1E_6H_X1_F1B3_DUO52HI53LO:C21|CPC020_HA1E_6H_X2_F1B3_DUO52HI53LO:C21|CPC020_HA1E_6H_X3_F1B3_DUO52HI53LO:C21,,CPC,BRD-K69603398,1,1,0,1,BRD-K69603398_10 uM_6 h_HA1E,1,BRD-K69603398_10 uM_6 h
f1b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K14444135,3,0.55,425,0.488885,0.643974,"""""""""""""""""""""""""""""""""",5.64738,1.92837,0.447648,0.59611,10.25,43.4396,1,1,BRD-K14444135,CPC013_HA1E_6H:BRD-K14444135-001-01-5:10,trt_cp,HA1E,M02,CPC013_HA1E_6H_X1_F1B3_DUO52HI53LO|CPC013_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC013_HA1E_6H_X3_F1B3_DUO52HI53LO,CPC013_HA1E_6H_X1_F1B3_DUO52HI53LO:M02|CPC013_HA1E_6H_X2_F1B3_DUO52HI53LO:M02|CPC013_HA1E_6H_X3_F1B3_DUO52HI53LO:M02,,CPC,ST-4028268,1,1,0,1,ST-4028268_10 uM_6 h_HA1E,1,ST-4028268_10 uM_6 h
