sig_id.x,conditionId,cmap_name,sig_id.y
CPC019_A375_6H:BRD-K46373671-001-01-8:10,BRD-K46373671_10 uM_6 h,BRD-K46373671,CPC019_HT29_6H:BRD-K46373671-001-01-8:10
CPC018_A375_6H:BRD-K36055864-001-09-3:10,cycloheximide_10 uM_6 h,cycloheximide,CPC004_HT29_6H:BRD-A62184259-001-02-8:10
CPC012_A375_6H:A19,BRD-K04534322_10 uM_6 h,BRD-K04534322,CPC012_HT29_6H:BRD-K04534322-001-01-8:10
CPC006_A375_24H:BRD-A62809825-001-01-7:10,thapsigargin_10 uM_24 h,thapsigargin,CPC005_HT29_24H:BRD-K69023402-001-02-5:10
CPC020_A375_6H:BRD-K06666320-001-06-7:10,MW-STK33-23_10 uM_6 h,MW-STK33-23,CPC020_HT29_6H:BRD-K06666320-001-06-7:10
DOSVAL001_A375_24H:BRD-K03861125:10,BRD-K03861125_10 uM_24 h,BRD-K03861125,DOSVAL001_HT29_24H:BRD-K03861125:10
CPC015_A375_6H:BRD-K37991163-003-06-8:10,paroxetine_10 uM_6 h,paroxetine,CPC020_HT29_6H:BRD-A62326914-001-02-2:10
CPC005_A375_24H:BRD-K20152659-001-02-0:10,BRD-K20152659_10 uM_24 h,BRD-K20152659,CPC005_HT29_24H:BRD-K20152659-001-02-0:10
PBIOA013_A375_24H:F19,CAM-9-027-3_10 uM_24 h,CAM-9-027-3,PBIOA013_HT29_24H:F19
CPC012_A375_6H:H11,latrunculin-b_10 uM_6 h,latrunculin-b,CPC012_HT29_6H:BRD-A19248578-001-03-7:10
REP.A021_A375_24H:P09,AZD-7762_1.11 uM_24 h,AZD-7762,PBIOA016_HT29_24H:I09
CPC019_A375_6H:BRD-K37043259-001-01-8:10,BRD-K37043259_10 uM_6 h,BRD-K37043259,CPC019_HT29_6H:BRD-K37043259-001-01-8:10
CPC020_A375_6H:BRD-K53308430-001-02-4:10,SA-1017940_10 uM_6 h,SA-1017940,CPC020_HT29_6H:BRD-K53308430-001-02-4:10
CPC016_A375_6H:BRD-A17065207-001-06-9:10,brefeldin-a_10 uM_6 h,brefeldin-a,CPC016_HT29_6H:BRD-A17065207-001-06-9:10
PCL001_A375_24H:BRD-K21532219:10,UMB-32_10 uM_24 h,UMB-32,PCL001_HT29_24H:BRD-K21532219:10
PBIOA017_A375_24H:M01,GDC-0879_10 uM_24 h,GDC-0879,PBIOA017_HT29_24H:M01
CPC005_A375_24H:BRD-K69023402-001-02-5:10,thapsigargin_10 uM_24 h,thapsigargin,CPC005_HT29_24H:BRD-K69023402-001-02-5:10
DOSVAL002_A375_24H:BRD-K71387353:5,BRD-K71387353_4 uM_24 h,BRD-K71387353,DOSVAL002_HT29_24H:BRD-K71387353:5
CPC006_A375_6H:N03,chaetocin_0.08 uM_6 h,chaetocin,CPC006_HT29_6H:N03
DOSVAL002_A375_24H:BRD-K14002526:20,BRD-K14002526_20 uM_24 h,BRD-K14002526,DOSVAL002_HT29_24H:BRD-K14002526:20
REP.A024_A375_24H:L07,fluspirilene_10 uM_24 h,fluspirilene,REP.A024_HT29_24H:L07
REP.A024_A375_24H:K19,oxiperomide_10 uM_24 h,oxiperomide,REP.A024_HT29_24H:K19
