bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,duplIdentifier,dupl_counts,conditionId
b20,10,10,uM,10 uM,24 h,24,h,HT29,BRD-K42991516,3,0.5,352,0.424216,6.69203,"0.45,0.25,0.29",10.2656,7.70433,0.440523,0.654202,10.28,43.6693,0,1,BRD-K42991516,PCL001_HT29_24H:BRD-K42991516:10,trt_cp,HT29,I13,PCL001_HT29_24H_X1_B20|PCL001_HT29_24H_X2_B20|PCL001_HT29_24H_X3_B20,PCL001_HT29_24H_X1_B20:I13|PCL001_HT29_24H_X2_B20:I13|PCL001_HT29_24H_X3_B20:I13,,PCL,BRD-K42991516,1,1,0,1,BRD-K42991516_10 uM_24 h_HT29,1,BRD-K42991516_10 uM_24 h
b23,0.125,0.123457,uM,0.125 uM,24 h,24,h,HT29,BRD-K43389698,3,0.5,227,0.340666,0,"0.34,0.31,0.35",0,0,0.442721,0.703151,8.54,34.6827,1,1,BRD-K43389698,POL001_HT29_24H:L05,trt_cp,HT29,L05,POL001_HT29_24H_X1.L2_B23|POL001_HT29_24H_X2.L2_B23|POL001_HT29_24H_X3.L2_B23,POL001_HT29_24H_X1.L2_B23:L05|POL001_HT29_24H_X2.L2_B23:L05|POL001_HT29_24H_X3.L2_B23:L05,,POL,BMS-387032,1,1,0,1,BMS-387032_0.125 uM_24 h_HT29,1,BMS-387032_0.125 uM_24 h
b20,10,10,uM,10 uM,24 h,24,h,HT29,BRD-K13094524,3,0.71,439,0.564536,0.0895255,"0.32,0.34,0.34",0.668245,0.929089,0.644564,0.799344,10.28,43.6693,1,1,BRD-K13094524,PCL001_HT29_24H:BRD-K13094524:10,trt_cp,HT29,L07,PCL001_HT29_24H_X1_B20|PCL001_HT29_24H_X2_B20|PCL001_HT29_24H_X3_B20,PCL001_HT29_24H_X1_B20:L07|PCL001_HT29_24H_X2_B20:L07|PCL001_HT29_24H_X3_B20:L07,,PCL,PFI-1,1,1,0,1,PFI-1_10 uM_24 h_HT29,1,PFI-1_10 uM_24 h
b16,50,50,uM,50 uM,24 h,24,h,HT29,BRD-K09208538,4,0.53,503,0.522099,0,"0.22,0.24,0.27,0.26",0.132979,0.132979,0.458863,0.65441,32.96,94.2291,1,1,BRD-K09208538,GMB001_HT29_24H:BRD-K09208538:50,trt_cp,HT29,E09|K21,GMB001_HT29_24H_X1_B16|GMB001_HT29_24H_X2_B16,GMB001_HT29_24H_X1_B16:E09|GMB001_HT29_24H_X1_B16:K21|GMB001_HT29_24H_X2_B16:E09|GMB001_HT29_24H_X2_B16:K21,,GMB,BRD-K09208538,1,1,0,1,BRD-K09208538_50 uM_24 h_HT29,1,BRD-K09208538_50 uM_24 h
b23,0.37,0.37037,uM,0.37 uM,24 h,24,h,HT29,BRD-A45498368,3,0.63,430,0.526302,0.0224215,"0.33,0.33,0.33",0,1.49864,0.630946,0.708954,8.54,34.6827,1,1,BRD-A45498368,POL001_HT29_24H:H16,trt_cp,HT29,H16,POL001_HT29_24H_X1.L2_B23|POL001_HT29_24H_X2.L2_B23|POL001_HT29_24H_X3.L2_B23,POL001_HT29_24H_X1.L2_B23:H16|POL001_HT29_24H_X2.L2_B23:H16|POL001_HT29_24H_X3.L2_B23:H16,,POL,WYE-125132,1,1,0,1,WYE-125132_0.37 uM_24 h_HT29,1,WYE-125132_0.37 uM_24 h
b20,1.11,1.11,uM,1.11 uM,24 h,24,h,HT29,BRD-A18497530,3,0.61,246,0.391709,0,"0.32,0.34,0.34",0,0,0.568101,0.78737,10.28,43.6693,1,1,BRD-A18497530,PCL001_HT29_24H:BRD-A18497530:1.11,trt_cp,HT29,G15,PCL001_HT29_24H_X1_B20|PCL001_HT29_24H_X2_B20|PCL001_HT29_24H_X3_B20,PCL001_HT29_24H_X1_B20:G15|PCL001_HT29_24H_X2_B20:G15|PCL001_HT29_24H_X3_B20:G15,,PCL,5-iodotubercidin,1,1,0,1,5-iodotubercidin_1.11 uM_24 h_HT29,1,5-iodotubercidin_1.11 uM_24 h
b20,1.11,1.11,uM,1.11 uM,24 h,24,h,HT29,BRD-K11413513,3,0.66,282,0.436242,0,"0.35,0.32,0.33",0,0,0.654023,0.79657,10.28,43.6693,1,1,BRD-K11413513,PCL001_HT29_24H:BRD-K11413513:1.11,trt_cp,HT29,K03,PCL001_HT29_24H_X1_B20|PCL001_HT29_24H_X2_B20|PCL001_HT29_24H_X3_B20,PCL001_HT29_24H_X1_B20:K03|PCL001_HT29_24H_X2_B20:K03|PCL001_HT29_24H_X3_B20:K03,,PCL,BRD-K11413513,1,1,0,1,BRD-K11413513_1.11 uM_24 h_HT29,1,BRD-K11413513_1.11 uM_24 h
b20,10,10,uM,10 uM,24 h,24,h,HT29,BRD-K97274161,3,0.54,178,0.3135,0,"0.33,0.33,0.34",0,0.402993,0.522385,0.667251,10.28,43.6693,1,1,BRD-K97274161,PCL001_HT29_24H:BRD-K97274161:10,trt_cp,HT29,N13,PCL001_HT29_24H_X1_B20|PCL001_HT29_24H_X2_B20|PCL001_HT29_24H_X3_B20,PCL001_HT29_24H_X1_B20:N13|PCL001_HT29_24H_X2_B20:N13|PCL001_HT29_24H_X3_B20:N13,,PCL,K-788-2192,1,1,0,1,K-788-2192_10 uM_24 h_HT29,1,K-788-2192_10 uM_24 h
b23,12,11.1,uM,12 uM,24 h,24,h,HT29,BRD-K08316444,3,0.68,423,0.542319,0.0224215,"0.33,0.34,0.33",0,0,0.667492,0.852338,8.54,34.6827,1,1,BRD-K08316444,POL001_HT29_24H:D01,trt_cp,HT29,D01,POL001_HT29_24H_X1.L2_B23|POL001_HT29_24H_X2.L2_B23|POL001_HT29_24H_X3.L2_B23,POL001_HT29_24H_X1.L2_B23:D01|POL001_HT29_24H_X2.L2_B23:D01|POL001_HT29_24H_X3.L2_B23:D01,,POL,rotenone,1,1,0,1,rotenone_12 uM_24 h_HT29,1,rotenone_12 uM_24 h
b11,10,10.0611,uM,10 uM,24 h,24,h,HT29,BRD-K20109053,3,0.57,330,0.438556,0,"""""""""""""""""""""""""""""""""",0,0,0.552401,0.798339,11.44,49.0095,1,1,BRD-K20109053,DOSBIO002_HT29_24H:BRD-K20109053:10.0611,trt_cp,HT29,C09,DOSBIO002_HT29_24H_X1_B11|DOSBIO002_HT29_24H_X2_B11|DOSBIO002_HT29_24H_X3_B11,DOSBIO002_HT29_24H_X1_B11:C09|DOSBIO002_HT29_24H_X2_B11:C09|DOSBIO002_HT29_24H_X3_B11:C09,,DOSBIO,BRD-K20109053,1,1,0,1,BRD-K20109053_10 uM_24 h_HT29,1,BRD-K20109053_10 uM_24 h
