bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,duplIdentifier,dupl_counts,conditionId
b3,10,10,uM,10 uM,6 h,6,h,HT29,BRD-K58853583,5,0.43,426,0.432782,1.40389,"""""""""""""""""""""""""""""""""",2.39938,2.61289,0.377123,0.641922,11.29,48.1194,1,1,BRD-K58853583,CPC008_HT29_6H:BRD-K58853583-001-01-1:10,trt_cp,HT29,K13,CPC008_HT29_6H_X1_B3_DUO52HI53LO|CPC008_HT29_6H_X2_B3_DUO52HI53LO|CPC008_HT29_6H_X3_B3_DUO52HI53LO|CPC008_HT29_6H_X4_F1B5_DUO52HI53LO|CPC008_HT29_6H_X5_B5_DUO52HI53LO,CPC008_HT29_6H_X1_B3_DUO52HI53LO:K13|CPC008_HT29_6H_X2_B3_DUO52HI53LO:K13|CPC008_HT29_6H_X3_B3_DUO52HI53LO:K13|CPC008_HT29_6H_X4_F1B5_DUO52HI53LO:K13|CPC008_HT29_6H_X5_B5_DUO52HI53LO:K13,,CPC,BRD-K58853583,1,1,0,1,BRD-K58853583_10 uM_6 h_HT29,1,BRD-K58853583_10 uM_6 h
b3,10,10,uM,10 uM,24 h,24,h,HT29,BRD-K54665485,3,0.57,397,0.48102,0,"""""""""""""""""""""""""""""""""",4.4218,4.95656,0.22096,0.496561,19.25,77.8639,1,1,BRD-K54665485,CPC005_HT29_24H:BRD-K54665485-001-04-6:10,trt_cp,HT29,P15,CPC005_HT29_24H_X1_B3_DUO52HI53LO|CPC005_HT29_24H_X2_B3_DUO52HI53LO|CPC005_HT29_24H_X3_B3_DUO52HI53LO,CPC005_HT29_24H_X1_B3_DUO52HI53LO:P15|CPC005_HT29_24H_X2_B3_DUO52HI53LO:P15|CPC005_HT29_24H_X3_B3_DUO52HI53LO:P15,,CPC,R-59022,1,1,0,1,R-59022_10 uM_24 h_HT29,1,R-59022_10 uM_24 h
b23,0.125,0.123457,uM,0.125 uM,24 h,24,h,HT29,BRD-K43389698,3,0.5,227,0.340666,0,"0.34,0.31,0.35",0,0,0.442721,0.703151,8.54,34.6827,1,1,BRD-K43389698,POL001_HT29_24H:L05,trt_cp,HT29,L05,POL001_HT29_24H_X1.L2_B23|POL001_HT29_24H_X2.L2_B23|POL001_HT29_24H_X3.L2_B23,POL001_HT29_24H_X1.L2_B23:L05|POL001_HT29_24H_X2.L2_B23:L05|POL001_HT29_24H_X3.L2_B23:L05,,POL,BMS-387032,1,1,0,1,BMS-387032_0.125 uM_24 h_HT29,1,BMS-387032_0.125 uM_24 h
b20,0.04,0.0411523,uM,0.04 uM,24 h,24,h,HT29,BRD-K69776681,3,0.5647,373,0.464081,0,"0.32,0.34,0.34",0,0.950725,0.524102,0.673458,30.6,92.3916,1,1,BRD-K69776681,PBIOA018_HT29_24H:M06,trt_cp,HT29,M06,PBIOA018_HT29_24H_X1_B20|PBIOA018_HT29_24H_X2_B21|PBIOA018_HT29_24H_X3_B20,PBIOA018_HT29_24H_X1_B20:M06|PBIOA018_HT29_24H_X2_B21:M06|PBIOA018_HT29_24H_X3_B20:M06,,PBIOA,volasertib,1,1,0,1,volasertib_0.04 uM_24 h_HT29,1,volasertib_0.04 uM_24 h
b21,10,10,uM,10 uM,24 h,24,h,HT29,BRD-K11528507,3,0.52,400,0.461171,0.0221828,"0.33,0.33,0.33",0,0.132626,0.514298,0.745965,27.89,90.5828,1,1,BRD-K11528507,PBIOA013_HT29_24H:G13,trt_cp,HT29,G13,PBIOA013_HT29_24H_X1_B21|PBIOA013_HT29_24H_X2.A2_B20|PBIOA013_HT29_24H_X3.A2_B20,PBIOA013_HT29_24H_X1_B21:G13|PBIOA013_HT29_24H_X2.A2_B20:G13|PBIOA013_HT29_24H_X3.A2_B20:G13,,PBIOA,geldanamycin,1,1,0,1,geldanamycin_10 uM_24 h_HT29,1,geldanamycin_10 uM_24 h
b19,20,20,uM,20 uM,24 h,24,h,HT29,BRD-K74329753,3,0.4,221,0.300647,0.39929,"0.35,0.28,0.37",2.3873,1.59683,0.300561,0.561892,16.94,71.6337,1,1,BRD-K74329753,DOSVAL006_HT29_24H:BRD-K74329753:20,trt_cp,HT29,E13,DOSVAL006_HT29_24H_X1_B19|DOSVAL006_HT29_24H_X2_B19|DOSVAL006_HT29_24H_X3_B19,DOSVAL006_HT29_24H_X1_B19:E13|DOSVAL006_HT29_24H_X2_B19:E13|DOSVAL006_HT29_24H_X3_B19:E13,,DOSVAL,BRD-K74329753,1,1,0,1,BRD-K74329753_20 uM_24 h_HT29,1,BRD-K74329753_20 uM_24 h
b3,10,10,uM,10 uM,24 h,24,h,HT29,BRD-K56429665,3,0.37,247,0.305689,0,"""""""""""""""""""""""""""""""""",0.534759,0.670241,0.357796,0.605618,19.25,77.8639,1,1,BRD-K56429665,CPC005_HT29_24H:BRD-K56429665-001-03-9:10,trt_cp,HT29,J21,CPC005_HT29_24H_X1_B3_DUO52HI53LO|CPC005_HT29_24H_X2_B3_DUO52HI53LO|CPC005_HT29_24H_X3_B3_DUO52HI53LO,CPC005_HT29_24H_X1_B3_DUO52HI53LO:J21|CPC005_HT29_24H_X2_B3_DUO52HI53LO:J21|CPC005_HT29_24H_X3_B3_DUO52HI53LO:J21,,CPC,calcipotriol,1,1,0,1,calcipotriol_10 uM_24 h_HT29,1,calcipotriol_10 uM_24 h
b4,10,10,uM,10 uM,6 h,6,h,HT29,BRD-K50177987,5,0.31,322,0.319477,5.26316,"""""""""""""""""""""""""""""""""",21.2625,33.8086,0.110723,0.243593,12.29,53.2874,0,1,BRD-K50177987,CPC019_HT29_6H:BRD-K50177987-001-01-5:10,trt_cp,HT29,C15,CPC019_HT29_6H_X1_B4_DUO52HI53LO|CPC019_HT29_6H_X2_B4_DUO52HI53LO|CPC019_HT29_6H_X3_B4_DUO52HI53LO|CPC019_HT29_6H_X4_B5_DUO52HI53LO|CPC019_HT29_6H_X5_F1B5_DUO52HI53LO,CPC019_HT29_6H_X1_B4_DUO52HI53LO:C15|CPC019_HT29_6H_X2_B4_DUO52HI53LO:C15|CPC019_HT29_6H_X3_B4_DUO52HI53LO:C15|CPC019_HT29_6H_X4_B5_DUO52HI53LO:C15|CPC019_HT29_6H_X5_F1B5_DUO52HI53LO:C15,,CPC,BRD-K50177987,1,1,0,1,BRD-K50177987_10 uM_6 h_HT29,1,BRD-K50177987_10 uM_6 h
b3,10,10,uM,10 uM,6 h,6,h,HT29,BRD-K39507792,5,0.33,297,0.316567,3.99568,"""""""""""""""""""""""""""""""""",5.62469,13.5923,0.278353,0.338072,11.29,48.1194,0,1,BRD-K39507792,CPC008_HT29_6H:BRD-K39507792-001-04-8:10,trt_cp,HT29,C02,CPC008_HT29_6H_X1_B3_DUO52HI53LO|CPC008_HT29_6H_X2_B3_DUO52HI53LO|CPC008_HT29_6H_X3_B3_DUO52HI53LO|CPC008_HT29_6H_X4_F1B5_DUO52HI53LO|CPC008_HT29_6H_X5_B5_DUO52HI53LO,CPC008_HT29_6H_X1_B3_DUO52HI53LO:C02|CPC008_HT29_6H_X2_B3_DUO52HI53LO:C02|CPC008_HT29_6H_X3_B3_DUO52HI53LO:C02|CPC008_HT29_6H_X4_F1B5_DUO52HI53LO:C02|CPC008_HT29_6H_X5_B5_DUO52HI53LO:C02,,CPC,BRD-K39507792,1,1,0,1,BRD-K39507792_10 uM_6 h_HT29,1,BRD-K39507792_10 uM_6 h
b3,10,10,uM,10 uM,6 h,6,h,HT29,BRD-K77547920,3,0.46,261,0.350372,0.0911577,"""""""""""""""""""""""""""""""""",0.941585,0.269542,0.202307,0.617793,12.3,53.4597,1,1,BRD-K77547920,CPC009_HT29_6H:BRD-K77547920-001-04-2:10,trt_cp,HT29,C14,CPC009_HT29_6H_X1_B3_DUO52HI53LO|CPC009_HT29_6H_X3_B3_DUO52HI53LO|CPC009_HT29_6H_X5_B5_DUO52HI53LO,CPC009_HT29_6H_X1_B3_DUO52HI53LO:C14|CPC009_HT29_6H_X3_B3_DUO52HI53LO:C14|CPC009_HT29_6H_X5_B5_DUO52HI53LO:C14,,CPC,BRD-K77547920,1,1,0,1,BRD-K77547920_10 uM_6 h_HT29,1,BRD-K77547920_10 uM_6 h
