,metric,DCS,DCS modified v1,DCS modified v2,Two Autoencoders,direct translation,MI Autoencoders
DCS,pearson,1.0,0.8501067391385259,0.07566157214388704,0.3846730627355087,0.031209012771740218,0.27303633975118835
DCS modified v1,pearson,0.0,1.0,0.10410988966022681,0.5205228832757727,0.031209012771740218,0.3846730627355087
DCS modified v2,pearson,0.0,0.0,1.0,0.24132159301718004,0.0013149446697132139,0.3447042220069576
Two Autoencoders,pearson,0.0,0.0,0.0,1.0,0.0036105143123296027,0.7337299956962472
direct translation,pearson,0.0,0.0,0.0,0.0,1.0,0.00579535854433471
MI Autoencoders,pearson,0.0,0.0,0.0,0.0,0.0,1.0
DCS,spearman,1.0,1.0,0.08897301170181328,0.6231762238821174,0.025748080821108063,0.47267559351158717
DCS modified v1,spearman,0.0,1.0,0.10410988966022681,0.6775849579524755,0.025748080821108063,0.5205228832757727
DCS modified v2,spearman,0.0,0.0,1.0,0.21229383619233155,0.0010079762403767444,0.3074894566186813
Two Autoencoders,spearman,0.0,0.0,0.0,1.0,0.0036105143123296027,0.7913367801006604
direct translation,spearman,0.0,0.0,0.0,0.0,1.0,0.0028272720911168077
MI Autoencoders,spearman,0.0,0.0,0.0,0.0,0.0,1.0
DCS,accuracy,1.0,0.9698499769931556,0.08897301170181328,0.6231762238821174,0.025748080821108063,0.5205228832757727
DCS modified v1,accuracy,0.0,1.0,0.08897301170181328,0.5707503880581739,0.025748080821108063,0.5205228832757727
DCS modified v2,accuracy,0.0,0.0,1.0,0.3447042220069576,0.0017062493689195964,0.3074894566186813
Two Autoencoders,accuracy,0.0,0.0,0.0,1.0,0.004586392080253494,0.8501067391385259
direct translation,accuracy,0.0,0.0,0.0,0.0,1.0,0.0036105143123296027
MI Autoencoders,accuracy,0.0,0.0,0.0,0.0,0.0,1.0
