,metric,Similarity trained Autoencoders,Autoencoders with classifier,CPA,TransCompR,direct translation
Similarity trained Autoencoders,pearson,1.0,0.9097218891455553,0.3846730627355087,0.9698499769931556,0.00579535854433471
Autoencoders with classifier,pearson,0.0,1.0,0.3447042220069576,0.9698499769931556,0.0022022199424970783
CPA,pearson,0.0,0.0,1.0,0.3846730627355087,0.00728455700947966
TransCompR,pearson,0.0,0.0,0.0,1.0,0.00579535854433471
direct translation,pearson,0.0,0.0,0.0,0.0,1.0
Similarity trained Autoencoders,spearman,1.0,0.7913367801006604,0.3846730627355087,0.8501067391385259,0.0028272720911168077
Autoencoders with classifier,spearman,0.0,1.0,0.21229383619233155,0.9698499769931556,0.0022022199424970783
CPA,spearman,0.0,0.0,1.0,0.3447042220069576,0.00728455700947966
TransCompR,spearman,0.0,0.0,0.0,1.0,0.0022022199424970783
direct translation,spearman,0.0,0.0,0.0,0.0,1.0
Similarity trained Autoencoders,accuracy,1.0,0.7913367801006604,0.6231762238821174,0.6775849579524755,0.0036105143123296027
Autoencoders with classifier,accuracy,0.0,1.0,0.27303633975118835,0.8501067391385259,0.0022022199424970783
CPA,accuracy,0.0,0.0,1.0,0.3447042220069576,0.00728455700947966
TransCompR,accuracy,0.0,0.0,0.0,1.0,0.0028272720911168077
direct translation,accuracy,0.0,0.0,0.0,0.0,1.0
