,metric,DCS,DCS modified v1,DCS modified v2,similarity-trained Autoencoders,Autoencoders with classifier,TransCompR,CPA-based Autoencoders
DCS,pearson,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
DCS modified v1,pearson,0.0,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
DCS modified v2,pearson,0.0,0.0,1.0,0.00032983852077799353,0.00043963875262656454,0.00018267179110955002,0.0005828399431792743
similarity-trained Autoencoders,pearson,0.0,0.0,0.0,1.0,0.6775849579524755,0.00728455700947966,0.9097218891455553
Autoencoders with classifier,pearson,0.0,0.0,0.0,0.0,1.0,0.0013149446697132139,0.8501067391385259
TransCompR,pearson,0.0,0.0,0.0,0.0,0.0,1.0,0.00579535854433471
CPA-based Autoencoders,pearson,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DCS,spearman,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
DCS modified v1,spearman,0.0,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
DCS modified v2,spearman,0.0,0.0,1.0,0.0005828399431792743,0.0005828399431792743,0.00018267179110955002,0.0007685389131627665
similarity-trained Autoencoders,spearman,0.0,0.0,0.0,1.0,0.7913367801006604,0.014019277113959953,0.8501067391385259
Autoencoders with classifier,spearman,0.0,0.0,0.0,0.0,1.0,0.00728455700947966,0.7913367801006604
TransCompR,spearman,0.0,0.0,0.0,0.0,0.0,1.0,0.004586392080253494
CPA-based Autoencoders,spearman,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DCS,sign accuracy,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
DCS modified v1,sign accuracy,0.0,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
DCS modified v2,sign accuracy,0.0,0.0,1.0,0.0017062493689195964,0.0007685389131627665,0.00018267179110955002,0.0007685389131627665
similarity-trained Autoencoders,sign accuracy,0.0,0.0,0.0,1.0,0.9097218891455553,0.031209012771740218,0.7337299956962472
Autoencoders with classifier,sign accuracy,0.0,0.0,0.0,0.0,1.0,0.014019277113959953,0.7337299956962472
TransCompR,sign accuracy,0.0,0.0,0.0,0.0,0.0,1.0,0.0211339281291611
CPA-based Autoencoders,sign accuracy,0.0,0.0,0.0,0.0,0.0,0.0,1.0
