,metric,DCS,DCS modified v1,DCS modified v2,similarity-trained Autoencoders,Autoencoders with classifier,TransCompR,CPA-based Autoencoders
DCS,pearson,1.0,0.0036105143123296027,0.00032983852077799353,0.00018267179110955002,0.00024612812790522973,0.0005828399431792743,0.00043963875262656454
DCS modified v1,pearson,0.0,1.0,0.21229383619233155,0.12122450301291662,0.12122450301291662,0.3846730627355087,0.24132159301718004
DCS modified v2,pearson,0.0,0.0,1.0,0.7337299956962472,0.7337299956962472,0.5707503880581739,0.9097218891455553
similarity-trained Autoencoders,pearson,0.0,0.0,0.0,1.0,0.8501067391385259,0.27303633975118835,0.6775849579524755
Autoencoders with classifier,pearson,0.0,0.0,0.0,0.0,1.0,0.3846730627355087,0.6231762238821174
TransCompR,pearson,0.0,0.0,0.0,0.0,0.0,1.0,0.6231762238821174
CPA-based Autoencoders,pearson,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DCS,spearman,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
DCS modified v1,spearman,0.0,1.0,0.00018267179110955002,0.017257456083119765,0.0017062493689195964,0.0005828399431792743,0.0005828399431792743
DCS modified v2,spearman,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
similarity-trained Autoencoders,spearman,0.0,0.0,0.0,1.0,0.9698499769931556,0.16197241048012612,0.24132159301718004
Autoencoders with classifier,spearman,0.0,0.0,0.0,0.0,1.0,0.18587673236587576,0.21229383619233155
TransCompR,spearman,0.0,0.0,0.0,0.0,0.0,1.0,0.9698499769931556
CPA-based Autoencoders,spearman,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DCS,sign accuracy,1.0,0.00018165114609146497,0.00018165114609146497,0.00018165114609146497,0.00018165114609146497,0.00018165114609146497,0.0001806347208075351
DCS modified v1,sign accuracy,0.0,1.0,0.00018267179110955002,0.017257456083119765,0.011329696684474665,0.00032983852077799353,0.0028169056281937455
DCS modified v2,sign accuracy,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018165114609146497
similarity-trained Autoencoders,sign accuracy,0.0,0.0,0.0,1.0,0.7337299956962472,0.0036105143123296027,0.42718148600680117
Autoencoders with classifier,sign accuracy,0.0,0.0,0.0,0.0,1.0,0.0022022199424970783,0.24114462621608423
TransCompR,sign accuracy,0.0,0.0,0.0,0.0,0.0,1.0,0.02108547103525801
CPA-based Autoencoders,sign accuracy,0.0,0.0,0.0,0.0,0.0,0.0,1.0
