,metric,DCS,DCS modified v1,DCS modified v2,similarity-trained Autoencoders,direct translation,FIT,TransCompR,Autoencoders with classifier,CPA-based Autoencoders
DCS,pearson,1.0,0.0036105143123296027,0.00032983852077799353,0.00018267179110955002,0.08897301170181328,0.053902557169387175,0.0005828399431792743,0.00024612812790522973,0.00043963875262656454
DCS modified v1,pearson,0.0,1.0,0.21229383619233155,0.12122450301291662,0.00043963875262656454,0.08897301170181328,0.3846730627355087,0.12122450301291662,0.24132159301718004
DCS modified v2,pearson,0.0,0.0,1.0,0.7337299956962472,0.00018267179110955002,0.0013149446697132139,0.5707503880581739,0.7337299956962472,0.9097218891455553
similarity-trained Autoencoders,pearson,0.0,0.0,0.0,1.0,0.00018267179110955002,0.0005828399431792743,0.27303633975118835,0.8501067391385259,0.6775849579524755
direct translation,pearson,0.0,0.0,0.0,0.0,1.0,0.0010079762403767444,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
Autoencoders with classifier,pearson,0.0,0.0,0.0,0.0,0.0,0.0013149446697132139,0.3846730627355087,1.0,0.6231762238821174
CPA-based Autoencoders,pearson,0.0,0.0,0.0,0.0,0.0,0.0017062493689195964,0.6231762238821174,0.0,1.0
FIT,pearson,0.0,0.0,0.0,0.0,0.0,1.0,0.004586392080253494,0.0,0.0
TransCompR,pearson,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
DCS,spearman,1.0,0.0036105143123296027,0.00024612812790522973,0.00024612812790522973,0.03763531378731424,0.00018267179110955002,0.0013149446697132139,0.00024612812790522973,0.0013149446697132139
DCS modified v1,spearman,0.0,1.0,0.18587673236587576,0.18587673236587576,0.00018267179110955002,0.00018267179110955002,1.0,0.21229383619233155,0.5205228832757727
DCS modified v2,spearman,0.0,0.0,1.0,0.9097218891455553,0.00018267179110955002,0.0010079762403767444,0.10410988966022681,0.9097218891455553,0.3846730627355087
similarity-trained Autoencoders,spearman,0.0,0.0,0.0,1.0,0.00018267179110955002,0.0007685389131627665,0.12122450301291662,0.9698499769931556,0.47267559351158717
direct translation,spearman,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
Autoencoders with classifier,spearman,0.0,0.0,0.0,0.0,0.0,0.00032983852077799353,0.18587673236587576,1.0,0.5205228832757727
CPA-based Autoencoders,spearman,0.0,0.0,0.0,0.0,0.0,0.00032983852077799353,0.3074894566186813,0.0,1.0
FIT,spearman,0.0,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002,0.0,0.0
TransCompR,spearman,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
DCS,sign accuracy,1.0,0.00579535854433471,0.00024612812790522973,0.00024612812790522973,0.06402210128302689,0.00018267179110955002,0.0013149446697132139,0.0005828399431792743,0.0013149446697132139
DCS modified v1,sign accuracy,0.0,1.0,0.08897301170181328,0.07566157214388704,0.00032983852077799353,0.00018267179110955002,0.9698499769931556,0.10410988966022681,0.24132159301718004
DCS modified v2,sign accuracy,0.0,0.0,1.0,0.9097218891455553,0.00018267179110955002,0.00018267179110955002,0.07566157214388704,0.9698499769931556,0.5707503880581739
similarity-trained Autoencoders,sign accuracy,0.0,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002,0.04515456962427901,1.0,0.47267559351158717
direct translation,sign accuracy,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002,0.00024612812790522973,0.00018267179110955002,0.00024612812790522973
Autoencoders with classifier,sign accuracy,0.0,0.0,0.0,0.0,0.0,0.00018267179110955002,0.12122450301291662,1.0,0.47267559351158717
CPA-based Autoencoders,sign accuracy,0.0,0.0,0.0,0.0,0.0,0.00018267179110955002,0.12122450301291662,0.0,1.0
FIT,sign accuracy,0.0,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002,0.0,0.0
TransCompR,sign accuracy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
