,metric,DCS,DCS modified v1,DCS modified v2,similarity-trained Autoencoders,direct translation,FIT,TransCompR,Autoencoders with classifier,CPA-based Autoencoders
DCS,pearson,1.0,0.0022022199424970783,0.00018267179110955002,0.00018267179110955002,0.07566157214388704,0.031209012771740218,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
DCS modified v1,pearson,0.0,1.0,0.04515456962427901,0.025748080821108063,0.00018267179110955002,0.03763531378731424,0.18587673236587576,0.031209012771740218,0.03763531378731424
DCS modified v2,pearson,0.0,0.0,1.0,0.6231762238821174,0.00018267179110955002,0.00018267179110955002,0.3846730627355087,0.7337299956962472,0.9097218891455553
similarity-trained Autoencoders,pearson,0.0,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002,0.21229383619233155,0.5205228832757727,0.47267559351158717
direct translation,pearson,0.0,0.0,0.0,0.0,1.0,0.0005828399431792743,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
Autoencoders with classifier,pearson,0.0,0.0,0.0,0.0,0.0,0.00018267179110955002,0.3074894566186813,1.0,0.7337299956962472
FIT,pearson,0.0,0.0,0.0,0.0,0.0,1.0,0.00024612812790522973,0.0,0.00018267179110955002
TransCompR,pearson,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4273553138978077
CPA-based Autoencoders,pearson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DCS,spearman,1.0,0.0010079762403767444,0.00018267179110955002,0.00018267179110955002,0.031209012771740218,0.00018267179110955002,0.00043963875262656454,0.00018267179110955002,0.00024612812790522973
DCS modified v1,spearman,0.0,1.0,0.18587673236587576,0.21229383619233155,0.00018267179110955002,0.00024612812790522973,0.9097218891455553,0.24132159301718004,0.3846730627355087
DCS modified v2,spearman,0.0,0.0,1.0,0.8501067391385259,0.00018267179110955002,0.017257456083119765,0.16197241048012612,0.7913367801006604,0.47267559351158717
similarity-trained Autoencoders,spearman,0.0,0.0,0.0,1.0,0.00018267179110955002,0.025748080821108063,0.16197241048012612,0.9097218891455553,0.4273553138978077
direct translation,spearman,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
Autoencoders with classifier,spearman,0.0,0.0,0.0,0.0,0.0,0.014019277113959953,0.21229383619233155,1.0,0.6775849579524755
FIT,spearman,0.0,0.0,0.0,0.0,0.0,1.0,0.00024612812790522973,0.0,0.00579535854433471
TransCompR,spearman,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.47267559351158717
CPA-based Autoencoders,spearman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DCS,sign accuracy,1.0,0.0036105143123296027,0.00024612812790522973,0.00018267179110955002,0.04515456962427901,0.00018267179110955002,0.0010079762403767444,0.00024612812790522973,0.0005828399431792743
DCS modified v1,sign accuracy,0.0,1.0,0.14046504815835495,0.14046504815835495,0.00024612812790522973,0.00018267179110955002,0.9698499769931556,0.3074894566186813,0.27303633975118835
DCS modified v2,sign accuracy,0.0,0.0,1.0,1.0,0.00018267179110955002,0.00018267179110955002,0.07566157214388704,0.8501067391385259,0.5205228832757727
similarity-trained Autoencoders,sign accuracy,0.0,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002,0.12122450301291662,0.9097218891455553,0.5707503880581739
direct translation,sign accuracy,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002,0.00024612812790522973,0.00018267179110955002,0.00018267179110955002
Autoencoders with classifier,sign accuracy,0.0,0.0,0.0,0.0,0.0,0.00018267179110955002,0.14046504815835495,1.0,0.6775849579524755
FIT,sign accuracy,0.0,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002,0.0,0.00018267179110955002
TransCompR,sign accuracy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.24132159301718004
CPA-based Autoencoders,sign accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
