,sig_id,conditionId,cell_iname
0,PCL001_HT29_24H:BRD-K42991516:10,BRD-K42991516_10 uM_24 h,HT29
1,HOG002_A549_24H:BRD-K28296557-005-14-6:3.33,BRD-K28296557_3.33 uM_24 h,A549
2,DOSBIO001_MCF7_24H:BRD-K77888550:9.5278,BRD-K77888550_10 uM_24 h,MCF7
3,CEGS001_NPC.177_24H:O06,AZD-8055_0.3 uM_24 h,NPC
4,CVD001_HEPG2_6H:BRD-K03652504-001-01-9:10.0497,BRD-K03652504_10 uM_6 h,HEPG2
5,AML001_HL60_6H:BRD-K19706299:1.11111,MRE-269_1.11 uM_6 h,HL60
6,AML001_CD34_6H:BRD-A19037878:1.11111,BRD-A19037878_1.11 uM_6 h,CD34
7,CPD003_MCF7_24H:M21,luteolin_10 uM_24 h,MCF7
8,CVD001_HEPG2_6H:BRD-K41431477-001-05-6:2.5,A-23187_2.5 uM_6 h,HEPG2
9,DOSBIO001_A375_24H:BRD-K72343629:10.1316,BRD-K72343629_10 uM_24 h,A375
10,CPD001_PC3_24H:BRD-K47407372-001-11-4:10,nifenazone_10 uM_24 h,PC3
11,CVD001_HEPG2_6H:BRD-A37828317-001-03-0:10,anthothecol_10 uM_6 h,HEPG2
12,CVD001_HUH7_24H:BRD-K08316444-001-04-3:0.625,rotenone_0.66 uM_24 h,HUH7
13,DOSBIO001_PC3_24H:BRD-K60391168:10.1841,BRD-K60391168_10 uM_24 h,PC3
14,DOSBIO001_PC3_24H:BRD-K08317416:10.1576,BRD-K08317416_10 uM_24 h,PC3
15,DOSBIO002_MCF7_24H:BRD-K31380618:10.0743,BRD-K31380618_10 uM_24 h,MCF7
16,CEGS001_NPC.179_24H:J03,citalopram_6.66 uM_24 h,NPC
17,NMH001_NPC_6H:BRD-K83836748-001-01-7:10,BRD-K83836748_10 uM_6 h,NPC
18,NMH002_NPC_24H:BRD-K45528773-001-04-9:10,M-344_10 uM_24 h,NPC
19,LPROT004_YAPC_6H:BRD-K16189898:2,CHIR-99021_2.22 uM_6 h,YAPC
20,PCL001_HEPG2_24H:BRD-K45962729:10,BRD-K45962729_10 uM_24 h,HEPG2
21,CPD001_PC3_24H:BRD-A41020680-003-24-9:10,minocycline_10 uM_24 h,PC3
22,CVD001_HEPG2_24H:BRD-K37312348-001-05-1:3.825,kenpaullone_4 uM_24 h,HEPG2
23,DOSBIO002_A375_24H:BRD-K22052171:9.97874,BRD-K22052171_10 uM_24 h,A375
24,LRS001_PHH.MGH_24H:P11,LY-294002_3.33 uM_24 h,PHH
25,ABY001_NCIH508_XH:BRD-K70511574:10:24,HMN-214_10 uM_24 h,NCIH508
26,AML001_PC3_6H:BRD-A73513677:1.11111,BRD-A73513677_1.11 uM_6 h,PC3
27,MOA001_U2OS_24H:I09,BRD-K15107389_10 uM_24 h,U2OS
28,PCL001_HEPG2_24H:BRD-A18497530:1.11,5-iodotubercidin_1.11 uM_24 h,HEPG2
29,HOG001_A549_6H:BRD-K03618428-001-01-3:11.1,PP-110_12 uM_6 h,A549
30,DOSBIO002_A375_24H:BRD-K25379780:10.5212,BRD-K25379780_10 uM_24 h,A375
31,CPD001_MCF7_24H:BRD-K03319035-003-14-2:10,maprotiline_10 uM_24 h,MCF7
32,CVD001_PHH_6H:BRD-K94512704-001-01-3:10,spiramide_10 uM_6 h,PHH
33,DOSBIO001_NPC_24H:BRD-K28431278:10.0047,BRD-K28431278_10 uM_24 h,NPC
34,DOSBIO002_A375_24H:BRD-K87125912:9.98177,BRD-K87125912_10 uM_24 h,A375
35,DOSBIO002_MCF7_24H:BRD-K95285735:10.6834,BRD-K95285735_10 uM_24 h,MCF7
36,NMH002_NPC_6H:BRD-K54729176-001-01-0:10,BRD-K54729176_10 uM_6 h,NPC
37,CPD001_PC3_24H:BRD-K86858124-001-01-2:10,paclitaxel_10 uM_24 h,PC3
38,CPD002_PC3_24H:BRD-A98175426-001-01-4:10,betaescin_10 uM_24 h,PC3
39,LPROT004_MCF7_6H:BRD-A36536537:5.5,BRD-A36536537_6.66 uM_6 h,MCF7
40,LPROT004_YAPC_6H:BRD-A67788537:10,salermide_10 uM_6 h,YAPC
41,DOSBIO002_MCF7_24H:BRD-K88373420:10.2049,BRD-K88373420_10 uM_24 h,MCF7
42,DOSBIO001_A549_24H:BRD-K77888550:9.5278,BRD-K77888550_10 uM_24 h,A549
43,CVD001_HEPG2_6H:BRD-K82987299-003-01-8:2.5,BRD-K82987299_2.5 uM_6 h,HEPG2
44,KMS002_NOMO1_24H:I04,BRD-K49010888_3.33 uM_24 h,NOMO1
45,TSAI002_NPC-2_XH:SAHA:2.5,saha_2.5 uM_,NPC
46,PCL001_HEPG2_24H:BRD-A76641868:20,BRD-A76641868_20 uM_24 h,HEPG2
47,DOSBIO001_NPC_24H:BRD-K69894866:9.93102,BRD-K69894866_10 uM_24 h,NPC
48,DOSBIO001_NPC_24H:BRD-K65526065:10.057,BRD-K65526065_10 uM_24 h,NPC
49,DOSBIO001_A375_24H:BRD-K70900504:10.0464,BRD-K70900504_10 uM_24 h,A375
