fold,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,F1,Accuracy,model,set,cell,iteration
0,0.685276210308075,0.693469405174255,0.752274096012116,0.757063448429108,1,1,AutoTransOp v2,validation,PC3,0
1,0.688580870628357,0.703002095222473,0.755505502223969,0.765508115291596,1,1,AutoTransOp v2,validation,PC3,0
2,0.696254193782806,0.705501794815064,0.759413480758667,0.765104651451111,1,1,AutoTransOp v2,validation,PC3,0
3,0.670871615409851,0.685554325580597,0.74199253320694,0.751990556716919,1,1,AutoTransOp v2,validation,PC3,0
4,0.699376702308655,0.704818725585938,0.767265915870667,0.772093951702118,1,1,AutoTransOp v2,validation,PC3,0
0,0.693744897842407,0.684815406799316,0.759602248668671,0.754401803016663,1,1,AutoTransOp v2,validation,PC3,1
1,0.698144912719727,0.690719485282898,0.76282012462616,0.758811116218567,1,1,AutoTransOp v2,validation,PC3,1
2,0.703394949436188,0.695577502250671,0.766063153743744,0.758887887001038,1,1,AutoTransOp v2,validation,PC3,1
3,0.673300743103027,0.668298363685608,0.74614280462265,0.743675172328949,1,1,AutoTransOp v2,validation,PC3,1
4,0.707114458084106,0.703006267547607,0.76897144317627,0.765806198120117,1,1,AutoTransOp v2,validation,PC3,1
0,0.698864758014679,0.681832849979401,0.76183295249939,0.751611888408661,1,1,AutoTransOp v2,validation,PC3,2
1,0.703185439109802,0.692924976348877,0.763195335865021,0.757629811763763,1,1,AutoTransOp v2,validation,PC3,2
2,0.706830084323883,0.693816184997559,0.76602429151535,0.758441507816315,1,1,AutoTransOp v2,validation,PC3,2
3,0.684435248374939,0.668702840805054,0.751805007457733,0.738027215003967,1,1,AutoTransOp v2,validation,PC3,2
4,0.70753026008606,0.695875525474548,0.772506833076477,0.761868119239807,1,1,AutoTransOp v2,validation,PC3,2
0,0.68959778547287,0.685420155525208,0.758039176464081,0.755252122879028,1,1,AutoTransOp v2,validation,PC3,3
1,0.6954385638237,0.696407556533814,0.762373328208923,0.760374784469605,1,1,AutoTransOp v2,validation,PC3,3
2,0.698568046092987,0.700686573982239,0.76081657409668,0.761670291423798,1,1,AutoTransOp v2,validation,PC3,3
3,0.682884931564331,0.679193675518036,0.748562157154083,0.746106803417206,1,1,AutoTransOp v2,validation,PC3,3
4,0.703364372253418,0.702089786529541,0.771987855434418,0.768391907215118,1,1,AutoTransOp v2,validation,PC3,3
0,0.69264155626297,0.693635702133179,0.754418253898621,0.756106495857239,1,1,AutoTransOp v2,validation,PC3,4
1,0.688803195953369,0.697051882743835,0.7554811835289,0.762545168399811,1,1,AutoTransOp v2,validation,PC3,4
