,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,F1,Accuracy,model,set,cell,iteration
0,0.7098274827003479,0.7072567343711853,0.7776641249656677,0.7745925188064575,1.0,1.0,model,validation,A375,0
1,0.6896483302116394,0.6838912963867188,0.7560655474662781,0.7514172792434692,1.0,1.0,model,validation,A375,0
2,0.7080171704292297,0.702000081539154,0.7776917219161987,0.7702052593231201,1.0,1.0,model,validation,A375,0
3,0.6825831532478333,0.6750696301460266,0.7578192949295044,0.7507073283195496,1.0,1.0,model,validation,A375,0
4,0.6857047080993652,0.6877235770225525,0.7620009183883667,0.7571025490760803,1.0,1.0,model,validation,A375,0
0,0.7004786133766174,0.7129331827163696,0.7688836455345154,0.782118558883667,1.0,1.0,model,validation,A375,1
1,0.6826158165931702,0.6925041675567627,0.7515029907226562,0.7575055360794067,1.0,1.0,model,validation,A375,1
2,0.6967722177505493,0.70651775598526,0.7682775855064392,0.7781798839569092,1.0,1.0,model,validation,A375,1
3,0.6735423803329468,0.6843448877334595,0.750097393989563,0.7567316889762878,1.0,1.0,model,validation,A375,1
4,0.6786020398139954,0.693274736404419,0.7559964656829834,0.7666013240814209,1.0,1.0,model,validation,A375,1
0,0.7100809812545776,0.7086508274078369,0.7791474461555481,0.7729899883270264,1.0,1.0,model,validation,A375,2
1,0.6867152452468872,0.6886646151542664,0.7546893358230591,0.7576345801353455,1.0,1.0,model,validation,A375,2
2,0.7060093879699707,0.7036124467849731,0.7743304967880249,0.7727572321891785,1.0,1.0,model,validation,A375,2
3,0.6718843579292297,0.6760165095329285,0.751824676990509,0.7545198798179626,1.0,1.0,model,validation,A375,2
4,0.6829748153686523,0.6881815791130066,0.7580441832542419,0.7622057795524597,1.0,1.0,model,validation,A375,2
0,0.706933856010437,0.7083608508110046,0.7751295566558838,0.7767587304115295,1.0,1.0,model,validation,A375,3
1,0.6870909333229065,0.689324676990509,0.7513023018836975,0.7539728283882141,1.0,1.0,model,validation,A375,3
2,0.6993165612220764,0.7032345533370972,0.7731005549430847,0.7725352644920349,1.0,1.0,model,validation,A375,3
3,0.6770418286323547,0.6806209683418274,0.7520973682403564,0.7536022067070007,1.0,1.0,model,validation,A375,3
4,0.6802186369895935,0.6867660880088806,0.7577055096626282,0.7630616426467896,1.0,1.0,model,validation,A375,3
0,0.7166999578475952,0.7064229249954224,0.7795369029045105,0.7717540860176086,1.0,1.0,model,validation,A375,4
1,0.6898529529571533,0.6855039596557617,0.75607830286026,0.7535542249679565,1.0,1.0,model,validation,A375,4
2,0.7091240286827087,0.6954168081283569,0.7777712345123291,0.7683091759681702,1.0,1.0,model,validation,A375,4
3,0.6788685917854309,0.6723694801330566,0.7548125386238098,0.7521274089813232,1.0,1.0,model,validation,A375,4
4,0.6900851726531982,0.6814684867858887,0.7642198204994202,0.7594062685966492,1.0,1.0,model,validation,A375,4
