,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,F1,Accuracy,model,set,cell,iteration
0,0.4072469472885132,0.3950467109680176,0.7335034608840942,0.7391527891159058,1.0,1.0,model,validation,ASC,0
1,0.4069287180900574,0.35797426104545593,0.7087805271148682,0.7115715146064758,1.0,1.0,model,validation,ASC,0
2,0.27361181378364563,0.4017624855041504,0.6555113792419434,0.6675563454627991,1.0,1.0,model,validation,ASC,0
3,0.4043501019477844,0.42281779646873474,0.6807668209075928,0.6891888976097107,1.0,1.0,model,validation,ASC,0
4,0.4466850459575653,0.3584664762020111,0.7008486986160278,0.7032510638237,1.0,1.0,model,validation,ASC,0
0,0.38847824931144714,0.3145138919353485,0.7412615418434143,0.725962221622467,1.0,1.0,model,validation,ASC,1
1,0.4410950243473053,0.4222903847694397,0.7163786888122559,0.7071680426597595,1.0,1.0,model,validation,ASC,1
2,0.3716007173061371,0.34466710686683655,0.6597471833229065,0.6527541875839233,1.0,1.0,model,validation,ASC,1
3,0.45910125970840454,0.36809346079826355,0.689671516418457,0.6809366345405579,1.0,1.0,model,validation,ASC,1
4,0.451383501291275,0.3426521122455597,0.7102439999580383,0.6948366761207581,1.0,1.0,model,validation,ASC,1
0,0.3393361270427704,0.3912844955921173,0.7327596545219421,0.7348902225494385,1.0,1.0,model,validation,ASC,2
1,0.49931755661964417,0.5122075080871582,0.7112418413162231,0.7150202393531799,1.0,1.0,model,validation,ASC,2
2,0.39113447070121765,0.3333097994327545,0.674211859703064,0.6525300741195679,1.0,1.0,model,validation,ASC,2
3,0.3996502757072449,0.3922642767429352,0.680128812789917,0.6876680254936218,1.0,1.0,model,validation,ASC,2
4,0.33915069699287415,0.4229985177516937,0.6996698975563049,0.704425036907196,1.0,1.0,model,validation,ASC,2
0,0.4690479338169098,0.47780781984329224,0.7356204390525818,0.7428016662597656,1.0,1.0,model,validation,ASC,3
1,0.44073042273521423,0.4681675434112549,0.7076231241226196,0.7175459861755371,1.0,1.0,model,validation,ASC,3
2,0.41183552145957947,0.4137955904006958,0.6612552404403687,0.6703789234161377,1.0,1.0,model,validation,ASC,3
3,0.40997907519340515,0.38370051980018616,0.678124189376831,0.6944112181663513,1.0,1.0,model,validation,ASC,3
4,0.4042041599750519,0.39472275972366333,0.6940784454345703,0.7089709043502808,1.0,1.0,model,validation,ASC,3
0,0.3906377851963043,0.4963007867336273,0.741877555847168,0.73232501745224,1.0,1.0,model,validation,ASC,4
1,0.39771565794944763,0.46807485818862915,0.7047539353370667,0.7164774537086487,1.0,1.0,model,validation,ASC,4
2,0.3791804015636444,0.37262195348739624,0.6638574004173279,0.665329098701477,1.0,1.0,model,validation,ASC,4
3,0.3129555284976959,0.3386370837688446,0.6873177289962769,0.6850329041481018,1.0,1.0,model,validation,ASC,4
4,0.3596453368663788,0.3799930512905121,0.701331377029419,0.696351170539856,1.0,1.0,model,validation,ASC,4
