,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,F1,Accuracy,model,set,cell,iteration
0,0.38644060492515564,0.3328982889652252,0.6821873188018799,0.6745994687080383,1.0,1.0,model,validation,NPC,0
1,0.3709777891635895,0.37322431802749634,0.7040141224861145,0.693185031414032,1.0,1.0,model,validation,NPC,0
2,0.43982911109924316,0.38611406087875366,0.7166712880134583,0.7089710235595703,1.0,1.0,model,validation,NPC,0
3,0.328641414642334,0.22126536071300507,0.7180781364440918,0.7094508409500122,1.0,1.0,model,validation,NPC,0
4,0.30026406049728394,0.3068012595176697,0.7041576504707336,0.697102427482605,1.0,1.0,model,validation,NPC,0
0,0.2901472747325897,0.2874273359775543,0.6752759218215942,0.6815111637115479,1.0,1.0,model,validation,NPC,1
1,0.32897111773490906,0.3448956310749054,0.6961909532546997,0.7077779173851013,1.0,1.0,model,validation,NPC,1
2,0.38008052110671997,0.3740849494934082,0.7082013487815857,0.7182698249816895,1.0,1.0,model,validation,NPC,1
3,0.3758518695831299,0.25532734394073486,0.7122927308082581,0.7161756753921509,1.0,1.0,model,validation,NPC,1
4,0.41796502470970154,0.43217429518699646,0.6976782083511353,0.7026560306549072,1.0,1.0,model,validation,NPC,1
0,0.41943246126174927,0.3789846897125244,0.6831513047218323,0.6711399555206299,1.0,1.0,model,validation,NPC,2
1,0.42972418665885925,0.36644646525382996,0.7105154991149902,0.6880027651786804,1.0,1.0,model,validation,NPC,2
2,0.3963800072669983,0.386197566986084,0.7186594009399414,0.7021259665489197,1.0,1.0,model,validation,NPC,2
3,0.32702091336250305,0.32275936007499695,0.7166022062301636,0.7090003490447998,1.0,1.0,model,validation,NPC,2
4,0.3775773346424103,0.3594483733177185,0.7069071531295776,0.6964379549026489,1.0,1.0,model,validation,NPC,2
0,0.3288308382034302,0.3746204078197479,0.679381787776947,0.674579381942749,1.0,1.0,model,validation,NPC,3
1,0.4561328887939453,0.3862484395503998,0.7068043351173401,0.6998766660690308,1.0,1.0,model,validation,NPC,3
2,0.41719481348991394,0.3680170476436615,0.7135646939277649,0.7070351839065552,1.0,1.0,model,validation,NPC,3
3,0.35692963004112244,0.41499263048171997,0.7122299671173096,0.7093256115913391,1.0,1.0,model,validation,NPC,3
4,0.3064529001712799,0.37728458642959595,0.700836181640625,0.6973057985305786,1.0,1.0,model,validation,NPC,3
0,0.3411168158054352,0.33803415298461914,0.6712336540222168,0.6770286560058594,1.0,1.0,model,validation,NPC,4
1,0.3939228653907776,0.4265781342983246,0.6970391869544983,0.7098155617713928,1.0,1.0,model,validation,NPC,4
2,0.37217262387275696,0.3857683837413788,0.7028199434280396,0.7176111340522766,1.0,1.0,model,validation,NPC,4
3,0.39504072070121765,0.4157058596611023,0.7098066210746765,0.7184584140777588,1.0,1.0,model,validation,NPC,4
4,0.2955479323863983,0.42662397027015686,0.6994435787200928,0.7017830610275269,1.0,1.0,model,validation,NPC,4
0,0.5435188412666321,0.5502493977546692,0.7472726106643677,0.7479291558265686,1.0,1.0,model,validation,HEPG2,0
1,0.5314390063285828,0.5148878693580627,0.7285341024398804,0.7258418202400208,1.0,1.0,model,validation,HEPG2,0
2,0.5710863471031189,0.559092104434967,0.7435835003852844,0.7408334612846375,1.0,1.0,model,validation,HEPG2,0
3,0.5541241765022278,0.5715609192848206,0.7391493320465088,0.7414008378982544,1.0,1.0,model,validation,HEPG2,0
4,0.5341635346412659,0.559535026550293,0.7363040447235107,0.7355279922485352,1.0,1.0,model,validation,HEPG2,0
0,0.5357314944267273,0.5541081428527832,0.7415371537208557,0.7535997629165649,1.0,1.0,model,validation,HEPG2,1
1,0.5524823665618896,0.5468941926956177,0.7225873470306396,0.7350319027900696,1.0,1.0,model,validation,HEPG2,1
2,0.5583963990211487,0.5750005841255188,0.7374268770217896,0.7475001215934753,1.0,1.0,model,validation,HEPG2,1
3,0.5808296799659729,0.5867108106613159,0.7383935451507568,0.7463549971580505,1.0,1.0,model,validation,HEPG2,1
4,0.544096827507019,0.5482701659202576,0.7338528037071228,0.737180769443512,1.0,1.0,model,validation,HEPG2,1
0,0.5625226497650146,0.5751765966415405,0.7444014549255371,0.7512432336807251,1.0,1.0,model,validation,HEPG2,2
1,0.5478638410568237,0.5485805869102478,0.7253444790840149,0.7322749495506287,1.0,1.0,model,validation,HEPG2,2
2,0.5467123985290527,0.5504525303840637,0.7379224896430969,0.7428550720214844,1.0,1.0,model,validation,HEPG2,2
3,0.5549870729446411,0.5640233755111694,0.7352871298789978,0.7414090037345886,1.0,1.0,model,validation,HEPG2,2
4,0.5477811694145203,0.5261587500572205,0.7355191111564636,0.7371612787246704,1.0,1.0,model,validation,HEPG2,2
0,0.5579490065574646,0.5559066534042358,0.7480469346046448,0.7461870908737183,1.0,1.0,model,validation,HEPG2,3
1,0.5193027257919312,0.5136846899986267,0.7316858172416687,0.7234967947006226,1.0,1.0,model,validation,HEPG2,3
2,0.5810748934745789,0.5765252113342285,0.7421557903289795,0.7418894171714783,1.0,1.0,model,validation,HEPG2,3
3,0.5461022853851318,0.5558642148971558,0.7400316596031189,0.7384724617004395,1.0,1.0,model,validation,HEPG2,3
4,0.5688793659210205,0.5667576193809509,0.7367041707038879,0.7351434826850891,1.0,1.0,model,validation,HEPG2,3
0,0.5778120756149292,0.5996332168579102,0.7422839403152466,0.7555054426193237,1.0,1.0,model,validation,HEPG2,4
1,0.5307817459106445,0.5257495641708374,0.7235915660858154,0.734751284122467,1.0,1.0,model,validation,HEPG2,4
2,0.5636129975318909,0.5842767953872681,0.7356109023094177,0.7516811490058899,1.0,1.0,model,validation,HEPG2,4
3,0.5618641972541809,0.5896701216697693,0.736871063709259,0.7477396726608276,1.0,1.0,model,validation,HEPG2,4
4,0.5492064356803894,0.5618045330047607,0.7265003323554993,0.7438135743141174,1.0,1.0,model,validation,HEPG2,4
