,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,F1,Accuracy,model,set,cell,iteration
0,0.7199136018753052,0.7165446877479553,0.7725059986114502,0.7700430154800415,1.0,1.0,model,validation,HT29,0
1,0.7182108759880066,0.7149391770362854,0.7712697386741638,0.7665243744850159,1.0,1.0,model,validation,HT29,0
2,0.7113823294639587,0.7101160883903503,0.7666736245155334,0.7649040222167969,1.0,1.0,model,validation,HT29,0
3,0.7168818712234497,0.7205444574356079,0.7732807397842407,0.7713488936424255,1.0,1.0,model,validation,HT29,0
4,0.7151670455932617,0.7158764004707336,0.7719500660896301,0.7662715911865234,1.0,1.0,model,validation,HT29,0
0,0.7251850366592407,0.7105554342269897,0.7731258273124695,0.7659226059913635,1.0,1.0,model,validation,HT29,1
1,0.722671389579773,0.7125775218009949,0.7725495100021362,0.7652614116668701,1.0,1.0,model,validation,HT29,1
2,0.7166591882705688,0.7029866576194763,0.7687199115753174,0.7583511471748352,1.0,1.0,model,validation,HT29,1
3,0.7280515432357788,0.7175294756889343,0.7750474810600281,0.7704772353172302,1.0,1.0,model,validation,HT29,1
4,0.7222106456756592,0.7114866971969604,0.775966465473175,0.76698899269104,1.0,1.0,model,validation,HT29,1
0,0.7148258090019226,0.7171067595481873,0.7690571546554565,0.7701484560966492,1.0,1.0,model,validation,HT29,2
1,0.7141990065574646,0.7200082540512085,0.7673330903053284,0.7709452509880066,1.0,1.0,model,validation,HT29,2
2,0.707883358001709,0.7133872509002686,0.7630435228347778,0.7663882970809937,1.0,1.0,model,validation,HT29,2
3,0.7185220122337341,0.7211681604385376,0.7722911238670349,0.7739053964614868,1.0,1.0,model,validation,HT29,2
4,0.7190811634063721,0.717551052570343,0.7738252878189087,0.7696096301078796,1.0,1.0,model,validation,HT29,2
0,0.7205684781074524,0.7159771919250488,0.7716029286384583,0.7691632509231567,1.0,1.0,model,validation,HT29,3
1,0.718928873538971,0.7136853337287903,0.7697122693061829,0.76720130443573,1.0,1.0,model,validation,HT29,3
2,0.7149340510368347,0.7093106508255005,0.7641361951828003,0.7655986547470093,1.0,1.0,model,validation,HT29,3
3,0.7241044044494629,0.7184562087059021,0.7730088829994202,0.7711643576622009,1.0,1.0,model,validation,HT29,3
4,0.7189096212387085,0.7169654965400696,0.7698079347610474,0.7704581022262573,1.0,1.0,model,validation,HT29,3
0,0.7248139381408691,0.7095034718513489,0.7768886089324951,0.7645537853240967,1.0,1.0,model,validation,HT29,4
1,0.7220131158828735,0.7100154757499695,0.7744562029838562,0.7635377049446106,1.0,1.0,model,validation,HT29,4
2,0.712353527545929,0.707233190536499,0.7671824097633362,0.7615782022476196,1.0,1.0,model,validation,HT29,4
3,0.7229902744293213,0.7126609683036804,0.7761021256446838,0.7667404413223267,1.0,1.0,model,validation,HT29,4
4,0.7214701175689697,0.7078553438186646,0.7757532000541687,0.7638807892799377,1.0,1.0,model,validation,HT29,4
