,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,F1,Accuracy,model,set,cell,iteration
0,0.504827082157135,0.5088842511177063,0.6149491667747498,0.6211261749267578,1.0,1.0,model,validation,HUVEC,0
1,0.549842357635498,0.5264922380447388,0.6474488377571106,0.6392064690589905,1.0,1.0,model,validation,HUVEC,0
2,0.5539884567260742,0.5579562783241272,0.6313225626945496,0.6406790018081665,1.0,1.0,model,validation,HUVEC,0
3,0.5719047784805298,0.5636143684387207,0.6631975173950195,0.6642298698425293,1.0,1.0,model,validation,HUVEC,0
4,0.5835030674934387,0.5908334851264954,0.6704439520835876,0.661652147769928,1.0,1.0,model,validation,HUVEC,0
0,0.5247458219528198,0.5184483528137207,0.6226894855499268,0.6231412887573242,1.0,1.0,model,validation,HUVEC,1
1,0.5797645449638367,0.5663366913795471,0.644572377204895,0.6415890455245972,1.0,1.0,model,validation,HUVEC,1
2,0.555264949798584,0.5252345204353333,0.6443390250205994,0.6289124488830566,1.0,1.0,model,validation,HUVEC,1
3,0.5758655667304993,0.5739455223083496,0.6610003709793091,0.6667114496231079,1.0,1.0,model,validation,HUVEC,1
4,0.5668537616729736,0.5889581441879272,0.6592806577682495,0.6697116494178772,1.0,1.0,model,validation,HUVEC,1
0,0.5091277956962585,0.5182529091835022,0.6168875694274902,0.6159847378730774,1.0,1.0,model,validation,HUVEC,2
1,0.5645202398300171,0.5608761310577393,0.6357912421226501,0.6489259004592896,1.0,1.0,model,validation,HUVEC,2
2,0.5614240765571594,0.5695487260818481,0.6336192488670349,0.6383752822875977,1.0,1.0,model,validation,HUVEC,2
3,0.5833510160446167,0.5950233340263367,0.656765341758728,0.6739912629127502,1.0,1.0,model,validation,HUVEC,2
4,0.5631714463233948,0.6004195213317871,0.6566502451896667,0.6812174320220947,1.0,1.0,model,validation,HUVEC,2
0,0.5088096261024475,0.5100196599960327,0.6164267063140869,0.6289616823196411,1.0,1.0,model,validation,HUVEC,3
1,0.5737069845199585,0.5535242557525635,0.6483404040336609,0.6438146233558655,1.0,1.0,model,validation,HUVEC,3
2,0.5515505075454712,0.5468332767486572,0.638867974281311,0.6372990608215332,1.0,1.0,model,validation,HUVEC,3
3,0.5855376720428467,0.5825914144515991,0.6710190773010254,0.6596962809562683,1.0,1.0,model,validation,HUVEC,3
4,0.5890614986419678,0.5987411141395569,0.6636407375335693,0.6766948103904724,1.0,1.0,model,validation,HUVEC,3
0,0.5098202228546143,0.517957329750061,0.6165138483047485,0.6122148036956787,1.0,1.0,model,validation,HUVEC,4
1,0.5650060772895813,0.562434732913971,0.6452324986457825,0.6453226208686829,1.0,1.0,model,validation,HUVEC,4
2,0.5519894957542419,0.5450428128242493,0.6369103789329529,0.6319105625152588,1.0,1.0,model,validation,HUVEC,4
3,0.5872815847396851,0.5766522884368896,0.6684471368789673,0.6567613482475281,1.0,1.0,model,validation,HUVEC,4
4,0.5795470476150513,0.5811296701431274,0.6689555048942566,0.6659494042396545,1.0,1.0,model,validation,HUVEC,4
