,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,F1,Accuracy,model,set,cell,iteration
0,0.4504256546497345,0.448596328496933,0.7353634834289551,0.751397967338562,1.0,1.0,model,validation,MCF10A,0
1,0.37572282552719116,0.46781834959983826,0.7300794124603271,0.7412048578262329,1.0,1.0,model,validation,MCF10A,0
2,0.39034920930862427,0.4370642304420471,0.6799108982086182,0.6859126091003418,1.0,1.0,model,validation,MCF10A,0
3,0.3664425015449524,0.34997284412384033,0.682772159576416,0.6876745820045471,1.0,1.0,model,validation,MCF10A,0
4,0.46367815136909485,0.5278321504592896,0.7300043702125549,0.7318118810653687,1.0,1.0,model,validation,MCF10A,0
0,0.4241630733013153,0.4309464693069458,0.740736722946167,0.7444852590560913,1.0,1.0,model,validation,MCF10A,1
1,0.39186835289001465,0.4468598961830139,0.7351861596107483,0.7375693917274475,1.0,1.0,model,validation,MCF10A,1
2,0.384453147649765,0.40380480885505676,0.6855150461196899,0.6872247457504272,1.0,1.0,model,validation,MCF10A,1
3,0.3946743309497833,0.4060659110546112,0.6805855631828308,0.6891672611236572,1.0,1.0,model,validation,MCF10A,1
4,0.48190632462501526,0.4728541076183319,0.7311240434646606,0.7319774627685547,1.0,1.0,model,validation,MCF10A,1
0,0.45279210805892944,0.4516613483428955,0.7449238300323486,0.7361229062080383,1.0,1.0,model,validation,MCF10A,2
1,0.4925089180469513,0.49559587240219116,0.7345202565193176,0.7364513278007507,1.0,1.0,model,validation,MCF10A,2
2,0.34174513816833496,0.44501885771751404,0.6886953711509705,0.6868998408317566,1.0,1.0,model,validation,MCF10A,2
3,0.3272446393966675,0.2627212405204773,0.6889967322349548,0.6818690299987793,1.0,1.0,model,validation,MCF10A,2
4,0.42087942361831665,0.44504812359809875,0.735977828502655,0.7248128056526184,1.0,1.0,model,validation,MCF10A,2
0,0.4561416208744049,0.4257618486881256,0.7422959208488464,0.7394253611564636,1.0,1.0,model,validation,MCF10A,3
1,0.38747695088386536,0.41734951734542847,0.7339134216308594,0.7360175848007202,1.0,1.0,model,validation,MCF10A,3
2,0.4430522620677948,0.45130810141563416,0.6823661923408508,0.6925116181373596,1.0,1.0,model,validation,MCF10A,3
3,0.3561740517616272,0.398282527923584,0.6853227615356445,0.6880055069923401,1.0,1.0,model,validation,MCF10A,3
4,0.3891398012638092,0.3962073028087616,0.7296359539031982,0.7304375171661377,1.0,1.0,model,validation,MCF10A,3
0,0.34532079100608826,0.4390375316143036,0.7359101176261902,0.7556003928184509,1.0,1.0,model,validation,MCF10A,4
1,0.4275321662425995,0.44202759861946106,0.7261165380477905,0.7402482032775879,1.0,1.0,model,validation,MCF10A,4
2,0.43314409255981445,0.41400235891342163,0.6784698367118835,0.6978311538696289,1.0,1.0,model,validation,MCF10A,4
3,0.35137346386909485,0.4171183705329895,0.6786719560623169,0.6970523595809937,1.0,1.0,model,validation,MCF10A,4
4,0.43619784712791443,0.49699166417121887,0.7220255732536316,0.738339900970459,1.0,1.0,model,validation,MCF10A,4
