,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,F1,Accuracy,model,set,cell,iteration
0,0.38644060492515564,0.3328982889652252,0.6821873188018799,0.6745994687080383,1.0,1.0,model,validation,NPC,0
1,0.3709777891635895,0.37322431802749634,0.7040141224861145,0.693185031414032,1.0,1.0,model,validation,NPC,0
2,0.43982911109924316,0.38611406087875366,0.7166712880134583,0.7089710235595703,1.0,1.0,model,validation,NPC,0
3,0.328641414642334,0.22126536071300507,0.7180781364440918,0.7094508409500122,1.0,1.0,model,validation,NPC,0
4,0.30026406049728394,0.3068012595176697,0.7041576504707336,0.697102427482605,1.0,1.0,model,validation,NPC,0
0,0.2901472747325897,0.2874273359775543,0.6752759218215942,0.6815111637115479,1.0,1.0,model,validation,NPC,1
1,0.32897111773490906,0.3448956310749054,0.6961909532546997,0.7077779173851013,1.0,1.0,model,validation,NPC,1
2,0.38008052110671997,0.3740849494934082,0.7082013487815857,0.7182698249816895,1.0,1.0,model,validation,NPC,1
3,0.3758518695831299,0.25532734394073486,0.7122927308082581,0.7161756753921509,1.0,1.0,model,validation,NPC,1
4,0.41796502470970154,0.43217429518699646,0.6976782083511353,0.7026560306549072,1.0,1.0,model,validation,NPC,1
0,0.41943246126174927,0.3789846897125244,0.6831513047218323,0.6711399555206299,1.0,1.0,model,validation,NPC,2
1,0.42972418665885925,0.36644646525382996,0.7105154991149902,0.6880027651786804,1.0,1.0,model,validation,NPC,2
2,0.3963800072669983,0.386197566986084,0.7186594009399414,0.7021259665489197,1.0,1.0,model,validation,NPC,2
3,0.32702091336250305,0.32275936007499695,0.7166022062301636,0.7090003490447998,1.0,1.0,model,validation,NPC,2
4,0.3775773346424103,0.3594483733177185,0.7069071531295776,0.6964379549026489,1.0,1.0,model,validation,NPC,2
0,0.3288308382034302,0.3746204078197479,0.679381787776947,0.674579381942749,1.0,1.0,model,validation,NPC,3
1,0.4561328887939453,0.3862484395503998,0.7068043351173401,0.6998766660690308,1.0,1.0,model,validation,NPC,3
2,0.41719481348991394,0.3680170476436615,0.7135646939277649,0.7070351839065552,1.0,1.0,model,validation,NPC,3
3,0.35692963004112244,0.41499263048171997,0.7122299671173096,0.7093256115913391,1.0,1.0,model,validation,NPC,3
4,0.3064529001712799,0.37728458642959595,0.700836181640625,0.6973057985305786,1.0,1.0,model,validation,NPC,3
0,0.3411168158054352,0.33803415298461914,0.6712336540222168,0.6770286560058594,1.0,1.0,model,validation,NPC,4
1,0.3939228653907776,0.4265781342983246,0.6970391869544983,0.7098155617713928,1.0,1.0,model,validation,NPC,4
2,0.37217262387275696,0.3857683837413788,0.7028199434280396,0.7176111340522766,1.0,1.0,model,validation,NPC,4
3,0.39504072070121765,0.4157058596611023,0.7098066210746765,0.7184584140777588,1.0,1.0,model,validation,NPC,4
4,0.2955479323863983,0.42662397027015686,0.6994435787200928,0.7017830610275269,1.0,1.0,model,validation,NPC,4
