,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,F1,Accuracy,model,set,cell,iteration
0,0.4072469472885132,0.3950467109680176,0.7335034608840942,0.7391527891159058,1.0,1.0,model,validation,ASC,0
1,0.4069287180900574,0.35797426104545593,0.7087805271148682,0.7115715146064758,1.0,1.0,model,validation,ASC,0
2,0.27361181378364563,0.4017624855041504,0.6555113792419434,0.6675563454627991,1.0,1.0,model,validation,ASC,0
3,0.4043501019477844,0.42281779646873474,0.6807668209075928,0.6891888976097107,1.0,1.0,model,validation,ASC,0
4,0.4466850459575653,0.3584664762020111,0.7008486986160278,0.7032510638237,1.0,1.0,model,validation,ASC,0
0,0.38847824931144714,0.3145138919353485,0.7412615418434143,0.725962221622467,1.0,1.0,model,validation,ASC,1
1,0.4410950243473053,0.4222903847694397,0.7163786888122559,0.7071680426597595,1.0,1.0,model,validation,ASC,1
2,0.3716007173061371,0.34466710686683655,0.6597471833229065,0.6527541875839233,1.0,1.0,model,validation,ASC,1
3,0.45910125970840454,0.36809346079826355,0.689671516418457,0.6809366345405579,1.0,1.0,model,validation,ASC,1
4,0.451383501291275,0.3426521122455597,0.7102439999580383,0.6948366761207581,1.0,1.0,model,validation,ASC,1
0,0.3393361270427704,0.3912844955921173,0.7327596545219421,0.7348902225494385,1.0,1.0,model,validation,ASC,2
1,0.49931755661964417,0.5122075080871582,0.7112418413162231,0.7150202393531799,1.0,1.0,model,validation,ASC,2
2,0.39113447070121765,0.3333097994327545,0.674211859703064,0.6525300741195679,1.0,1.0,model,validation,ASC,2
3,0.3996502757072449,0.3922642767429352,0.680128812789917,0.6876680254936218,1.0,1.0,model,validation,ASC,2
4,0.33915069699287415,0.4229985177516937,0.6996698975563049,0.704425036907196,1.0,1.0,model,validation,ASC,2
0,0.4690479338169098,0.47780781984329224,0.7356204390525818,0.7428016662597656,1.0,1.0,model,validation,ASC,3
1,0.44073042273521423,0.4681675434112549,0.7076231241226196,0.7175459861755371,1.0,1.0,model,validation,ASC,3
2,0.41183552145957947,0.4137955904006958,0.6612552404403687,0.6703789234161377,1.0,1.0,model,validation,ASC,3
3,0.40997907519340515,0.38370051980018616,0.678124189376831,0.6944112181663513,1.0,1.0,model,validation,ASC,3
4,0.4042041599750519,0.39472275972366333,0.6940784454345703,0.7089709043502808,1.0,1.0,model,validation,ASC,3
0,0.3906377851963043,0.4963007867336273,0.741877555847168,0.73232501745224,1.0,1.0,model,validation,ASC,4
1,0.39771565794944763,0.46807485818862915,0.7047539353370667,0.7164774537086487,1.0,1.0,model,validation,ASC,4
2,0.3791804015636444,0.37262195348739624,0.6638574004173279,0.665329098701477,1.0,1.0,model,validation,ASC,4
3,0.3129555284976959,0.3386370837688446,0.6873177289962769,0.6850329041481018,1.0,1.0,model,validation,ASC,4
4,0.3596453368663788,0.3799930512905121,0.701331377029419,0.696351170539856,1.0,1.0,model,validation,ASC,4
0,0.6128821969032288,0.6148754954338074,0.7592114210128784,0.7555825710296631,1.0,1.0,model,validation,VCAP,0
1,0.6136583685874939,0.5791789889335632,0.7651224732398987,0.7598335146903992,1.0,1.0,model,validation,VCAP,0
2,0.6411794424057007,0.6374074816703796,0.7680081129074097,0.7650507092475891,1.0,1.0,model,validation,VCAP,0
3,0.6098003387451172,0.5942686796188354,0.7461350560188293,0.743252158164978,1.0,1.0,model,validation,VCAP,0
4,0.6405022740364075,0.6379777193069458,0.7570797204971313,0.7561917901039124,1.0,1.0,model,validation,VCAP,0
0,0.6188047528266907,0.6217123866081238,0.7573369741439819,0.7626622915267944,1.0,1.0,model,validation,VCAP,1
1,0.6232609152793884,0.6066988110542297,0.7600149512290955,0.7657260894775391,1.0,1.0,model,validation,VCAP,1
2,0.6280802488327026,0.6340137124061584,0.7626755833625793,0.7669600248336792,1.0,1.0,model,validation,VCAP,1
3,0.6074849963188171,0.6116509437561035,0.741023063659668,0.7471749782562256,1.0,1.0,model,validation,VCAP,1
4,0.6158433556556702,0.6233640909194946,0.7529194355010986,0.7570118308067322,1.0,1.0,model,validation,VCAP,1
0,0.6371421217918396,0.6237667798995972,0.7671071887016296,0.7564809322357178,1.0,1.0,model,validation,VCAP,2
1,0.6149336099624634,0.621156632900238,0.7672533392906189,0.7610703706741333,1.0,1.0,model,validation,VCAP,2
2,0.6327760219573975,0.6390625834465027,0.7687348127365112,0.7636155486106873,1.0,1.0,model,validation,VCAP,2
3,0.5954744219779968,0.5682787299156189,0.7427628636360168,0.7400169968605042,1.0,1.0,model,validation,VCAP,2
4,0.6122756004333496,0.6185774207115173,0.7578210234642029,0.7515499591827393,1.0,1.0,model,validation,VCAP,2
0,0.6193135976791382,0.6318180561065674,0.7525759339332581,0.7626861929893494,1.0,1.0,model,validation,VCAP,3
1,0.6180832982063293,0.6331037878990173,0.7597886919975281,0.770050585269928,1.0,1.0,model,validation,VCAP,3
2,0.5907647609710693,0.6169013977050781,0.7635088562965393,0.7668352723121643,1.0,1.0,model,validation,VCAP,3
3,0.5985866189002991,0.612045168876648,0.7382410168647766,0.7476897239685059,1.0,1.0,model,validation,VCAP,3
4,0.6278746128082275,0.6434358358383179,0.7527487874031067,0.7608957290649414,1.0,1.0,model,validation,VCAP,3
0,0.6189728379249573,0.6209206581115723,0.7584914565086365,0.7630559802055359,1.0,1.0,model,validation,VCAP,4
1,0.6147984862327576,0.6104877591133118,0.7611654996871948,0.7664585113525391,1.0,1.0,model,validation,VCAP,4
2,0.593610942363739,0.6161066889762878,0.7666579484939575,0.7638527154922485,1.0,1.0,model,validation,VCAP,4
3,0.593282163143158,0.5979791879653931,0.7454288601875305,0.7414367198944092,1.0,1.0,model,validation,VCAP,4
4,0.6201582551002502,0.616034746170044,0.7564375400543213,0.7545794248580933,1.0,1.0,model,validation,VCAP,4
