,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,F1,Accuracy,model,set,cell,iteration
0,0.6116666197776794,0.6243869066238403,0.7014176249504089,0.7112336158752441,1.0,1.0,model,validation,YAPC,0
1,0.6356311440467834,0.6341404318809509,0.7066853046417236,0.7122155427932739,1.0,1.0,model,validation,YAPC,0
2,0.621208906173706,0.6164049506187439,0.6998408436775208,0.6979501843452454,1.0,1.0,model,validation,YAPC,0
3,0.5697422027587891,0.5720492005348206,0.6690332889556885,0.6709171533584595,1.0,1.0,model,validation,YAPC,0
4,0.6393744349479675,0.6164687871932983,0.7091556191444397,0.7026599645614624,1.0,1.0,model,validation,YAPC,0
0,0.6196120977401733,0.6347331404685974,0.7049340605735779,0.7079893350601196,1.0,1.0,model,validation,YAPC,1
1,0.6231187582015991,0.6267433166503906,0.7139288187026978,0.7095802426338196,1.0,1.0,model,validation,YAPC,1
2,0.608752429485321,0.6100893020629883,0.6977631449699402,0.7043337225914001,1.0,1.0,model,validation,YAPC,1
3,0.5746260285377502,0.5593727827072144,0.6753535866737366,0.6681421995162964,1.0,1.0,model,validation,YAPC,1
4,0.6185731887817383,0.629425585269928,0.6990606784820557,0.7089436054229736,1.0,1.0,model,validation,YAPC,1
0,0.6274004578590393,0.6350336074829102,0.7071041464805603,0.7103285193443298,1.0,1.0,model,validation,YAPC,2
1,0.6161327958106995,0.6381406188011169,0.7080618143081665,0.713419497013092,1.0,1.0,model,validation,YAPC,2
2,0.6099504232406616,0.6099321842193604,0.7014252543449402,0.6981793642044067,1.0,1.0,model,validation,YAPC,2
3,0.573016881942749,0.589040219783783,0.6653047800064087,0.6823133826255798,1.0,1.0,model,validation,YAPC,2
4,0.633416473865509,0.6297205090522766,0.7030856609344482,0.7046104669570923,1.0,1.0,model,validation,YAPC,2
0,0.6125665307044983,0.6113461852073669,0.708680272102356,0.706442654132843,1.0,1.0,model,validation,YAPC,3
1,0.6242570877075195,0.6247804164886475,0.7110695242881775,0.7123051285743713,1.0,1.0,model,validation,YAPC,3
2,0.6099868416786194,0.6260589957237244,0.6923052668571472,0.7100702524185181,1.0,1.0,model,validation,YAPC,3
3,0.5703038573265076,0.5926634669303894,0.6592283844947815,0.6840822696685791,1.0,1.0,model,validation,YAPC,3
4,0.6287155151367188,0.6277309656143188,0.6996300220489502,0.7063930630683899,1.0,1.0,model,validation,YAPC,3
0,0.6263764500617981,0.631699800491333,0.7023628354072571,0.7124565243721008,1.0,1.0,model,validation,YAPC,4
1,0.628899097442627,0.6451817154884338,0.7120921611785889,0.7128446698188782,1.0,1.0,model,validation,YAPC,4
2,0.5946015119552612,0.6219658255577087,0.6914532780647278,0.7079523801803589,1.0,1.0,model,validation,YAPC,4
3,0.5792911648750305,0.5997886061668396,0.6693170070648193,0.6805993318557739,1.0,1.0,model,validation,YAPC,4
4,0.6320708394050598,0.6331838965415955,0.7030426859855652,0.707627534866333,1.0,1.0,model,validation,YAPC,4
