fold,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,model,set,cell,iteration
0,0.523978292942047,0.542146384716034,0.753407120704651,0.75832587480545,AutoTransOp v1,validation,PC3,0
1,0.517921984195709,0.537138938903809,0.757008194923401,0.765334904193878,AutoTransOp v1,validation,PC3,0
2,0.514801859855652,0.544129014015198,0.762231588363648,0.764250338077545,AutoTransOp v1,validation,PC3,0
3,0.498799562454224,0.522433519363403,0.745529770851135,0.754370748996735,AutoTransOp v1,validation,PC3,0
4,0.48380771279335,0.498266577720642,0.764243006706238,0.773405611515045,AutoTransOp v1,validation,PC3,0
0,0.00967860128730536,0.00839702785015106,0.33763775229454,0.320841282606125,shuffled,validation,PC3,0
1,-0.00532749807462096,-6.31331422482617e-05,0.324569344520569,0.327059745788574,shuffled,validation,PC3,0
2,-0.0083049489185214,-0.0035047666169703,0.32150810956955,0.326666086912155,shuffled,validation,PC3,0
3,0.0061471969820559,0.0109834549948573,0.325632184743881,0.322201013565064,shuffled,validation,PC3,0
4,-0.00863059423863888,-0.00599686894565821,0.323403567075729,0.316102057695389,shuffled,validation,PC3,0
0,0.517028510570526,0.508538603782654,0.75873863697052,0.754938423633575,AutoTransOp v1,validation,PC3,1
1,0.525601923465729,0.506026268005371,0.76432466506958,0.760270059108734,AutoTransOp v1,validation,PC3,1
2,0.534158110618591,0.527930676937103,0.765203833580017,0.759103357791901,AutoTransOp v1,validation,PC3,1
3,0.525286793708801,0.513252019882202,0.748085856437683,0.747256875038147,AutoTransOp v1,validation,PC3,1
4,0.506471812725067,0.513701677322388,0.771265208721161,0.76751321554184,AutoTransOp v1,validation,PC3,1
0,0.0173714123666286,0.009988515637815,0.327946782112122,0.333424746990204,shuffled,validation,PC3,1
1,-0.00276353652589023,-0.00903402827680111,0.326724529266357,0.327735781669617,shuffled,validation,PC3,1
2,0.00737078813835979,0.0028457036241889,0.331257194280624,0.325335681438446,shuffled,validation,PC3,1
3,-0.00276133557781577,-0.00411347532644868,0.332696199417114,0.31738469004631,shuffled,validation,PC3,1
4,0.0112256519496441,0.00829335954040289,0.326071172952652,0.32329249382019,shuffled,validation,PC3,1
0,0.545332908630371,0.519341051578522,0.762812793254852,0.75263261795044,AutoTransOp v1,validation,PC3,2
1,0.540943443775177,0.519387423992157,0.762915372848511,0.756700277328491,AutoTransOp v1,validation,PC3,2
2,0.542117536067963,0.519994139671326,0.767983496189117,0.759271562099457,AutoTransOp v1,validation,PC3,2
3,0.531233489513397,0.508951723575592,0.751547574996948,0.739277005195618,AutoTransOp v1,validation,PC3,2
4,0.54202401638031,0.517491161823273,0.774312973022461,0.763841271400452,AutoTransOp v1,validation,PC3,2
0,8.76474732649513e-05,0.00595111306756735,0.320928156375885,0.329190880060196,shuffled,validation,PC3,2
1,-0.00445315428078175,-0.000325779721606523,0.330051213502884,0.328123301267624,shuffled,validation,PC3,2
2,0.00724042393267155,0.00805253349244595,0.323114216327667,0.323801666498184,shuffled,validation,PC3,2
3,0.0107571957632899,-0.00159730669111013,0.32422336935997,0.323138236999512,shuffled,validation,PC3,2
4,0.00293874158523977,0.00132628786377609,0.321128487586975,0.325794816017151,shuffled,validation,PC3,2
0,0.533883333206177,0.534282088279724,0.759843111038208,0.757308602333069,AutoTransOp v1,validation,PC3,3
1,0.53656017780304,0.536022841930389,0.761228561401367,0.759427964687347,AutoTransOp v1,validation,PC3,3
2,0.523104190826416,0.536323606967926,0.761425137519836,0.762674272060394,AutoTransOp v1,validation,PC3,3
