,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,model,set,cell,iteration
0,0.6563740372657776,0.6611409187316895,0.734180212020874,0.7413269877433777,model,validation,A549,0
1,0.6707264184951782,0.6694149971008301,0.7433810234069824,0.7439407706260681,model,validation,A549,0
2,0.6855507493019104,0.6833588480949402,0.7555217742919922,0.7531129121780396,model,validation,A549,0
3,0.644451916217804,0.646096408367157,0.724683403968811,0.7258612513542175,model,validation,A549,0
4,0.6785029768943787,0.6851440668106079,0.7498701810836792,0.7561949491500854,model,validation,A549,0
0,-0.009036008268594742,-0.010738417506217957,0.34217900037765503,0.3426174223423004,shuffled,validation,A549,0
1,0.0032413327135145664,0.010487362742424011,0.3391192853450775,0.3454218804836273,shuffled,validation,A549,0
2,0.0009097959846258163,0.005065591540187597,0.3374454081058502,0.33397749066352844,shuffled,validation,A549,0
3,-0.0040273042395710945,0.003109570126980543,0.3381047248840332,0.33721068501472473,shuffled,validation,A549,0
4,0.005854640156030655,0.0067472453229129314,0.34784287214279175,0.3405238091945648,shuffled,validation,A549,0
0,0.6618931889533997,0.6579212546348572,0.73772794008255,0.735724151134491,model,validation,A549,1
1,0.6731717586517334,0.6702767610549927,0.7441548109054565,0.7446281909942627,model,validation,A549,1
2,0.6852696537971497,0.6811169981956482,0.7541125416755676,0.7532550692558289,model,validation,A549,1
3,0.6467961668968201,0.6435747742652893,0.7260044813156128,0.7264792919158936,model,validation,A549,1
4,0.6793211698532104,0.6814486384391785,0.7520971298217773,0.7531142234802246,model,validation,A549,1
0,-0.0015637206379324198,-0.003099978668615222,0.3319084346294403,0.33511781692504883,shuffled,validation,A549,1
1,0.002653597155585885,-0.010526115074753761,0.3317830562591553,0.34742647409439087,shuffled,validation,A549,1
2,0.010231933556497097,0.005935209337621927,0.3453146815299988,0.33881834149360657,shuffled,validation,A549,1
3,0.0032971473410725594,0.005334815941751003,0.3292648196220398,0.34234023094177246,shuffled,validation,A549,1
4,0.0011049669701606035,-0.0007127208518795669,0.3426316976547241,0.3358045518398285,shuffled,validation,A549,1
0,0.6552660465240479,0.6613265872001648,0.7348726391792297,0.7414548397064209,model,validation,A549,2
1,0.6691344380378723,0.6731966733932495,0.7423134446144104,0.7436472773551941,model,validation,A549,2
2,0.6837043166160583,0.6836856007575989,0.7559062838554382,0.7520204186439514,model,validation,A549,2
3,0.6420886516571045,0.646774411201477,0.7230642437934875,0.7271755933761597,model,validation,A549,2
4,0.6775025725364685,0.6797791719436646,0.7514431476593018,0.7547852396965027,model,validation,A549,2
0,-0.011672749184072018,0.0016848285449668765,0.3509591817855835,0.33154675364494324,shuffled,validation,A549,2
1,-0.0007940364885143936,-0.004289901349693537,0.3503526747226715,0.33275941014289856,shuffled,validation,A549,2
2,0.006739056669175625,0.011341909877955914,0.33838364481925964,0.3455372452735901,shuffled,validation,A549,2
3,0.002529836492612958,0.007555880583822727,0.33843350410461426,0.3405928909778595,shuffled,validation,A549,2
4,0.0018278935458511114,0.004778574220836163,0.331902414560318,0.3393169641494751,shuffled,validation,A549,2
0,0.6500630974769592,0.668968677520752,0.7337604761123657,0.7433136105537415,model,validation,A549,3
1,0.6667110919952393,0.6772240996360779,0.7396411895751953,0.7471828460693359,model,validation,A549,3
2,0.6796189546585083,0.6888265609741211,0.7515157461166382,0.7563966512680054,model,validation,A549,3
3,0.6396155953407288,0.650137722492218,0.7243874073028564,0.729990541934967,model,validation,A549,3
4,0.674792468547821,0.6852688789367676,0.7501732110977173,0.7551990151405334,model,validation,A549,3
0,0.002791423350572586,0.006086162757128477,0.33347955346107483,0.3293343484401703,shuffled,validation,A549,3
1,0.00902475230395794,0.011805495247244835,0.3380511403083801,0.3413432836532593,shuffled,validation,A549,3
2,0.001644764095544815,-0.002204370917752385,0.34196773171424866,0.335363507270813,shuffled,validation,A549,3
3,-0.005109485238790512,-0.007413179147988558,0.33614808320999146,0.33621540665626526,shuffled,validation,A549,3
4,0.007578196004033089,0.00027590454556047916,0.34543728828430176,0.34281930327415466,shuffled,validation,A549,3
0,0.6646930575370789,0.6614585518836975,0.7403056025505066,0.7371715903282166,model,validation,A549,4
1,0.6777533292770386,0.6684350967407227,0.7455718517303467,0.7405054569244385,model,validation,A549,4
2,0.6864606142044067,0.6800251007080078,0.7566390037536621,0.7511975169181824,model,validation,A549,4
3,0.6470933556556702,0.6425485014915466,0.7273296117782593,0.7247586250305176,model,validation,A549,4
4,0.6867181062698364,0.6757612824440002,0.7564181685447693,0.7479150295257568,model,validation,A549,4
0,-0.0020736269652843475,-0.009099372662603855,0.3417826294898987,0.3444811701774597,shuffled,validation,A549,4
1,0.004184120800346136,-0.00015676338807679713,0.3414400815963745,0.3389282822608948,shuffled,validation,A549,4
2,-0.004219409078359604,-0.00226045330055058,0.3394002914428711,0.3360092043876648,shuffled,validation,A549,4
3,-0.0018843190046027303,-0.0023786339443176985,0.33357691764831543,0.3420006334781647,shuffled,validation,A549,4
4,0.0025522380601614714,0.007471958175301552,0.3456641137599945,0.3436298370361328,shuffled,validation,A549,4
