,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,model,set,cell,iteration
0,0.5416131615638733,0.5561058521270752,0.7484476566314697,0.7532549500465393,model,validation,ASC,0
1,0.5152453780174255,0.5334447026252747,0.7275924682617188,0.7307146787643433,model,validation,ASC,0
2,0.4204237461090088,0.4615427851676941,0.6832708120346069,0.6875247955322266,model,validation,ASC,0
3,0.49218785762786865,0.5027465224266052,0.6998280882835388,0.7045784592628479,model,validation,ASC,0
4,0.532180666923523,0.5197100043296814,0.7178423404693604,0.7190297245979309,model,validation,ASC,0
0,-0.0041037918999791145,-0.015002387575805187,0.28054577112197876,0.28158095479011536,shuffled,validation,ASC,0
1,-0.008865413255989552,0.0025172587484121323,0.26939359307289124,0.285182923078537,shuffled,validation,ASC,0
2,0.002653419738635421,-0.00166662922129035,0.286419153213501,0.2785298228263855,shuffled,validation,ASC,0
3,-0.009295206516981125,0.013107629492878914,0.27760133147239685,0.28531044721603394,shuffled,validation,ASC,0
4,-0.0019999477081000805,0.006180210970342159,0.27846795320510864,0.28541162610054016,shuffled,validation,ASC,0
0,0.5596983432769775,0.5300929546356201,0.7601000666618347,0.7411113381385803,model,validation,ASC,1
1,0.5482690334320068,0.5310468673706055,0.7306532263755798,0.7213891744613647,model,validation,ASC,1
2,0.46694085001945496,0.44917917251586914,0.6930407285690308,0.6752266883850098,model,validation,ASC,1
3,0.5000259280204773,0.4748990535736084,0.7072973251342773,0.6958329677581787,model,validation,ASC,1
4,0.5133439302444458,0.4747045934200287,0.7282525300979614,0.7068231701850891,model,validation,ASC,1
0,-0.013629207387566566,-0.003559742821380496,0.26657602190971375,0.27707090973854065,shuffled,validation,ASC,1
1,-0.018693113699555397,-0.01659879833459854,0.2802594006061554,0.2854314148426056,shuffled,validation,ASC,1
2,-0.0004551634774543345,0.0012422290164977312,0.2917814254760742,0.2837618291378021,shuffled,validation,ASC,1
3,0.008852997794747353,0.005517441779375076,0.27841275930404663,0.27977919578552246,shuffled,validation,ASC,1
4,-0.016980912536382675,-0.0001316177804255858,0.2776567339897156,0.2817687690258026,shuffled,validation,ASC,1
0,0.5767687559127808,0.5673844814300537,0.7476266026496887,0.7489861249923706,model,validation,ASC,2
1,0.54355388879776,0.5315419435501099,0.7255759835243225,0.7310125827789307,model,validation,ASC,2
2,0.4342469871044159,0.4099501967430115,0.6923062801361084,0.6781478524208069,model,validation,ASC,2
3,0.483676940202713,0.5030639171600342,0.699790894985199,0.7044934630393982,model,validation,ASC,2
4,0.4757324159145355,0.47362497448921204,0.7165464758872986,0.7209020853042603,model,validation,ASC,2
0,-0.010677512735128403,-0.011385534889996052,0.2917582094669342,0.2868404686450958,shuffled,validation,ASC,2
1,-0.014127137139439583,2.3904753106762655e-05,0.26784560084342957,0.2752215564250946,shuffled,validation,ASC,2
2,0.012611250393092632,0.002046134090051055,0.28121742606163025,0.2784290611743927,shuffled,validation,ASC,2
3,-0.009275794960558414,-0.020295092836022377,0.2798269987106323,0.27478212118148804,shuffled,validation,ASC,2
4,0.012077998369932175,0.0048667918890714645,0.2893275022506714,0.26942503452301025,shuffled,validation,ASC,2
0,0.5398281216621399,0.5538965463638306,0.7472483515739441,0.7564992904663086,model,validation,ASC,3
1,0.5135693550109863,0.5371518135070801,0.7231573462486267,0.7350231409072876,model,validation,ASC,3
2,0.42347827553749084,0.4782566428184509,0.6791197061538696,0.6931040287017822,model,validation,ASC,3
3,0.48333749175071716,0.5071136951446533,0.698037326335907,0.7113994359970093,model,validation,ASC,3
4,0.4953204393386841,0.5123907327651978,0.7075111269950867,0.7255668640136719,model,validation,ASC,3
0,-0.0022392505779862404,-0.000621192913968116,0.28547123074531555,0.28355154395103455,shuffled,validation,ASC,3
1,0.0020887465216219425,-0.004624675959348679,0.2902448773384094,0.27358314394950867,shuffled,validation,ASC,3
2,0.0156297218054533,0.025454211980104446,0.27632206678390503,0.27854835987091064,shuffled,validation,ASC,3
3,0.013518565334379673,0.0015387992607429624,0.27255943417549133,0.290470689535141,shuffled,validation,ASC,3
4,-0.0064779468812048435,0.008327876217663288,0.2786787748336792,0.2769349217414856,shuffled,validation,ASC,3
0,0.5529983639717102,0.5511968731880188,0.7526966333389282,0.7444888949394226,model,validation,ASC,4
1,0.5334842801094055,0.5469890832901001,0.7228065133094788,0.7328957915306091,model,validation,ASC,4
2,0.4494174122810364,0.46174731850624084,0.6825445294380188,0.6835383176803589,model,validation,ASC,4
3,0.49126148223876953,0.4865923225879669,0.7055001854896545,0.7022135257720947,model,validation,ASC,4
4,0.5068615078926086,0.5108899474143982,0.7179651260375977,0.7181892991065979,model,validation,ASC,4
0,0.01663087122142315,0.010291751474142075,0.2769676446914673,0.28680193424224854,shuffled,validation,ASC,4
1,-0.016058186069130898,-0.014409365132451057,0.28215160965919495,0.276124507188797,shuffled,validation,ASC,4
2,0.00881357304751873,0.008836314082145691,0.29012739658355713,0.2663768529891968,shuffled,validation,ASC,4
3,0.003861290169879794,0.00282343034632504,0.2966172993183136,0.28840333223342896,shuffled,validation,ASC,4
4,-0.00045628732186742127,-0.006631627678871155,0.2773350179195404,0.27132657170295715,shuffled,validation,ASC,4
