,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,model,set,cell,iteration
0,0.6880007386207581,0.6862633228302002,0.7523103356361389,0.748518705368042,model,validation,HA1E,0
1,0.7092984914779663,0.7067938446998596,0.7684054970741272,0.7654208540916443,model,validation,HA1E,0
2,0.6841855645179749,0.6876127123832703,0.7522847652435303,0.7515699863433838,model,validation,HA1E,0
3,0.6982674598693848,0.6942612528800964,0.7554939389228821,0.7526723146438599,model,validation,HA1E,0
4,0.6719443202018738,0.6688304543495178,0.7398508787155151,0.7381319403648376,model,validation,HA1E,0
0,0.00039765116525813937,-0.004226404242217541,0.31496870517730713,0.31239670515060425,shuffled,validation,HA1E,0
1,-0.00401795981451869,1.7402484445483424e-05,0.3219843804836273,0.3297034204006195,shuffled,validation,HA1E,0
2,0.0008204031619243324,0.003493186319246888,0.3339768946170807,0.32448145747184753,shuffled,validation,HA1E,0
3,-0.007511088624596596,-0.012853900901973248,0.3135071098804474,0.30712926387786865,shuffled,validation,HA1E,0
4,0.005884882993996143,0.006132126320153475,0.3357865810394287,0.3308327794075012,shuffled,validation,HA1E,0
0,0.6857718825340271,0.6889297962188721,0.7502071261405945,0.7527557015419006,model,validation,HA1E,1
1,0.7050591111183167,0.7087637186050415,0.7666517496109009,0.7678888440132141,model,validation,HA1E,1
2,0.682561993598938,0.6894997358322144,0.7490376830101013,0.7550782561302185,model,validation,HA1E,1
3,0.6913091540336609,0.6972286701202393,0.7512508630752563,0.7567924857139587,model,validation,HA1E,1
4,0.6630195379257202,0.6722255945205688,0.7356773614883423,0.7424991130828857,model,validation,HA1E,1
0,-0.0024418069515377283,0.004082147032022476,0.3111148178577423,0.32379376888275146,shuffled,validation,HA1E,1
1,0.012013432569801807,0.010425874032080173,0.3267149031162262,0.33530184626579285,shuffled,validation,HA1E,1
2,-0.007902183569967747,-0.01642863266170025,0.32348862290382385,0.33113205432891846,shuffled,validation,HA1E,1
3,-0.007813582196831703,-0.007550328969955444,0.31058478355407715,0.3104913830757141,shuffled,validation,HA1E,1
4,0.005131051409989595,0.00806055124849081,0.3311747610569,0.3365990221500397,shuffled,validation,HA1E,1
0,0.685790479183197,0.6917609572410583,0.7468342781066895,0.754663348197937,model,validation,HA1E,2
1,0.7006807327270508,0.7103437185287476,0.7606510519981384,0.7726626396179199,model,validation,HA1E,2
2,0.6778953671455383,0.6899824738502502,0.7472760081291199,0.7560110688209534,model,validation,HA1E,2
3,0.6872156262397766,0.6984671354293823,0.7487900257110596,0.7585461139678955,model,validation,HA1E,2
4,0.6652372479438782,0.6706740260124207,0.7353950142860413,0.7420845031738281,model,validation,HA1E,2
0,0.0024951649829745293,-0.004543808288872242,0.3030809760093689,0.3184128999710083,shuffled,validation,HA1E,2
1,-0.005009625107049942,-0.0018697037594392896,0.3247394859790802,0.3342477083206177,shuffled,validation,HA1E,2
2,-0.010479439981281757,-0.004186403937637806,0.32747381925582886,0.3234354257583618,shuffled,validation,HA1E,2
3,-4.335756239015609e-05,-0.011705756187438965,0.3169514536857605,0.30095285177230835,shuffled,validation,HA1E,2
4,-0.003963264171034098,-0.004793875850737095,0.3296741545200348,0.3347282409667969,shuffled,validation,HA1E,2
0,0.686995267868042,0.6888869404792786,0.7471433281898499,0.7512967586517334,model,validation,HA1E,3
1,0.7066586017608643,0.7101736664772034,0.7645860314369202,0.7678250074386597,model,validation,HA1E,3
2,0.6845786571502686,0.6868873834609985,0.7509899735450745,0.7531685829162598,model,validation,HA1E,3
3,0.692315399646759,0.6936675906181335,0.7538032531738281,0.7548431158065796,model,validation,HA1E,3
4,0.6661373972892761,0.6677200794219971,0.7377739548683167,0.7383381128311157,model,validation,HA1E,3
0,-0.0011583208106458187,-0.0017775010783225298,0.30765876173973083,0.31500211358070374,shuffled,validation,HA1E,3
1,0.00527171092107892,-0.009178340435028076,0.3321029543876648,0.3260203003883362,shuffled,validation,HA1E,3
2,-0.00976883340626955,-0.00685294670984149,0.3422854542732239,0.3169860541820526,shuffled,validation,HA1E,3
3,0.006241234950721264,0.001159072620794177,0.30872753262519836,0.30978673696517944,shuffled,validation,HA1E,3
4,-0.013310305774211884,-0.009369447827339172,0.3449286222457886,0.3343042731285095,shuffled,validation,HA1E,3
0,0.6808083057403564,0.6908760070800781,0.7467944622039795,0.751331090927124,model,validation,HA1E,4
1,0.7031480669975281,0.7101163268089294,0.7668097615242004,0.767582893371582,model,validation,HA1E,4
2,0.6822813749313354,0.6885239481925964,0.7514162659645081,0.7542544603347778,model,validation,HA1E,4
3,0.6911450028419495,0.6966529488563538,0.7534838318824768,0.7559107542037964,model,validation,HA1E,4
4,0.6678165793418884,0.6679269075393677,0.7427281737327576,0.7345406413078308,model,validation,HA1E,4
0,-0.0011875462951138616,0.010005024261772633,0.3274271488189697,0.3158425986766815,shuffled,validation,HA1E,4
1,-0.008842307142913342,-0.005207017995417118,0.31781870126724243,0.3182939291000366,shuffled,validation,HA1E,4
2,-0.002903790445998311,-0.0007548668654635549,0.32675257325172424,0.3217533528804779,shuffled,validation,HA1E,4
3,-0.0033389031887054443,0.008687618188560009,0.30812162160873413,0.31148871779441833,shuffled,validation,HA1E,4
4,0.00020350438717287034,-0.004133670125156641,0.33484259247779846,0.33347493410110474,shuffled,validation,HA1E,4
