,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,model,set,cell,iteration
0,0.7207652926445007,0.7120362520217896,0.7767229676246643,0.7691313028335571,model,validation,HCC515,0
1,0.6942434310913086,0.6907508373260498,0.7624683976173401,0.7519683837890625,model,validation,HCC515,0
2,0.6897279024124146,0.6801596283912659,0.7578274607658386,0.7466890811920166,model,validation,HCC515,0
3,0.7064706087112427,0.7027640342712402,0.767717719078064,0.7643449902534485,model,validation,HCC515,0
4,0.7255828976631165,0.7197709679603577,0.7790064215660095,0.7735171318054199,model,validation,HCC515,0
0,0.021534878760576248,0.015330900438129902,0.32922184467315674,0.3309706747531891,shuffled,validation,HCC515,0
1,0.0011914868373423815,-0.0037589992862194777,0.3291303813457489,0.3362332582473755,shuffled,validation,HCC515,0
2,0.0017684329068288207,0.00027901603607460856,0.333167165517807,0.33796921372413635,shuffled,validation,HCC515,0
3,-0.004804863594472408,0.0057594352401793,0.3375372886657715,0.3272806406021118,shuffled,validation,HCC515,0
4,0.00688167754560709,-0.0044532660394907,0.3324872553348541,0.3402526080608368,shuffled,validation,HCC515,0
0,0.7107458710670471,0.7189124226570129,0.7717735767364502,0.7756622433662415,model,validation,HCC515,1
1,0.6930056214332581,0.6968411803245544,0.756245493888855,0.7592356204986572,model,validation,HCC515,1
2,0.6822232604026794,0.6873781681060791,0.7521139979362488,0.7530789971351624,model,validation,HCC515,1
3,0.7029776573181152,0.703985869884491,0.7660683393478394,0.7656599283218384,model,validation,HCC515,1
4,0.7202041149139404,0.7211209535598755,0.7756668329238892,0.7774860262870789,model,validation,HCC515,1
0,0.007189515512436628,-0.0010642497800290585,0.32919180393218994,0.3406156003475189,shuffled,validation,HCC515,1
1,0.015689510852098465,0.009321446530520916,0.3376794457435608,0.33150559663772583,shuffled,validation,HCC515,1
2,-0.0002517639077268541,-0.0006578029133379459,0.3276893198490143,0.335639625787735,shuffled,validation,HCC515,1
3,-0.011019754223525524,-0.002571979071944952,0.34016379714012146,0.33443209528923035,shuffled,validation,HCC515,1
4,-0.0004456897731870413,-0.0051347347907722,0.3303859233856201,0.3259352147579193,shuffled,validation,HCC515,1
0,0.7111909985542297,0.7137904167175293,0.7770369052886963,0.77166748046875,model,validation,HCC515,2
1,0.6935661435127258,0.6966687440872192,0.7584545612335205,0.7564423680305481,model,validation,HCC515,2
2,0.6864009499549866,0.6827121376991272,0.7563197016716003,0.7501587271690369,model,validation,HCC515,2
3,0.7048239707946777,0.7015480995178223,0.7717429399490356,0.7627739310264587,model,validation,HCC515,2
4,0.7199690341949463,0.7190784811973572,0.780266284942627,0.7749106287956238,model,validation,HCC515,2
0,-0.0005877133808098733,-0.008359233848750591,0.33878403902053833,0.33274587988853455,shuffled,validation,HCC515,2
1,-0.0005183960893191397,-0.006198172457516193,0.33897149562835693,0.3423585593700409,shuffled,validation,HCC515,2
2,0.0042449431493878365,0.004959660116583109,0.3414151668548584,0.3300887942314148,shuffled,validation,HCC515,2
3,0.008928461000323296,0.01992068998515606,0.3250431418418884,0.33970701694488525,shuffled,validation,HCC515,2
4,0.0013181697577238083,0.0007414656574837863,0.3265230655670166,0.3418865501880646,shuffled,validation,HCC515,2
0,0.7160760164260864,0.7104203701019287,0.7763971090316772,0.7710682153701782,model,validation,HCC515,3
1,0.6949114203453064,0.690507709980011,0.7593171000480652,0.7552820444107056,model,validation,HCC515,3
2,0.6862567067146301,0.6826523542404175,0.7560288310050964,0.7528848052024841,model,validation,HCC515,3
3,0.7030054330825806,0.702042818069458,0.7671686410903931,0.7649521231651306,model,validation,HCC515,3
4,0.7207856178283691,0.7179870009422302,0.778162956237793,0.7763915061950684,model,validation,HCC515,3
0,-0.005079585127532482,0.000856991158798337,0.337272584438324,0.3405183255672455,shuffled,validation,HCC515,3
1,0.009890207089483738,-0.0008222133619710803,0.3388923406600952,0.3415939509868622,shuffled,validation,HCC515,3
2,0.007634208537638187,0.008397466503083706,0.3377077877521515,0.3319590389728546,shuffled,validation,HCC515,3
3,-0.003154687350615859,-0.012672439217567444,0.3399251699447632,0.3426498472690582,shuffled,validation,HCC515,3
4,0.007021812256425619,0.009339122101664543,0.33301010727882385,0.3377912640571594,shuffled,validation,HCC515,3
0,0.7135195732116699,0.7165522575378418,0.7713636755943298,0.7746866345405579,model,validation,HCC515,4
1,0.6962400078773499,0.6949705481529236,0.7589597702026367,0.7571357488632202,model,validation,HCC515,4
2,0.6853752732276917,0.6854187846183777,0.752409040927887,0.752483606338501,model,validation,HCC515,4
3,0.6994503736495972,0.7077031135559082,0.7643631100654602,0.7682806849479675,model,validation,HCC515,4
4,0.7215730547904968,0.7246344685554504,0.775564432144165,0.7782871127128601,model,validation,HCC515,4
0,0.005964917596429586,0.020701192319393158,0.324584424495697,0.3395176827907562,shuffled,validation,HCC515,4
1,-0.0050330450758337975,0.007983042858541012,0.3320959508419037,0.3370147943496704,shuffled,validation,HCC515,4
2,0.004692915827035904,0.003097299486398697,0.33541086316108704,0.32752424478530884,shuffled,validation,HCC515,4
3,-0.00886184349656105,-0.0028133410960435867,0.32440629601478577,0.34018439054489136,shuffled,validation,HCC515,4
4,0.009088004007935524,0.004138806369155645,0.3394940495491028,0.3328638970851898,shuffled,validation,HCC515,4
