,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,model,set,cell,iteration
0,0.6367222666740417,0.6414711475372314,0.6998434662818909,0.706000030040741,model,validation,HELA,0
1,0.6688697934150696,0.6655439138412476,0.724371612071991,0.7238207459449768,model,validation,HELA,0
2,0.6341635584831238,0.6393333673477173,0.7057421207427979,0.7039240598678589,model,validation,HELA,0
3,0.6515499949455261,0.6594508290290833,0.7229136228561401,0.7253038883209229,model,validation,HELA,0
4,0.6244403123855591,0.6336742639541626,0.6973830461502075,0.7068486213684082,model,validation,HELA,0
0,-0.003572429297491908,-0.008006156422197819,0.2884834110736847,0.2928709089756012,shuffled,validation,HELA,0
1,-0.01823597215116024,-0.018523985520005226,0.292797714471817,0.29466649889945984,shuffled,validation,HELA,0
2,0.010255965404212475,-0.003768786322325468,0.291351854801178,0.28793495893478394,shuffled,validation,HELA,0
3,2.708147258090321e-05,-0.00863833911716938,0.30240708589553833,0.2873145043849945,shuffled,validation,HELA,0
4,0.009052940644323826,-0.005508367903530598,0.2955724596977234,0.28419333696365356,shuffled,validation,HELA,0
0,0.6409231424331665,0.6369732618331909,0.7052666544914246,0.7020128965377808,model,validation,HELA,1
1,0.6641765832901001,0.6748641133308411,0.7223266959190369,0.7314430475234985,model,validation,HELA,1
2,0.638949453830719,0.6391857266426086,0.7060148119926453,0.7080792784690857,model,validation,HELA,1
3,0.6518703699111938,0.6610895991325378,0.7207934856414795,0.7250878810882568,model,validation,HELA,1
4,0.6283652782440186,0.6273064613342285,0.7023302912712097,0.7020350694656372,model,validation,HELA,1
0,0.011838443577289581,-0.005286333616822958,0.2815406918525696,0.2863781154155731,shuffled,validation,HELA,1
1,-0.0005821167724207044,0.012858817353844643,0.29281654953956604,0.27842429280281067,shuffled,validation,HELA,1
2,0.0007486106478609145,0.0034515499137341976,0.28715118765830994,0.2930547595024109,shuffled,validation,HELA,1
3,-0.011336060240864754,-0.01201546099036932,0.28224602341651917,0.2958575189113617,shuffled,validation,HELA,1
4,-0.013291941955685616,-0.012793099507689476,0.2841183841228485,0.2853655517101288,shuffled,validation,HELA,1
0,0.6415320038795471,0.6339585185050964,0.7081099152565002,0.7004081606864929,model,validation,HELA,2
1,0.6687500476837158,0.6655942797660828,0.727736234664917,0.7278740406036377,model,validation,HELA,2
2,0.6418380737304688,0.6363725662231445,0.707313060760498,0.7065619230270386,model,validation,HELA,2
3,0.6655700206756592,0.6538728475570679,0.7276260256767273,0.720186710357666,model,validation,HELA,2
4,0.6407360434532166,0.6160953044891357,0.7091172933578491,0.697196900844574,model,validation,HELA,2
0,0.0025158219505101442,0.01293992344290018,0.29320719838142395,0.29032307863235474,shuffled,validation,HELA,2
1,0.00862620398402214,-0.002176491543650627,0.2910672724246979,0.28497114777565,shuffled,validation,HELA,2
2,0.016925090923905373,0.015208597294986248,0.292546808719635,0.2937535345554352,shuffled,validation,HELA,2
3,0.0037270039319992065,0.0014507643645629287,0.29694557189941406,0.2954929769039154,shuffled,validation,HELA,2
4,0.013455605134367943,0.006971902213990688,0.2933270037174225,0.28134435415267944,shuffled,validation,HELA,2
0,0.6325064897537231,0.6398569941520691,0.697282612323761,0.713028609752655,model,validation,HELA,3
1,0.6647006273269653,0.6729370951652527,0.7231018543243408,0.73001629114151,model,validation,HELA,3
2,0.6362634301185608,0.6364938020706177,0.7019680142402649,0.70741206407547,model,validation,HELA,3
3,0.6484249830245972,0.6582061052322388,0.7214872241020203,0.7283375859260559,model,validation,HELA,3
4,0.6246716976165771,0.6247518658638,0.7026345729827881,0.704918622970581,model,validation,HELA,3
0,0.0031919903121888638,-0.010917266830801964,0.283513605594635,0.27624398469924927,shuffled,validation,HELA,3
1,-0.018968038260936737,-0.002971571171656251,0.29054805636405945,0.28705042600631714,shuffled,validation,HELA,3
2,0.009663954377174377,0.00785805657505989,0.28728416562080383,0.28175899386405945,shuffled,validation,HELA,3
3,0.010645726695656776,0.011760645546019077,0.27805161476135254,0.28337517380714417,shuffled,validation,HELA,3
4,-0.001704285852611065,0.0034770446363836527,0.3056222200393677,0.2855193316936493,shuffled,validation,HELA,3
0,0.6418635845184326,0.6260577440261841,0.7118712067604065,0.6989538669586182,model,validation,HELA,4
1,0.6799942851066589,0.6570999622344971,0.7367015480995178,0.716037392616272,model,validation,HELA,4
2,0.6446199417114258,0.6307499408721924,0.7088162302970886,0.6981299519538879,model,validation,HELA,4
3,0.6684454679489136,0.6405365467071533,0.7351316213607788,0.710854709148407,model,validation,HELA,4
4,0.6449587345123291,0.6145342588424683,0.7125865817070007,0.6928192377090454,model,validation,HELA,4
0,-0.01615092344582081,-0.0041152797639369965,0.28877347707748413,0.29155582189559937,shuffled,validation,HELA,4
1,-0.0007367401849478483,-0.0027391500771045685,0.300270676612854,0.2937929630279541,shuffled,validation,HELA,4
2,0.008436276577413082,0.0009638414485380054,0.29267585277557373,0.29072487354278564,shuffled,validation,HELA,4
3,-0.0037395493127405643,-0.00726728281006217,0.29749733209609985,0.28867238759994507,shuffled,validation,HELA,4
4,0.013552353717386723,0.011361113749444485,0.29522472620010376,0.2737780809402466,shuffled,validation,HELA,4
