,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,model,set,cell,iteration
0,0.6936704516410828,0.6949555277824402,0.7642189264297485,0.7658289074897766,model,validation,HEPG2,0
1,0.6669012308120728,0.6665903925895691,0.746759295463562,0.7439307570457458,model,validation,HEPG2,0
2,0.6890988349914551,0.6860039830207825,0.7584080100059509,0.7540551424026489,model,validation,HEPG2,0
3,0.6805967688560486,0.6873608231544495,0.7537539601325989,0.7573794722557068,model,validation,HEPG2,0
4,0.6798162460327148,0.6790896058082581,0.7528828382492065,0.749873161315918,model,validation,HEPG2,0
0,-0.014669185504317284,-0.011533073149621487,0.3339135944843292,0.3415312170982361,shuffled,validation,HEPG2,0
1,0.0019410409731790423,-0.0047740633599460125,0.33890050649642944,0.33989688754081726,shuffled,validation,HEPG2,0
2,0.0005394023028202355,0.003954674117267132,0.3365812301635742,0.3278595209121704,shuffled,validation,HEPG2,0
3,0.004344305954873562,0.004609584342688322,0.3395880162715912,0.34595823287963867,shuffled,validation,HEPG2,0
4,-0.006703968625515699,9.146155935013667e-05,0.3370860517024994,0.3346417546272278,shuffled,validation,HEPG2,0
0,0.6899831891059875,0.705263614654541,0.757902204990387,0.7702308297157288,model,validation,HEPG2,1
1,0.6623015999794006,0.6716538071632385,0.7406136393547058,0.7500717043876648,model,validation,HEPG2,1
2,0.6827481389045715,0.6916602849960327,0.7515310049057007,0.7616314888000488,model,validation,HEPG2,1
3,0.6776498556137085,0.6902910470962524,0.7516301274299622,0.7603325247764587,model,validation,HEPG2,1
4,0.6743095517158508,0.6824593544006348,0.7495795488357544,0.7552258372306824,model,validation,HEPG2,1
0,0.01584639772772789,0.005749792791903019,0.33947792649269104,0.3352109491825104,shuffled,validation,HEPG2,1
1,-0.0031991172581911087,0.0051408801227808,0.3343658745288849,0.3382161855697632,shuffled,validation,HEPG2,1
2,0.0032157718669623137,0.01562856137752533,0.34447821974754333,0.33397188782691956,shuffled,validation,HEPG2,1
3,0.0049423701129853725,-0.0031213227193802595,0.341834157705307,0.3401516079902649,shuffled,validation,HEPG2,1
4,0.0010797324357554317,-0.005772055126726627,0.3397386074066162,0.32841813564300537,shuffled,validation,HEPG2,1
0,0.6907414793968201,0.7012569904327393,0.7606249451637268,0.7663098573684692,model,validation,HEPG2,2
1,0.6648191213607788,0.672173023223877,0.7430179119110107,0.7474333643913269,model,validation,HEPG2,2
2,0.6853054761886597,0.6925625205039978,0.7540720105171204,0.7597252130508423,model,validation,HEPG2,2
3,0.6805785298347473,0.6891912817955017,0.7523458003997803,0.7593454718589783,model,validation,HEPG2,2
4,0.6767082214355469,0.6790024042129517,0.7516871094703674,0.7531673312187195,model,validation,HEPG2,2
0,-0.013362392783164978,-0.009716026484966278,0.33409470319747925,0.33893370628356934,shuffled,validation,HEPG2,2
1,-0.00312310503795743,-0.006661635357886553,0.3416118919849396,0.3352043926715851,shuffled,validation,HEPG2,2
2,0.0053549474105238914,0.0005147770280018449,0.3346400856971741,0.339832067489624,shuffled,validation,HEPG2,2
3,-0.016525160521268845,-0.01062488928437233,0.33684054017066956,0.34355035424232483,shuffled,validation,HEPG2,2
4,-0.011609621345996857,-0.01623992808163166,0.34445032477378845,0.33333882689476013,shuffled,validation,HEPG2,2
0,0.6998282074928284,0.6963416337966919,0.7630912661552429,0.7626497745513916,model,validation,HEPG2,3
1,0.6710672974586487,0.6665030121803284,0.7460505962371826,0.7423991560935974,model,validation,HEPG2,3
2,0.6893071532249451,0.6832859516143799,0.7554202079772949,0.7550255060195923,model,validation,HEPG2,3
3,0.686772882938385,0.6777936220169067,0.75643390417099,0.754665732383728,model,validation,HEPG2,3
4,0.6802102327346802,0.6765763759613037,0.7527807354927063,0.7506943345069885,model,validation,HEPG2,3
0,0.0006227673729881644,-0.00045102089643478394,0.34039318561553955,0.33201169967651367,shuffled,validation,HEPG2,3
1,-0.0031500221230089664,0.0008681802428327501,0.34237992763519287,0.33538755774497986,shuffled,validation,HEPG2,3
2,0.01199076697230339,0.01355661265552044,0.33557191491127014,0.3411065340042114,shuffled,validation,HEPG2,3
3,-0.0021216541063040495,0.008321678265929222,0.3391539752483368,0.3363528847694397,shuffled,validation,HEPG2,3
4,0.011421225033700466,0.006702589802443981,0.3355678617954254,0.3388894200325012,shuffled,validation,HEPG2,3
0,0.6882247924804688,0.7068482637405396,0.7582700848579407,0.7703710198402405,model,validation,HEPG2,4
1,0.66237872838974,0.676074206829071,0.7413463592529297,0.7508116364479065,model,validation,HEPG2,4
2,0.6818053722381592,0.6964686512947083,0.750856339931488,0.7645871639251709,model,validation,HEPG2,4
3,0.6775826215744019,0.6924830079078674,0.7525249123573303,0.7606078386306763,model,validation,HEPG2,4
4,0.6704691648483276,0.686420202255249,0.7455730438232422,0.7583673000335693,model,validation,HEPG2,4
0,-0.003949626814574003,0.003868009429425001,0.3325107991695404,0.33497849106788635,shuffled,validation,HEPG2,4
1,-0.011870858259499073,-0.010313989594578743,0.3506602942943573,0.3409624695777893,shuffled,validation,HEPG2,4
2,0.0016562981763854623,-0.008899709209799767,0.35012197494506836,0.3216947615146637,shuffled,validation,HEPG2,4
3,-0.0053176311776041985,-0.012310530059039593,0.3289625942707062,0.3499529957771301,shuffled,validation,HEPG2,4
4,-0.004952397663146257,-0.0023153580259531736,0.3359740972518921,0.3352130651473999,shuffled,validation,HEPG2,4
