,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,model,set,cell,iteration
0,0.7238335609436035,0.7186709046363831,0.7757036685943604,0.7712278366088867,model,validation,HT29,0
1,0.7213010787963867,0.7170621156692505,0.7742146849632263,0.7697001099586487,model,validation,HT29,0
2,0.7137696743011475,0.7138792872428894,0.7675511240959167,0.7671157717704773,model,validation,HT29,0
3,0.7226869463920593,0.7237036824226379,0.7774980068206787,0.7755748629570007,model,validation,HT29,0
4,0.7210564613342285,0.7187114953994751,0.7753213047981262,0.7709978222846985,model,validation,HT29,0
0,-0.006627718918025494,-0.0037511384580284357,0.31215614080429077,0.32012319564819336,shuffled,validation,HT29,0
1,0.014117268845438957,0.010906455107033253,0.31336548924446106,0.31768563389778137,shuffled,validation,HT29,0
2,-0.015506869181990623,-0.017446674406528473,0.3203194737434387,0.31528976559638977,shuffled,validation,HT29,0
3,0.0028215497732162476,-0.0008073781500570476,0.31091776490211487,0.30730313062667847,shuffled,validation,HT29,0
4,-0.005623548291623592,0.008003567345440388,0.3081277012825012,0.3158276081085205,shuffled,validation,HT29,0
0,0.7277491092681885,0.7166217565536499,0.775827944278717,0.7677645087242126,model,validation,HT29,1
1,0.7245370745658875,0.7150908708572388,0.7755335569381714,0.7675392031669617,model,validation,HT29,1
2,0.7229775190353394,0.7064463496208191,0.7715023159980774,0.7610957622528076,model,validation,HT29,1
3,0.7306830286979675,0.7188931107521057,0.7781068682670593,0.7720707654953003,model,validation,HT29,1
4,0.7282904386520386,0.7128947377204895,0.779428243637085,0.7694312334060669,model,validation,HT29,1
0,0.004089395049959421,0.0006638267659582198,0.30484575033187866,0.29733937978744507,shuffled,validation,HT29,1
1,0.004155758768320084,-0.00019505515228956938,0.31404125690460205,0.3100980222225189,shuffled,validation,HT29,1
2,-0.00037221991806291044,-0.0021934625692665577,0.2961207330226898,0.3181523084640503,shuffled,validation,HT29,1
3,0.0017654466209933162,0.00037749705370515585,0.30396130681037903,0.3111730217933655,shuffled,validation,HT29,1
4,-0.008026355877518654,-0.003018804360181093,0.30950289964675903,0.31993231177330017,shuffled,validation,HT29,1
0,0.7184701561927795,0.7226247787475586,0.7729620933532715,0.7733427286148071,model,validation,HT29,2
1,0.7189512252807617,0.7232170104980469,0.7688814997673035,0.7709224820137024,model,validation,HT29,2
2,0.7117893695831299,0.7159740924835205,0.7648590207099915,0.7684475779533386,model,validation,HT29,2
3,0.7212855219841003,0.7271867394447327,0.7727134823799133,0.7749460935592651,model,validation,HT29,2
4,0.7215165495872498,0.7189652323722839,0.7749911546707153,0.7700377106666565,model,validation,HT29,2
0,0.006005256902426481,0.005179699510335922,0.3154416084289551,0.304311603307724,shuffled,validation,HT29,2
1,-0.008813048712909222,-0.0018321092939004302,0.29894599318504333,0.2983485460281372,shuffled,validation,HT29,2
2,0.001964177004992962,-0.0023593225050717592,0.3144318461418152,0.319082647562027,shuffled,validation,HT29,2
3,-0.0006680339574813843,-0.005075324326753616,0.30386802554130554,0.30835720896720886,shuffled,validation,HT29,2
4,0.0029896714258939028,0.012150668539106846,0.3226446211338043,0.3080914318561554,shuffled,validation,HT29,2
0,0.7249199151992798,0.7208523750305176,0.7724876999855042,0.772526741027832,model,validation,HT29,3
1,0.7207106947898865,0.7141007781028748,0.771776556968689,0.7681549787521362,model,validation,HT29,3
2,0.7190830707550049,0.7132849097251892,0.7686724066734314,0.7663041949272156,model,validation,HT29,3
3,0.7273668646812439,0.7223116159439087,0.7766306400299072,0.7748552560806274,model,validation,HT29,3
4,0.7232939004898071,0.721001148223877,0.7723868489265442,0.7736251950263977,model,validation,HT29,3
0,-0.0033770122099667788,-0.0036624593194574118,0.30118250846862793,0.3136312961578369,shuffled,validation,HT29,3
1,-0.010453390888869762,-0.0027324510738253593,0.30458444356918335,0.30871617794036865,shuffled,validation,HT29,3
2,0.006301532499492168,0.013954597525298595,0.3069536089897156,0.31150129437446594,shuffled,validation,HT29,3
3,0.007622836623340845,0.006450807210057974,0.3097960650920868,0.3107523024082184,shuffled,validation,HT29,3
4,-0.013905717059969902,-0.013395796529948711,0.31160062551498413,0.31477090716362,shuffled,validation,HT29,3
0,0.7280794978141785,0.7128961682319641,0.7777827382087708,0.7660970091819763,model,validation,HT29,4
1,0.7260510921478271,0.713887095451355,0.7760005593299866,0.764056921005249,model,validation,HT29,4
2,0.7181472182273865,0.7130554914474487,0.7694059014320374,0.7653168439865112,model,validation,HT29,4
3,0.7291484475135803,0.7162975668907166,0.7800646424293518,0.7694718241691589,model,validation,HT29,4
4,0.7271703481674194,0.7143000364303589,0.7795847058296204,0.768801748752594,model,validation,HT29,4
0,0.0001639503170736134,-0.0019990054424852133,0.31088513135910034,0.30471867322921753,shuffled,validation,HT29,4
1,0.008119658567011356,0.012908807955682278,0.31023970246315,0.31506940722465515,shuffled,validation,HT29,4
2,-0.008012011647224426,-0.006284387782216072,0.30854374170303345,0.30456674098968506,shuffled,validation,HT29,4
3,-0.0007483902736566961,-0.0021695110481232405,0.3162568509578705,0.3046686351299286,shuffled,validation,HT29,4
4,-0.0069673932157456875,-0.009637192822992802,0.3165243864059448,0.3017110526561737,shuffled,validation,HT29,4
