,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,model,set,cell,iteration
0,0.6940879225730896,0.7156211137771606,0.7491862773895264,0.7642052173614502,model,validation,MCF10A,0
1,0.6924774050712585,0.7037133574485779,0.7452517151832581,0.7557488679885864,model,validation,MCF10A,0
2,0.6480475068092346,0.6528342962265015,0.7057418823242188,0.7068997025489807,model,validation,MCF10A,0
3,0.6402997970581055,0.6484255194664001,0.7081631422042847,0.7102199196815491,model,validation,MCF10A,0
4,0.6876835227012634,0.6921720504760742,0.7460541129112244,0.75003981590271,model,validation,MCF10A,0
0,0.008409054018557072,-0.011199694126844406,0.2686987817287445,0.2770788073539734,shuffled,validation,MCF10A,0
1,0.00949753075838089,-0.0033516776748001575,0.26220741868019104,0.2660347521305084,shuffled,validation,MCF10A,0
2,-0.015955736860632896,-0.016063937917351723,0.2529350221157074,0.26270848512649536,shuffled,validation,MCF10A,0
3,-0.008547794073820114,-0.005873693618923426,0.2517285943031311,0.26642242074012756,shuffled,validation,MCF10A,0
4,-0.010159090161323547,0.0013949021231383085,0.25982120633125305,0.2508000135421753,shuffled,validation,MCF10A,0
