,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,model,set,cell,iteration
0,0.6260099411010742,0.6163539886474609,0.7090253233909607,0.6983954310417175,model,validation,NPC,0
1,0.6554140448570251,0.642182469367981,0.7285203337669373,0.7174864411354065,model,validation,NPC,0
2,0.6667245030403137,0.658840000629425,0.7374938726425171,0.7336907982826233,model,validation,NPC,0
3,0.6735689043998718,0.6669965386390686,0.7352659106254578,0.726686418056488,model,validation,NPC,0
4,0.6570079922676086,0.6416754722595215,0.7293713688850403,0.7198646664619446,model,validation,NPC,0
0,0.0021883808076381683,-0.003478021826595068,0.303372859954834,0.3010702133178711,shuffled,validation,NPC,0
1,-0.002371434587985277,-0.0027397372759878635,0.3183309733867645,0.32212337851524353,shuffled,validation,NPC,0
2,-4.565593917504884e-05,0.0034641684032976627,0.31654444336891174,0.3104054033756256,shuffled,validation,NPC,0
3,0.0055242800153791904,-0.007496192120015621,0.30165451765060425,0.30318617820739746,shuffled,validation,NPC,0
4,-0.004368399735540152,-0.01357035618275404,0.3099597692489624,0.3045327663421631,shuffled,validation,NPC,0
0,0.6142701506614685,0.6266987919807434,0.7021759152412415,0.70734041929245,model,validation,NPC,1
1,0.6346719861030579,0.6571782231330872,0.7195361256599426,0.7241062521934509,model,validation,NPC,1
2,0.6544848084449768,0.6701741218566895,0.7277610898017883,0.7421036958694458,model,validation,NPC,1
3,0.667661190032959,0.6765276789665222,0.7299665212631226,0.7343915104866028,model,validation,NPC,1
4,0.6478261351585388,0.6491838097572327,0.7223591804504395,0.7227233648300171,model,validation,NPC,1
0,-0.001417438150383532,-0.0028607819695025682,0.3042372167110443,0.3084028363227844,shuffled,validation,NPC,1
1,-0.007843907922506332,-0.010947245173156261,0.3119014501571655,0.30386826395988464,shuffled,validation,NPC,1
2,0.0035283726174384356,0.0071556358598172665,0.3035343289375305,0.3201065957546234,shuffled,validation,NPC,1
3,-0.004440609365701675,-0.005975482054054737,0.30199089646339417,0.30849844217300415,shuffled,validation,NPC,1
4,0.0007805463392287493,0.003346598707139492,0.3149033784866333,0.30170533061027527,shuffled,validation,NPC,1
0,0.6295381188392639,0.6133463382720947,0.7085081934928894,0.697263240814209,model,validation,NPC,2
1,0.6594924330711365,0.6298456192016602,0.7312875986099243,0.7116425037384033,model,validation,NPC,2
2,0.6726496815681458,0.6544373035430908,0.7432787418365479,0.729117214679718,model,validation,NPC,2
3,0.6755369901657104,0.6643548607826233,0.7373418807983398,0.7289303541183472,model,validation,NPC,2
4,0.6539586186408997,0.6389522552490234,0.7291114926338196,0.7170901894569397,model,validation,NPC,2
0,0.0011992237996309996,0.009957641363143921,0.3154942989349365,0.29654520750045776,shuffled,validation,NPC,2
1,0.02115122228860855,0.0028579409699887037,0.3191978931427002,0.3129701018333435,shuffled,validation,NPC,2
2,-0.013756735250353813,-0.009735978208482265,0.31281235814094543,0.3065776526927948,shuffled,validation,NPC,2
3,0.003021526848897338,-0.013202347792685032,0.3010779917240143,0.3021909296512604,shuffled,validation,NPC,2
4,-0.007982071489095688,-0.0036567747592926025,0.3045026361942291,0.31704631447792053,shuffled,validation,NPC,2
0,0.6213346123695374,0.6162768006324768,0.7036236524581909,0.705004096031189,model,validation,NPC,3
1,0.6477022171020508,0.649218738079071,0.7274842262268066,0.7232592105865479,model,validation,NPC,3
2,0.6594564914703369,0.656956136226654,0.7383481860160828,0.7315509915351868,model,validation,NPC,3
3,0.6685961484909058,0.6731300950050354,0.7322304248809814,0.7311375141143799,model,validation,NPC,3
4,0.6457383036613464,0.6459964513778687,0.7244533896446228,0.7210363745689392,model,validation,NPC,3
0,0.005941059440374374,0.008118056692183018,0.3167431354522705,0.31351757049560547,shuffled,validation,NPC,3
1,0.017978420481085777,0.010204609483480453,0.2965889275074005,0.31402507424354553,shuffled,validation,NPC,3
2,0.005313018336892128,-0.0026017220225185156,0.31094974279403687,0.30624479055404663,shuffled,validation,NPC,3
3,-0.009440894238650799,0.00184538122266531,0.29446300864219666,0.3100440502166748,shuffled,validation,NPC,3
4,0.007979100570082664,0.0028188929427415133,0.30725958943367004,0.3089812397956848,shuffled,validation,NPC,3
0,0.6137194633483887,0.6268185973167419,0.7010675072669983,0.7058187127113342,model,validation,NPC,4
1,0.6479927897453308,0.6578910946846008,0.7167907357215881,0.7285816073417664,model,validation,NPC,4
2,0.6529693603515625,0.6685412526130676,0.7308276295661926,0.74031001329422,model,validation,NPC,4
3,0.6653695702552795,0.6720259785652161,0.7244055867195129,0.7345764636993408,model,validation,NPC,4
4,0.6435518264770508,0.6428356766700745,0.7219094634056091,0.7265596389770508,model,validation,NPC,4
0,-0.015840750187635422,-0.001864242134615779,0.31620660424232483,0.30729761719703674,shuffled,validation,NPC,4
1,0.011518768966197968,0.004040435887873173,0.29850324988365173,0.30575069785118103,shuffled,validation,NPC,4
2,0.00013382839097175747,0.013446444645524025,0.3237062394618988,0.32004794478416443,shuffled,validation,NPC,4
3,-0.018352817744016647,-0.011849393136799335,0.2996422350406647,0.2999092638492584,shuffled,validation,NPC,4
4,0.02335616573691368,0.02342930994927883,0.30754444003105164,0.30074331164360046,shuffled,validation,NPC,4
