,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,model,set,cell,iteration
0,0.7138688564300537,0.7179808616638184,0.8300825953483582,0.8306812644004822,model,validation,U2OS,0
1,0.6968040466308594,0.7058036923408508,0.8341631889343262,0.8360819220542908,model,validation,U2OS,0
2,0.6934497356414795,0.7083748579025269,0.8227007985115051,0.8249959349632263,model,validation,U2OS,0
3,0.7005757689476013,0.7020066380500793,0.8106825947761536,0.826958954334259,model,validation,U2OS,0
4,0.7263568043708801,0.7309524416923523,0.823938250541687,0.8290623426437378,model,validation,U2OS,0
0,0.010480642318725586,0.0060482691042125225,0.265500009059906,0.2844816744327545,shuffled,validation,U2OS,0
1,-0.0002171100932173431,-0.0004439287877175957,0.27775463461875916,0.29343053698539734,shuffled,validation,U2OS,0
2,0.0012837214162573218,0.008439047262072563,0.2513286769390106,0.2478318065404892,shuffled,validation,U2OS,0
3,-0.01708829402923584,-0.023623265326023102,0.23910875618457794,0.24296927452087402,shuffled,validation,U2OS,0
4,-0.0010361778549849987,-0.003848121501505375,0.23776550590991974,0.2552100718021393,shuffled,validation,U2OS,0
0,0.7003536820411682,0.7066709995269775,0.8327215909957886,0.8302804231643677,model,validation,U2OS,1
1,0.6972092986106873,0.6815297603607178,0.8332164287567139,0.8360686898231506,model,validation,U2OS,1
2,0.7113822102546692,0.6926804184913635,0.8266924619674683,0.8221899271011353,model,validation,U2OS,1
3,0.7165881395339966,0.7065826654434204,0.8180225491523743,0.8192890882492065,model,validation,U2OS,1
4,0.7254928350448608,0.712424099445343,0.8255593776702881,0.8245427012443542,model,validation,U2OS,1
0,0.028617622330784798,0.02439962886273861,0.2681840658187866,0.26384082436561584,shuffled,validation,U2OS,1
1,0.004563561640679836,-0.003518800251185894,0.2840471863746643,0.27911457419395447,shuffled,validation,U2OS,1
2,0.00652796495705843,-0.00279107759706676,0.24810422956943512,0.2410224974155426,shuffled,validation,U2OS,1
3,-0.0043237353675067425,0.0005585596081800759,0.2337389588356018,0.24123303592205048,shuffled,validation,U2OS,1
4,0.009596366435289383,-0.0016636806540191174,0.24637223780155182,0.25190433859825134,shuffled,validation,U2OS,1
0,0.7108657360076904,0.7123011350631714,0.834729015827179,0.8322163224220276,model,validation,U2OS,2
1,0.7048963904380798,0.6941751837730408,0.8348203897476196,0.8351911902427673,model,validation,U2OS,2
2,0.707060694694519,0.7048361897468567,0.8246158361434937,0.822214663028717,model,validation,U2OS,2
3,0.6873509883880615,0.7067251801490784,0.8183210492134094,0.8178267478942871,model,validation,U2OS,2
4,0.726970911026001,0.7249866127967834,0.8269739747047424,0.8261153697967529,model,validation,U2OS,2
0,0.01132052019238472,0.014415833167731762,0.2628333270549774,0.26310208439826965,shuffled,validation,U2OS,2
1,0.005173012148588896,0.00029267295030876994,0.270853728055954,0.2823885679244995,shuffled,validation,U2OS,2
2,0.00734759122133255,0.0226912759244442,0.258892297744751,0.2706592082977295,shuffled,validation,U2OS,2
3,-0.008517337962985039,-0.01767745241522789,0.24761249125003815,0.23838147521018982,shuffled,validation,U2OS,2
4,0.007756155449897051,0.003838334931060672,0.24771009385585785,0.24505102634429932,shuffled,validation,U2OS,2
0,0.7135878205299377,0.7211621403694153,0.8316659927368164,0.8330742716789246,model,validation,U2OS,3
1,0.7061973810195923,0.7041985392570496,0.8362393975257874,0.8356848359107971,model,validation,U2OS,3
2,0.7119926810264587,0.708620548248291,0.8237563967704773,0.8209032416343689,model,validation,U2OS,3
3,0.7021569013595581,0.7025144100189209,0.8177852630615234,0.8206791877746582,model,validation,U2OS,3
4,0.6920075416564941,0.6997905373573303,0.8273289203643799,0.8256450295448303,model,validation,U2OS,3
0,-0.01186417881399393,-0.009690734557807446,0.24600839614868164,0.2674993574619293,shuffled,validation,U2OS,3
1,0.0027841029223054647,0.01269169244915247,0.2849784791469574,0.2802599370479584,shuffled,validation,U2OS,3
2,-0.008625819347798824,0.010522386059165001,0.25653594732284546,0.25693973898887634,shuffled,validation,U2OS,3
3,-0.02197628654539585,-0.0185579564422369,0.24588707089424133,0.25524064898490906,shuffled,validation,U2OS,3
4,-0.01548007968813181,-0.011550292372703552,0.2469576895236969,0.24107316136360168,shuffled,validation,U2OS,3
0,0.7162810564041138,0.7235249280929565,0.8294039368629456,0.830978274345398,model,validation,U2OS,4
1,0.7119852304458618,0.714837908744812,0.8325327634811401,0.8373823761940002,model,validation,U2OS,4
2,0.6872928142547607,0.6993199586868286,0.8190154433250427,0.8238527774810791,model,validation,U2OS,4
3,0.7031652927398682,0.7140259146690369,0.8186653852462769,0.8193665742874146,model,validation,U2OS,4
4,0.7231782078742981,0.7190738320350647,0.8207212090492249,0.8311563730239868,model,validation,U2OS,4
0,0.010746203362941742,0.0032799821346998215,0.2612227499485016,0.2526264488697052,shuffled,validation,U2OS,4
1,-0.013868997804820538,-0.013162520714104176,0.28595301508903503,0.27747777104377747,shuffled,validation,U2OS,4
2,-0.015210757963359356,-0.009234985336661339,0.25828948616981506,0.2518092095851898,shuffled,validation,U2OS,4
3,0.0063155293464660645,0.013786060735583305,0.23379841446876526,0.2585297226905823,shuffled,validation,U2OS,4
4,-0.00408431189134717,0.0011303756618872285,0.2559821903705597,0.2520919442176819,shuffled,validation,U2OS,4
