,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,model,set,cell,iteration
0,0.636857271194458,0.6366126537322998,0.7761551737785339,0.7725470066070557,model,validation,VCAP,0
1,0.6160783171653748,0.6159802675247192,0.7828346490859985,0.7773094177246094,model,validation,VCAP,0
2,0.6327496767044067,0.6194818019866943,0.7811062335968018,0.7778478860855103,model,validation,VCAP,0
3,0.6147570610046387,0.6073595881462097,0.7603216767311096,0.7596225738525391,model,validation,VCAP,0
4,0.6471114158630371,0.6392450332641602,0.7745510339736938,0.7730071544647217,model,validation,VCAP,0
0,-0.0008609426440671086,0.0030642827041447163,0.3097253143787384,0.3258768320083618,shuffled,validation,VCAP,0
1,0.00933837704360485,-0.0010438988683745265,0.31680503487586975,0.3240717947483063,shuffled,validation,VCAP,0
2,0.0011752445716410875,0.002264742972329259,0.3182623088359833,0.3187393844127655,shuffled,validation,VCAP,0
3,0.0027963032480329275,-0.006658397614955902,0.31645187735557556,0.3157202899456024,shuffled,validation,VCAP,0
4,-0.004217401146888733,0.008505851961672306,0.3195854425430298,0.32645997405052185,shuffled,validation,VCAP,0
0,0.6325774192810059,0.6347548961639404,0.7733035683631897,0.7772600650787354,model,validation,VCAP,1
1,0.6258371472358704,0.6328840255737305,0.77640700340271,0.782845139503479,model,validation,VCAP,1
2,0.6238883137702942,0.633400022983551,0.7775068879127502,0.7812420129776001,model,validation,VCAP,1
3,0.6107037663459778,0.6123030781745911,0.7566264867782593,0.7622524499893188,model,validation,VCAP,1
4,0.631397545337677,0.6353979110717773,0.7694536447525024,0.7746064066886902,model,validation,VCAP,1
0,-0.0014649290824308991,-0.010362386703491211,0.3200373351573944,0.32143867015838623,shuffled,validation,VCAP,1
1,-0.009200376458466053,-0.005587149411439896,0.3271247446537018,0.3224625587463379,shuffled,validation,VCAP,1
2,0.00341613357886672,0.008902729488909245,0.3269438147544861,0.3252440392971039,shuffled,validation,VCAP,1
3,0.0021243332885205746,0.004295267164707184,0.3239804804325104,0.32265588641166687,shuffled,validation,VCAP,1
4,0.011970695108175278,0.009055699221789837,0.31609687209129333,0.3256780207157135,shuffled,validation,VCAP,1
0,0.6250485181808472,0.6205443143844604,0.778921902179718,0.7706736922264099,model,validation,VCAP,2
1,0.6325656175613403,0.6194730997085571,0.7839997410774231,0.778795599937439,model,validation,VCAP,2
2,0.6474679112434387,0.6369308233261108,0.7802192568778992,0.7802512049674988,model,validation,VCAP,2
3,0.6058809757232666,0.5961847901344299,0.7632341384887695,0.7577123641967773,model,validation,VCAP,2
4,0.6417262554168701,0.6390954852104187,0.7741891145706177,0.7717030644416809,model,validation,VCAP,2
0,-0.004042455460876226,-0.0018358693923801184,0.321218341588974,0.33435991406440735,shuffled,validation,VCAP,2
1,-0.00617296202108264,-0.016259148716926575,0.31951239705085754,0.31911125779151917,shuffled,validation,VCAP,2
2,-0.03268007934093475,-0.019656386226415634,0.3193744421005249,0.32157936692237854,shuffled,validation,VCAP,2
3,0.014566740952432156,0.005235901102423668,0.30899882316589355,0.32475414872169495,shuffled,validation,VCAP,2
4,0.015253693796694279,0.013211981393396854,0.32360512018203735,0.32929521799087524,shuffled,validation,VCAP,2
0,0.6340456604957581,0.6498852372169495,0.7724849581718445,0.7788184285163879,model,validation,VCAP,3
1,0.6215133666992188,0.6267557740211487,0.7759676575660706,0.7846628427505493,model,validation,VCAP,3
2,0.63910311460495,0.6547837257385254,0.7775416970252991,0.7808905243873596,model,validation,VCAP,3
3,0.6182928681373596,0.616250216960907,0.7577626705169678,0.7600223422050476,model,validation,VCAP,3
4,0.63747239112854,0.6465986967086792,0.7708542346954346,0.7760546803474426,model,validation,VCAP,3
0,0.014675609767436981,0.019642068073153496,0.3196090757846832,0.3281249403953552,shuffled,validation,VCAP,3
1,-0.004252818413078785,-0.007151189260184765,0.3221333622932434,0.3105945587158203,shuffled,validation,VCAP,3
2,-0.012733224779367447,-0.01612967438995838,0.3213566839694977,0.3212977945804596,shuffled,validation,VCAP,3
3,-0.0018704502144828439,-0.008367435075342655,0.304081529378891,0.3237873911857605,shuffled,validation,VCAP,3
4,0.006064936053007841,0.004115760792046785,0.32432347536087036,0.31791558861732483,shuffled,validation,VCAP,3
0,0.6403660178184509,0.644343376159668,0.7736132740974426,0.7763553261756897,model,validation,VCAP,4
1,0.6320683360099792,0.6304455399513245,0.7786499261856079,0.7802589535713196,model,validation,VCAP,4
2,0.6415941715240479,0.6443502306938171,0.7791727781295776,0.7792126536369324,model,validation,VCAP,4
3,0.6157671809196472,0.6097192168235779,0.7609111666679382,0.7579491138458252,model,validation,VCAP,4
4,0.6409222483634949,0.6389102339744568,0.7713764309883118,0.7720080614089966,model,validation,VCAP,4
0,-0.004497750196605921,-0.013409375213086605,0.32054415345191956,0.3333873152732849,shuffled,validation,VCAP,4
1,0.020643463358283043,0.013331321999430656,0.31896892189979553,0.3192073702812195,shuffled,validation,VCAP,4
2,-0.007841404527425766,-0.0068679810501635075,0.32265469431877136,0.31767556071281433,shuffled,validation,VCAP,4
3,0.003940150141716003,0.003494501579552889,0.31641992926597595,0.3121910095214844,shuffled,validation,VCAP,4
4,0.02584776096045971,0.027709808200597763,0.3272457420825958,0.3151227533817291,shuffled,validation,VCAP,4
