,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,model,set,cell,iteration
0,0.4048735797405243,0.3989202082157135,0.7001062035560608,0.71016526222229,model,validation,YAPC,0
1,0.41446658968925476,0.4272608458995819,0.7022817730903625,0.708379328250885,model,validation,YAPC,0
2,0.4159272015094757,0.43742305040359497,0.7030560374259949,0.6982046365737915,model,validation,YAPC,0
3,0.39749792218208313,0.4132224917411804,0.6765971779823303,0.6744205355644226,model,validation,YAPC,0
4,0.3880949020385742,0.3815184533596039,0.7028687596321106,0.7000998258590698,model,validation,YAPC,0
0,0.0015426573809236288,0.003876799950376153,0.2771679162979126,0.28464800119400024,shuffled,validation,YAPC,0
1,-0.0013577125500887632,0.0004115182673558593,0.3032144606113434,0.27423471212387085,shuffled,validation,YAPC,0
2,0.008501156233251095,-0.011276035569608212,0.27521049976348877,0.28799301385879517,shuffled,validation,YAPC,0
3,-0.004122912418097258,0.010814863257110119,0.2770572304725647,0.26559123396873474,shuffled,validation,YAPC,0
4,0.014791754074394703,0.018390057608485222,0.2707166373729706,0.27070507407188416,shuffled,validation,YAPC,0
0,0.4200531244277954,0.4236244261264801,0.7010735273361206,0.7032354474067688,model,validation,YAPC,1
1,0.41803810000419617,0.4073554277420044,0.7049898505210876,0.7034591436386108,model,validation,YAPC,1
2,0.4045018255710602,0.4189944565296173,0.6974576115608215,0.6997072100639343,model,validation,YAPC,1
3,0.41281476616859436,0.4124394655227661,0.6822353601455688,0.6709076166152954,model,validation,YAPC,1
4,0.3942214548587799,0.38476288318634033,0.695106029510498,0.7103525996208191,model,validation,YAPC,1
0,0.0007948356214910746,0.005304440390318632,0.2754179537296295,0.2749243974685669,shuffled,validation,YAPC,1
1,-0.0050754244439303875,0.00942471157759428,0.2767622172832489,0.2738399803638458,shuffled,validation,YAPC,1
2,-0.00925408210605383,-0.011698216199874878,0.284845769405365,0.2826453745365143,shuffled,validation,YAPC,1
3,-0.003911233972758055,0.009878438897430897,0.2680662274360657,0.28669750690460205,shuffled,validation,YAPC,1
4,0.0016971189761534333,0.018527768552303314,0.26396021246910095,0.26716259121894836,shuffled,validation,YAPC,1
0,0.4257109761238098,0.41263365745544434,0.7052642107009888,0.7053053975105286,model,validation,YAPC,2
1,0.37281739711761475,0.4033760726451874,0.7064355611801147,0.7075374722480774,model,validation,YAPC,2
2,0.41177380084991455,0.38443246483802795,0.7016049027442932,0.7003215551376343,model,validation,YAPC,2
3,0.3882201910018921,0.37999919056892395,0.6667472124099731,0.6889277696609497,model,validation,YAPC,2
4,0.4193190634250641,0.4144463539123535,0.6992268562316895,0.704204261302948,model,validation,YAPC,2
0,0.01602080650627613,0.01726638153195381,0.27785640954971313,0.2711903154850006,shuffled,validation,YAPC,2
1,-0.01670217141509056,-0.01773688569664955,0.2861403524875641,0.27854251861572266,shuffled,validation,YAPC,2
2,0.017341258004307747,0.01706528663635254,0.2715853154659271,0.2724413573741913,shuffled,validation,YAPC,2
3,-0.016412992030382156,-0.017999796196818352,0.27148541808128357,0.2702728509902954,shuffled,validation,YAPC,2
4,0.011127219535410404,-0.010919864289462566,0.27499714493751526,0.2748507559299469,shuffled,validation,YAPC,2
0,0.4024326205253601,0.43121984601020813,0.7057914137840271,0.7030531167984009,model,validation,YAPC,3
1,0.4111492335796356,0.3938741385936737,0.7100348472595215,0.704191267490387,model,validation,YAPC,3
2,0.4041125774383545,0.4051256477832794,0.6875823736190796,0.7070250511169434,model,validation,YAPC,3
3,0.4048287570476532,0.40586182475090027,0.6636013388633728,0.690568745136261,model,validation,YAPC,3
4,0.40597182512283325,0.4154353141784668,0.6998423933982849,0.7026107311248779,model,validation,YAPC,3
0,-0.015527209267020226,-0.005384605843573809,0.2734985947608948,0.2766861319541931,shuffled,validation,YAPC,3
1,0.02941461279988289,0.012668412178754807,0.2856062352657318,0.2566699683666229,shuffled,validation,YAPC,3
2,0.014047530479729176,0.016190659254789352,0.2843780815601349,0.27224332094192505,shuffled,validation,YAPC,3
3,-0.0030769906006753445,-0.007970156148076057,0.2538348436355591,0.2753225564956665,shuffled,validation,YAPC,3
4,-0.003604823024943471,-0.006563365459442139,0.27307870984077454,0.27555224299430847,shuffled,validation,YAPC,3
0,0.4071902334690094,0.4301443099975586,0.7000950574874878,0.7063514590263367,model,validation,YAPC,4
1,0.4090295135974884,0.4071459174156189,0.7036496996879578,0.7012054920196533,model,validation,YAPC,4
2,0.4151782989501953,0.41841885447502136,0.6912075281143188,0.7071408033370972,model,validation,YAPC,4
3,0.396823525428772,0.4050585627555847,0.6771643161773682,0.6803063154220581,model,validation,YAPC,4
4,0.43083295226097107,0.4197878837585449,0.7001476287841797,0.7020722031593323,model,validation,YAPC,4
0,0.005760361906141043,0.004070691764354706,0.26936110854148865,0.2760625183582306,shuffled,validation,YAPC,4
1,0.012342700734734535,0.01378654595464468,0.2773737609386444,0.26499828696250916,shuffled,validation,YAPC,4
2,-0.015580723993480206,-0.01100280974060297,0.2605331242084503,0.26268309354782104,shuffled,validation,YAPC,4
3,-0.009852559305727482,-0.015556748025119305,0.2638663351535797,0.27012524008750916,shuffled,validation,YAPC,4
4,-0.014221402816474438,0.0003610017884057015,0.27483561635017395,0.2601710855960846,shuffled,validation,YAPC,4
