,metric,DCS,DCS modified v1,DCS modified v2,Two Autoencoders,MI Autoencoders,direct translation
DCS,pearson,1.0,0.0036105143123296027,0.00032983852077799353,0.00024612812790522973,0.00032983852077799353,0.08897301170181328
DCS modified v1,pearson,0.0,1.0,0.21229383619233155,0.10410988966022681,0.21229383619233155,0.00043963875262656454
DCS modified v2,pearson,0.0,0.0,1.0,0.7913367801006604,0.9698499769931556,0.00018267179110955002
Two Autoencoders,pearson,0.0,0.0,0.0,1.0,0.7913367801006604,0.00018267179110955002
direct translation,pearson,0.0,0.0,0.0,0.0,0.00018267179110955002,1.0
MI Autoencoders,pearson,0.0,0.0,0.0,0.0,1.0,0.0
DCS,spearman,1.0,0.0036105143123296027,0.00024612812790522973,0.00024612812790522973,0.00032983852077799353,0.03763531378731424
DCS modified v1,spearman,0.0,1.0,0.18587673236587576,0.24132159301718004,0.3447042220069576,0.00018267179110955002
DCS modified v2,spearman,0.0,0.0,1.0,1.0,0.5205228832757727,0.00018267179110955002
Two Autoencoders,spearman,0.0,0.0,0.0,1.0,0.6231762238821174,0.00018267179110955002
direct translation,spearman,0.0,0.0,0.0,0.0,0.00018267179110955002,1.0
MI Autoencoders,spearman,0.0,0.0,0.0,0.0,1.0,0.0
DCS,accuracy,1.0,0.00579535854433471,0.00024612812790522973,0.00024612812790522973,0.00032983852077799353,0.06402210128302689
DCS modified v1,accuracy,0.0,1.0,0.08897301170181328,0.08897301170181328,0.16197241048012612,0.00032983852077799353
DCS modified v2,accuracy,0.0,0.0,1.0,0.9698499769931556,0.7337299956962472,0.00018267179110955002
Two Autoencoders,accuracy,0.0,0.0,0.0,1.0,0.8501067391385259,0.00018267179110955002
direct translation,accuracy,0.0,0.0,0.0,0.0,0.00018267179110955002,1.0
MI Autoencoders,accuracy,0.0,0.0,0.0,0.0,1.0,0.0
