,Direct_pearson,Direct_spearman,DirectAcc_ht29,DirectAcc_a375
0,0.49128738,0.415190371,0.642982848,0.642982848
1,0.449772775,0.373708381,0.631104997,0.631104997
2,0.467521191,0.380200343,0.626279001,0.626279001
3,0.420189083,0.338177228,0.61737557,0.61737557
4,0.534992397,0.417309424,0.646876859,0.646876859
5,0.414235532,0.365070861,0.626368233,0.626368233
6,0.30587393,0.271386238,0.59056861,0.59056861
7,0.453184783,0.369135987,0.629967281,0.629967281
8,0.301551938,0.254713233,0.581734583,0.581734583
9,0.381603152,0.307405721,0.604008031,0.604008031
