,Direct_pearson,Direct_spearman,DirectAcc_ht29,DirectAcc_a375
0,0.520685554,0.463031169,0.662730061,0.662730061
1,0.479416609,0.420303551,0.649846626,0.649846626
2,0.500422239,0.432607562,0.644836401,0.644836401
3,0.445523828,0.393393406,0.635889571,0.635889571
4,0.542871654,0.442503306,0.653144172,0.653144172
5,0.456026226,0.433163426,0.65452454,0.65452454
6,0.391251147,0.353916261,0.618404908,0.618404908
7,0.455650717,0.433181901,0.652428425,0.652428425
8,0.373686492,0.337688462,0.610148262,0.610148262
9,0.413971633,0.372399279,0.628808793,0.628808793
