,metric,variation 1,variation 2,variation 3,variation 4,variation 5,variation 6,direct translation
variation 1,pearson,1.0,0.8501067391385259,0.14046504815835495,0.07566157214388704,0.5707503880581739,0.8501067391385259,0.031209012771740218
variation 2,pearson,0.0,1.0,0.14046504815835495,0.10410988966022681,0.5707503880581739,0.6231762238821174,0.031209012771740218
variation 3,pearson,0.0,0.0,1.0,0.7337299956962472,0.4273553138978077,0.12122450301291662,0.0028272720911168077
variation 4,pearson,0.0,0.0,0.0,1.0,0.27303633975118835,0.08897301170181328,0.0013149446697132139
variation 5,pearson,0.0,0.0,0.0,0.0,1.0,0.5205228832757727,0.017257456083119765
variation 6,pearson,0.0,0.0,0.0,0.0,0.0,1.0,0.031209012771740218
direct translation,pearson,0.0,0.0,0.0,0.0,0.0,0.0,1.0
variation 1,spearman,1.0,1.0,0.14046504815835495,0.08897301170181328,0.6231762238821174,0.8501067391385259,0.025748080821108063
variation 2,spearman,0.0,1.0,0.12122450301291662,0.10410988966022681,0.5707503880581739,0.6775849579524755,0.025748080821108063
variation 3,spearman,0.0,0.0,1.0,0.7913367801006604,0.27303633975118835,0.10410988966022681,0.0022022199424970783
variation 4,spearman,0.0,0.0,0.0,1.0,0.27303633975118835,0.08897301170181328,0.0010079762403767444
variation 5,spearman,0.0,0.0,0.0,0.0,1.0,0.5205228832757727,0.009108496398030965
variation 6,spearman,0.0,0.0,0.0,0.0,0.0,1.0,0.031209012771740218
direct translation,spearman,0.0,0.0,0.0,0.0,0.0,0.0,1.0
variation 1,accuracy,1.0,0.9698499769931556,0.10410988966022681,0.08897301170181328,0.6231762238821174,0.8501067391385259,0.025748080821108063
variation 2,accuracy,0.0,1.0,0.10410988966022681,0.08897301170181328,0.5707503880581739,0.7337299956962472,0.025748080821108063
variation 3,accuracy,0.0,0.0,1.0,0.8501067391385259,0.3074894566186813,0.08897301170181328,0.0022022199424970783
variation 4,accuracy,0.0,0.0,0.0,1.0,0.24132159301718004,0.07566157214388704,0.0017062493689195964
variation 5,accuracy,0.0,0.0,0.0,0.0,1.0,0.5205228832757727,0.011329696684474665
variation 6,accuracy,0.0,0.0,0.0,0.0,0.0,1.0,0.031209012771740218
direct translation,accuracy,0.0,0.0,0.0,0.0,0.0,0.0,1.0
