,metric,variation 1,variation 2,variation 3,variation 4,variation 5,variation 6,variation 7
variation 1,pearson,1.0,0.0036105143123296027,0.0036105143123296027,0.0010079762403767444,0.00032983852077799353,0.0022022199424970783,0.0036105143123296027
variation 2,pearson,0.0,1.0,0.6775849579524755,0.5205228832757727,0.21229383619233155,0.5205228832757727,1.0
variation 3,pearson,0.0,0.0,1.0,0.6775849579524755,0.24132159301718004,0.6231762238821174,0.8501067391385259
variation 4,pearson,0.0,0.0,0.0,1.0,0.4273553138978077,0.7913367801006604,0.5205228832757727
variation 5,pearson,0.0,0.0,0.0,0.0,1.0,0.47267559351158717,0.18587673236587576
variation 6,pearson,0.0,0.0,0.0,0.0,0.0,1.0,0.5707503880581739
variation 7,pearson,0.0,0.0,0.0,0.0,0.0,0.0,1.0
variation 1,spearman,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
variation 2,spearman,0.0,1.0,0.0036105143123296027,0.00018267179110955002,0.00018267179110955002,0.0022022199424970783,0.9097218891455553
variation 3,spearman,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.0028272720911168077
variation 4,spearman,0.0,0.0,0.0,1.0,0.0028272720911168077,0.00018267179110955002,0.00018267179110955002
variation 5,spearman,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002
variation 6,spearman,0.0,0.0,0.0,0.0,0.0,1.0,0.0017062493689195964
variation 7,spearman,0.0,0.0,0.0,0.0,0.0,0.0,1.0
variation 1,accuracy,1.0,0.00018165114609146497,0.00018165114609146497,0.00018165114609146497,0.00018165114609146497,0.00018165114609146497,0.00018165114609146497
variation 2,accuracy,0.0,1.0,0.025748080821108063,0.00018267179110955002,0.00018267179110955002,0.00579535854433471,0.7913367801006604
variation 3,accuracy,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002,0.00032983852077799353,0.017257456083119765
variation 4,accuracy,0.0,0.0,0.0,1.0,0.0007685389131627665,0.00018267179110955002,0.00018267179110955002
variation 5,accuracy,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002
variation 6,accuracy,0.0,0.0,0.0,0.0,0.0,1.0,0.009108496398030965
variation 7,accuracy,0.0,0.0,0.0,0.0,0.0,0.0,1.0
