,metric,DCS,DCS modified v1,DCS modified v2,DCS modified v3
DCS,pearson,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
DCS modified v1,pearson,0.0,1.0,0.00018267179110955002,0.00018267179110955002
DCS modified v2,pearson,0.0,0.0,1.0,0.0022022199424970783
DCS modified v3,pearson,0.0,0.0,0.0,1.0
DCS,spearman,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
DCS modified v1,spearman,0.0,1.0,0.00018267179110955002,0.00018267179110955002
DCS modified v2,spearman,0.0,0.0,1.0,0.0013149446697132139
DCS modified v3,spearman,0.0,0.0,0.0,1.0
DCS,sign accuracy,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
DCS modified v1,sign accuracy,0.0,1.0,0.00018267179110955002,0.00018267179110955002
DCS modified v2,sign accuracy,0.0,0.0,1.0,0.0028272720911168077
DCS modified v3,sign accuracy,0.0,0.0,0.0,1.0
