,metric,DCS,DCS modified v1,DCS modified v2,Two Autoencoders,direct translation
DCS,pearson,1.0,0.0022022199424970783,0.00018267179110955002,0.00018267179110955002,0.07566157214388704
DCS modified v1,pearson,0.0,1.0,0.04515456962427901,0.025748080821108063,0.00018267179110955002
DCS modified v2,pearson,0.0,0.0,1.0,0.6775849579524755,0.00018267179110955002
Two Autoencoders,pearson,0.0,0.0,0.0,1.0,0.00018267179110955002
direct translation,pearson,0.0,0.0,0.0,0.0,1.0
DCS,spearman,1.0,0.0010079762403767444,0.00018267179110955002,0.00018267179110955002,0.031209012771740218
DCS modified v1,spearman,0.0,1.0,0.18587673236587576,0.27303633975118835,0.00018267179110955002
DCS modified v2,spearman,0.0,0.0,1.0,0.6231762238821174,0.00018267179110955002
Two Autoencoders,spearman,0.0,0.0,0.0,1.0,0.00018267179110955002
direct translation,spearman,0.0,0.0,0.0,0.0,1.0
DCS,accuracy,1.0,0.0036105143123296027,0.00024612812790522973,0.00024612812790522973,0.04515456962427901
DCS modified v1,accuracy,0.0,1.0,0.14046504815835495,0.3447042220069576,0.00024612812790522973
DCS modified v2,accuracy,0.0,0.0,1.0,0.8205295061094116,0.00018267179110955002
Two Autoencoders,accuracy,0.0,0.0,0.0,1.0,0.00018267179110955002
direct translation,accuracy,0.0,0.0,0.0,0.0,1.0
