,metric,variation 1,variation 2,variation 3,variation 4,variation 5
variation 1,pearson,1.0,0.7913367801006604,0.7913367801006604,0.3846730627355087,0.3846730627355087
variation 2,pearson,0.0,1.0,0.9698499769931556,0.5205228832757727,0.3447042220069576
variation 3,pearson,0.0,0.0,1.0,0.4273553138978077,0.3074894566186813
variation 4,pearson,0.0,0.0,0.0,1.0,0.7913367801006604
variation 5,pearson,0.0,0.0,0.0,0.0,1.0
variation 1,spearman,1.0,0.16197241048012612,0.0013149446697132139,0.3074894566186813,0.00728455700947966
variation 2,spearman,0.0,1.0,0.00018267179110955002,0.16197241048012612,0.0013149446697132139
variation 3,spearman,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002
variation 4,spearman,0.0,0.0,0.0,1.0,0.0017062493689195964
variation 5,spearman,0.0,0.0,0.0,0.0,1.0
variation 1,accuracy,1.0,0.14046504815835495,0.0013149446697132139,0.3846730627355087,0.00728455700947966
variation 2,accuracy,0.0,1.0,0.00018267179110955002,0.14046504815835495,0.0007685389131627665
variation 3,accuracy,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002
variation 4,accuracy,0.0,0.0,0.0,1.0,0.0007685389131627665
variation 5,accuracy,0.0,0.0,0.0,0.0,1.0
