,metric,variation 1,variation 2,variation 3,variation 4,variation 5
variation 1,pearson,1.0,0.7337299956962472,1.0,0.21229383619233155,0.3447042220069576
variation 2,pearson,0.0,1.0,0.9698499769931556,0.18587673236587576,0.27303633975118835
variation 3,pearson,0.0,0.0,1.0,0.18587673236587576,0.27303633975118835
variation 4,pearson,0.0,0.0,0.0,1.0,1.0
variation 5,pearson,0.0,0.0,0.0,0.0,1.0
variation 1,spearman,1.0,0.14046504815835495,0.5707503880581739,0.00018267179110955002,0.00018267179110955002
variation 2,spearman,0.0,1.0,0.3074894566186813,0.00018267179110955002,0.00018267179110955002
variation 3,spearman,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002
variation 4,spearman,0.0,0.0,0.0,1.0,0.14046504815835495
variation 5,spearman,0.0,0.0,0.0,0.0,1.0
variation 1,accuracy,1.0,0.3074894566186813,0.47267559351158717,0.00018267179110955002,0.00018267179110955002
variation 2,accuracy,0.0,1.0,0.47267559351158717,0.00018267179110955002,0.00024612812790522973
variation 3,accuracy,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002
variation 4,accuracy,0.0,0.0,0.0,1.0,0.08897301170181328
variation 5,accuracy,0.0,0.0,0.0,0.0,1.0
